id,census_geoid_14,validThrough
ocd-division/country:us/state:al/sldu:1,sldu-01001,
ocd-division/country:us/state:al/sldu:2,sldu-01002,
ocd-division/country:us/state:al/sldu:3,sldu-01003,
ocd-division/country:us/state:al/sldu:4,sldu-01004,
ocd-division/country:us/state:al/sldu:5,sldu-01005,
ocd-division/country:us/state:al/sldu:6,sldu-01006,
ocd-division/country:us/state:al/sldu:7,sldu-01007,
ocd-division/country:us/state:al/sldu:8,sldu-01008,
ocd-division/country:us/state:al/sldu:9,sldu-01009,
ocd-division/country:us/state:al/sldu:10,sldu-01010,
ocd-division/country:us/state:al/sldu:11,sldu-01011,
ocd-division/country:us/state:al/sldu:12,sldu-01012,
ocd-division/country:us/state:al/sldu:13,sldu-01013,
ocd-division/country:us/state:al/sldu:14,sldu-01014,
ocd-division/country:us/state:al/sldu:15,sldu-01015,
ocd-division/country:us/state:al/sldu:16,sldu-01016,
ocd-division/country:us/state:al/sldu:17,sldu-01017,
ocd-division/country:us/state:al/sldu:18,sldu-01018,
ocd-division/country:us/state:al/sldu:19,sldu-01019,
ocd-division/country:us/state:al/sldu:20,sldu-01020,
ocd-division/country:us/state:al/sldu:21,sldu-01021,
ocd-division/country:us/state:al/sldu:22,sldu-01022,
ocd-division/country:us/state:al/sldu:23,sldu-01023,
ocd-division/country:us/state:al/sldu:24,sldu-01024,
ocd-division/country:us/state:al/sldu:25,sldu-01025,
ocd-division/country:us/state:al/sldu:26,sldu-01026,
ocd-division/country:us/state:al/sldu:27,sldu-01027,
ocd-division/country:us/state:al/sldu:28,sldu-01028,
ocd-division/country:us/state:al/sldu:29,sldu-01029,
ocd-division/country:us/state:al/sldu:30,sldu-01030,
ocd-division/country:us/state:al/sldu:31,sldu-01031,
ocd-division/country:us/state:al/sldu:32,sldu-01032,
ocd-division/country:us/state:al/sldu:33,sldu-01033,
ocd-division/country:us/state:al/sldu:34,sldu-01034,
ocd-division/country:us/state:al/sldu:35,sldu-01035,
ocd-division/country:us/state:ak/sldu:a,sldu-0200A,
ocd-division/country:us/state:ak/sldu:b,sldu-0200B,
ocd-division/country:us/state:ak/sldu:c,sldu-0200C,
ocd-division/country:us/state:ak/sldu:d,sldu-0200D,
ocd-division/country:us/state:ak/sldu:e,sldu-0200E,
ocd-division/country:us/state:ak/sldu:f,sldu-0200F,
ocd-division/country:us/state:ak/sldu:g,sldu-0200G,
ocd-division/country:us/state:ak/sldu:h,sldu-0200H,
ocd-division/country:us/state:ak/sldu:i,sldu-0200I,
ocd-division/country:us/state:ak/sldu:j,sldu-0200J,
ocd-division/country:us/state:ak/sldu:k,sldu-0200K,
ocd-division/country:us/state:ak/sldu:l,sldu-0200L,
ocd-division/country:us/state:ak/sldu:m,sldu-0200M,
ocd-division/country:us/state:ak/sldu:n,sldu-0200N,
ocd-division/country:us/state:ak/sldu:o,sldu-0200O,
ocd-division/country:us/state:ak/sldu:p,sldu-0200P,
ocd-division/country:us/state:ak/sldu:q,sldu-0200Q,
ocd-division/country:us/state:ak/sldu:r,sldu-0200R,
ocd-division/country:us/state:ak/sldu:s,sldu-0200S,
ocd-division/country:us/state:ak/sldu:t,sldu-0200T,
ocd-division/country:us/state:az/sldu:1,sldu-04001,
ocd-division/country:us/state:az/sldu:2,sldu-04002,
ocd-division/country:us/state:az/sldu:3,sldu-04003,
ocd-division/country:us/state:az/sldu:4,sldu-04004,
ocd-division/country:us/state:az/sldu:5,sldu-04005,
ocd-division/country:us/state:az/sldu:6,sldu-04006,
ocd-division/country:us/state:az/sldu:7,sldu-04007,
ocd-division/country:us/state:az/sldu:8,sldu-04008,
ocd-division/country:us/state:az/sldu:9,sldu-04009,
ocd-division/country:us/state:az/sldu:10,sldu-04010,
ocd-division/country:us/state:az/sldu:11,sldu-04011,
ocd-division/country:us/state:az/sldu:12,sldu-04012,
ocd-division/country:us/state:az/sldu:13,sldu-04013,
ocd-division/country:us/state:az/sldu:14,sldu-04014,
ocd-division/country:us/state:az/sldu:15,sldu-04015,
ocd-division/country:us/state:az/sldu:16,sldu-04016,
ocd-division/country:us/state:az/sldu:17,sldu-04017,
ocd-division/country:us/state:az/sldu:18,sldu-04018,
ocd-division/country:us/state:az/sldu:19,sldu-04019,
ocd-division/country:us/state:az/sldu:20,sldu-04020,
ocd-division/country:us/state:az/sldu:21,sldu-04021,
ocd-division/country:us/state:az/sldu:22,sldu-04022,
ocd-division/country:us/state:az/sldu:23,sldu-04023,
ocd-division/country:us/state:az/sldu:24,sldu-04024,
ocd-division/country:us/state:az/sldu:25,sldu-04025,
ocd-division/country:us/state:az/sldu:26,sldu-04026,
ocd-division/country:us/state:az/sldu:27,sldu-04027,
ocd-division/country:us/state:az/sldu:28,sldu-04028,
ocd-division/country:us/state:az/sldu:29,sldu-04029,
ocd-division/country:us/state:az/sldu:30,sldu-04030,
ocd-division/country:us/state:ar/sldu:1,sldu-05001,
ocd-division/country:us/state:ar/sldu:2,sldu-05002,
ocd-division/country:us/state:ar/sldu:3,sldu-05003,
ocd-division/country:us/state:ar/sldu:4,sldu-05004,
ocd-division/country:us/state:ar/sldu:5,sldu-05005,
ocd-division/country:us/state:ar/sldu:6,sldu-05006,
ocd-division/country:us/state:ar/sldu:7,sldu-05007,
ocd-division/country:us/state:ar/sldu:8,sldu-05008,
ocd-division/country:us/state:ar/sldu:9,sldu-05009,
ocd-division/country:us/state:ar/sldu:10,sldu-05010,
ocd-division/country:us/state:ar/sldu:11,sldu-05011,
ocd-division/country:us/state:ar/sldu:12,sldu-05012,
ocd-division/country:us/state:ar/sldu:13,sldu-05013,
ocd-division/country:us/state:ar/sldu:14,sldu-05014,
ocd-division/country:us/state:ar/sldu:15,sldu-05015,
ocd-division/country:us/state:ar/sldu:16,sldu-05016,
ocd-division/country:us/state:ar/sldu:17,sldu-05017,
ocd-division/country:us/state:ar/sldu:18,sldu-05018,
ocd-division/country:us/state:ar/sldu:19,sldu-05019,
ocd-division/country:us/state:ar/sldu:20,sldu-05020,
ocd-division/country:us/state:ar/sldu:21,sldu-05021,
ocd-division/country:us/state:ar/sldu:22,sldu-05022,
ocd-division/country:us/state:ar/sldu:23,sldu-05023,
ocd-division/country:us/state:ar/sldu:24,sldu-05024,
ocd-division/country:us/state:ar/sldu:25,sldu-05025,
ocd-division/country:us/state:ar/sldu:26,sldu-05026,
ocd-division/country:us/state:ar/sldu:27,sldu-05027,
ocd-division/country:us/state:ar/sldu:28,sldu-05028,
ocd-division/country:us/state:ar/sldu:29,sldu-05029,
ocd-division/country:us/state:ar/sldu:30,sldu-05030,
ocd-division/country:us/state:ar/sldu:31,sldu-05031,
ocd-division/country:us/state:ar/sldu:32,sldu-05032,
ocd-division/country:us/state:ar/sldu:33,sldu-05033,
ocd-division/country:us/state:ar/sldu:34,sldu-05034,
ocd-division/country:us/state:ar/sldu:35,sldu-05035,
ocd-division/country:us/state:ca/sldu:1,sldu-06001,
ocd-division/country:us/state:ca/sldu:2,sldu-06002,
ocd-division/country:us/state:ca/sldu:3,sldu-06003,
ocd-division/country:us/state:ca/sldu:4,sldu-06004,
ocd-division/country:us/state:ca/sldu:5,sldu-06005,
ocd-division/country:us/state:ca/sldu:6,sldu-06006,
ocd-division/country:us/state:ca/sldu:7,sldu-06007,
ocd-division/country:us/state:ca/sldu:8,sldu-06008,
ocd-division/country:us/state:ca/sldu:9,sldu-06009,
ocd-division/country:us/state:ca/sldu:10,sldu-06010,
ocd-division/country:us/state:ca/sldu:11,sldu-06011,
ocd-division/country:us/state:ca/sldu:12,sldu-06012,
ocd-division/country:us/state:ca/sldu:13,sldu-06013,
ocd-division/country:us/state:ca/sldu:14,sldu-06014,
ocd-division/country:us/state:ca/sldu:15,sldu-06015,
ocd-division/country:us/state:ca/sldu:16,sldu-06016,
ocd-division/country:us/state:ca/sldu:17,sldu-06017,
ocd-division/country:us/state:ca/sldu:18,sldu-06018,
ocd-division/country:us/state:ca/sldu:19,sldu-06019,
ocd-division/country:us/state:ca/sldu:20,sldu-06020,
