id,census_geoid_12,validThrough
ocd-division/country:us/state:ak/sldl:9,sldl-02009,
ocd-division/country:us/state:ak/sldl:10,sldl-02010,
ocd-division/country:us/state:ak/sldl:11,sldl-02011,
ocd-division/country:us/state:ak/sldl:12,sldl-02012,
ocd-division/country:us/state:ak/sldl:13,sldl-02013,
ocd-division/country:us/state:ak/sldl:14,sldl-02014,
ocd-division/country:us/state:ak/sldl:15,sldl-02015,
ocd-division/country:us/state:ak/sldl:16,sldl-02016,
ocd-division/country:us/state:ak/sldl:17,sldl-02017,
ocd-division/country:us/state:ak/sldl:18,sldl-02018,
ocd-division/country:us/state:ak/sldl:19,sldl-02019,
ocd-division/country:us/state:ak/sldl:20,sldl-02020,
ocd-division/country:us/state:ak/sldl:21,sldl-02021,
ocd-division/country:us/state:ak/sldl:22,sldl-02022,
ocd-division/country:us/state:ak/sldl:23,sldl-02023,
ocd-division/country:us/state:ak/sldl:24,sldl-02024,
ocd-division/country:us/state:ak/sldl:25,sldl-02025,
ocd-division/country:us/state:ak/sldl:26,sldl-02026,
ocd-division/country:us/state:ak/sldl:27,sldl-02027,
ocd-division/country:us/state:ak/sldl:28,sldl-02028,
ocd-division/country:us/state:ak/sldl:29,sldl-02029,
ocd-division/country:us/state:ak/sldl:30,sldl-02030,
ocd-division/country:us/state:ak/sldl:31,sldl-02031,
ocd-division/country:us/state:ak/sldl:32,sldl-02032,
ocd-division/country:us/state:ak/sldl:33,sldl-02033,
ocd-division/country:us/state:ak/sldl:34,sldl-02034,
ocd-division/country:us/state:ak/sldl:35,sldl-02035,
ocd-division/country:us/state:ak/sldl:36,sldl-02036,
ocd-division/country:us/state:ak/sldl:37,sldl-02037,
ocd-division/country:us/state:ak/sldl:38,sldl-02038,
ocd-division/country:us/state:ak/sldl:39,sldl-02039,
ocd-division/country:us/state:ak/sldl:40,sldl-02040,
ocd-division/country:us/state:az/sldl:1,sldl-04001,
ocd-division/country:us/state:az/sldl:2,sldl-04002,
ocd-division/country:us/state:az/sldl:3,sldl-04003,
ocd-division/country:us/state:az/sldl:4,sldl-04004,
ocd-division/country:us/state:az/sldl:5,sldl-04005,
ocd-division/country:us/state:az/sldl:6,sldl-04006,
ocd-division/country:us/state:az/sldl:7,sldl-04007,
ocd-division/country:us/state:az/sldl:8,sldl-04008,
ocd-division/country:us/state:az/sldl:9,sldl-04009,
ocd-division/country:us/state:az/sldl:10,sldl-04010,
ocd-division/country:us/state:az/sldl:11,sldl-04011,
ocd-division/country:us/state:az/sldl:12,sldl-04012,
ocd-division/country:us/state:az/sldl:13,sldl-04013,
ocd-division/country:us/state:az/sldl:14,sldl-04014,
ocd-division/country:us/state:az/sldl:15,sldl-04015,
ocd-division/country:us/state:az/sldl:16,sldl-04016,
ocd-division/country:us/state:az/sldl:17,sldl-04017,
ocd-division/country:us/state:az/sldl:18,sldl-04018,
ocd-division/country:us/state:az/sldl:19,sldl-04019,
ocd-division/country:us/state:az/sldl:20,sldl-04020,
ocd-division/country:us/state:az/sldl:21,sldl-04021,
ocd-division/country:us/state:az/sldl:22,sldl-04022,
ocd-division/country:us/state:az/sldl:23,sldl-04023,
ocd-division/country:us/state:az/sldl:24,sldl-04024,
ocd-division/country:us/state:az/sldl:25,sldl-04025,
ocd-division/country:us/state:az/sldl:26,sldl-04026,
ocd-division/country:us/state:az/sldl:27,sldl-04027,
ocd-division/country:us/state:az/sldl:28,sldl-04028,
ocd-division/country:us/state:az/sldl:29,sldl-04029,
ocd-division/country:us/state:az/sldl:30,sldl-04030,
ocd-division/country:us/state:ar/sldl:1,sldl-05001,
ocd-division/country:us/state:ar/sldl:2,sldl-05002,
ocd-division/country:us/state:ar/sldl:3,sldl-05003,
ocd-division/country:us/state:ar/sldl:4,sldl-05004,
ocd-division/country:us/state:ar/sldl:5,sldl-05005,
ocd-division/country:us/state:ar/sldl:6,sldl-05006,
ocd-division/country:us/state:ar/sldl:7,sldl-05007,
ocd-division/country:us/state:ar/sldl:8,sldl-05008,
ocd-division/country:us/state:ar/sldl:9,sldl-05009,
ocd-division/country:us/state:ar/sldl:10,sldl-05010,
ocd-division/country:us/state:ar/sldl:11,sldl-05011,
ocd-division/country:us/state:ar/sldl:12,sldl-05012,
ocd-division/country:us/state:ar/sldl:13,sldl-05013,
ocd-division/country:us/state:ar/sldl:14,sldl-05014,
ocd-division/country:us/state:ar/sldl:15,sldl-05015,
ocd-division/country:us/state:ar/sldl:16,sldl-05016,
ocd-division/country:us/state:ar/sldl:17,sldl-05017,
ocd-division/country:us/state:ar/sldl:18,sldl-05018,
ocd-division/country:us/state:ar/sldl:19,sldl-05019,
ocd-division/country:us/state:ar/sldl:20,sldl-05020,
ocd-division/country:us/state:ar/sldl:21,sldl-05021,
ocd-division/country:us/state:ar/sldl:22,sldl-05022,
ocd-division/country:us/state:ar/sldl:23,sldl-05023,
ocd-division/country:us/state:ar/sldl:24,sldl-05024,
ocd-division/country:us/state:ar/sldl:25,sldl-05025,
ocd-division/country:us/state:ar/sldl:26,sldl-05026,
ocd-division/country:us/state:ar/sldl:27,sldl-05027,
ocd-division/country:us/state:ar/sldl:28,sldl-05028,
ocd-division/country:us/state:ar/sldl:29,sldl-05029,
ocd-division/country:us/state:ar/sldl:30,sldl-05030,
ocd-division/country:us/state:ar/sldl:31,sldl-05031,
ocd-division/country:us/state:ar/sldl:32,sldl-05032,
ocd-division/country:us/state:ar/sldl:33,sldl-05033,
ocd-division/country:us/state:ar/sldl:34,sldl-05034,
ocd-division/country:us/state:ar/sldl:35,sldl-05035,
ocd-division/country:us/state:ar/sldl:36,sldl-05036,
ocd-division/country:us/state:ar/sldl:37,sldl-05037,
ocd-division/country:us/state:ar/sldl:38,sldl-05038,
ocd-division/country:us/state:ar/sldl:39,sldl-05039,
ocd-division/country:us/state:ar/sldl:40,sldl-05040,
ocd-division/country:us/state:ar/sldl:41,sldl-05041,
ocd-division/country:us/state:ar/sldl:42,sldl-05042,
ocd-division/country:us/state:ar/sldl:43,sldl-05043,
ocd-division/country:us/state:ar/sldl:44,sldl-05044,
ocd-division/country:us/state:ar/sldl:45,sldl-05045,
ocd-division/country:us/state:ar/sldl:46,sldl-05046,
ocd-division/country:us/state:ar/sldl:47,sldl-05047,
ocd-division/country:us/state:ar/sldl:48,sldl-05048,
ocd-division/country:us/state:ar/sldl:49,sldl-05049,
ocd-division/country:us/state:ar/sldl:50,sldl-05050,
ocd-division/country:us/state:ar/sldl:51,sldl-05051,
ocd-division/country:us/state:ar/sldl:52,sldl-05052,
ocd-division/country:us/state:ar/sldl:53,sldl-05053,
ocd-division/country:us/state:ar/sldl:54,sldl-05054,
ocd-division/country:us/state:ar/sldl:55,sldl-05055,
ocd-division/country:us/state:ar/sldl:56,sldl-05056,
ocd-division/country:us/state:ar/sldl:57,sldl-05057,
ocd-division/country:us/state:ar/sldl:58,sldl-05058,
ocd-division/country:us/state:ar/sldl:59,sldl-05059,
ocd-division/country:us/state:ar/sldl:60,sldl-05060,
ocd-division/country:us/state:ar/sldl:61,sldl-05061,
ocd-division/country:us/state:ar/sldl:62,sldl-05062,
ocd-division/country:us/state:ar/sldl:63,sldl-05063,
ocd-division/country:us/state:ar/sldl:64,sldl-05064,
ocd-division/country:us/state:ar/sldl:65,sldl-05065,
ocd-division/country:us/state:ar/sldl:66,sldl-05066,
ocd-division/country:us/state:ar/sldl:67,sldl-05067,
ocd-division/country:us/state:ar/sldl:68,sldl-05068,
ocd-division/country:us/state:ar/sldl:69,sldl-05069,
ocd-division/country:us/state:ar/sldl:70,sldl-05070,
ocd-division/country:us/state:ar/sldl:71,sldl-05071,
ocd-division/country:us/state:ar/sldl:72,sldl-05072,
ocd-division/country:us/state:ar/sldl:73,sldl-05073,
ocd-division/country:us/state:ar/sldl:74,sldl-05074,
ocd-division/country:us/state:ar/sldl:75,sldl-05075,
ocd-division/country:us/state:ar/sldl:76,sldl-05076,
ocd-division/country:us/state:ar/sldl:77,sldl-05077,
ocd-division/country:us/state:ar/sldl:78,sldl-05078,
ocd-division/country:us/state:ar/sldl:79,sldl-05079,
ocd-division/country:us/state:ar/sldl:80,sldl-05080,
ocd-division/country:us/state:ar/sldl:81,sldl-05081,
ocd-division/country:us/state:ar/sldl:82,sldl-05082,
ocd-division/country:us/state:ar/sldl:83,sldl-05083,
ocd-division/country:us/state:ar/sldl:84,sldl-05084,
ocd-division/country:us/state:ar/sldl:85,sldl-05085,
ocd-division/country:us/state:ar/sldl:86,sldl-05086,
ocd-division/country:us/state:ar/sldl:87,sldl-05087,
ocd-division/country:us/state:ar/sldl:88,sldl-05088,
ocd-division/country:us/state:ar/sldl:89,sldl-05089,
ocd-division/country:us/state:ar/sldl:90,sldl-05090,
ocd-division/country:us/state:ar/sldl:91,sldl-05091,
ocd-division/country:us/state:ar/sldl:92,sldl-05092,
ocd-division/country:us/state:ar/sldl:93,sldl-05093,
ocd-division/country:us/state:ar/sldl:94,sldl-05094,
ocd-division/country:us/state:ar/sldl:95,sldl-05095,
ocd-division/country:us/state:ar/sldl:96,sldl-05096,
ocd-division/country:us/state:ar/sldl:97,sldl-05097,
ocd-division/country:us/state:ar/sldl:98,sldl-05098,
ocd-division/country:us/state:ar/sldl:99,sldl-05099,
ocd-division/country:us/state:ar/sldl:100,sldl-05100,
ocd-division/country:us/state:ca/sldl:1,sldl-06001,
ocd-division/country:us/state:ca/sldl:2,sldl-06002,
ocd-division/country:us/state:ca/sldl:3,sldl-06003,
ocd-division/country:us/state:ca/sldl:4,sldl-06004,
ocd-division/country:us/state:ca/sldl:5,sldl-06005,
ocd-division/country:us/state:ca/sldl:6,sldl-06006,
ocd-division/country:us/state:ca/sldl:7,sldl-06007,
ocd-division/country:us/state:ca/sldl:8,sldl-06008,
ocd-division/country:us/state:ca/sldl:9,sldl-06009,
ocd-division/country:us/state:ca/sldl:10,sldl-06010,
ocd-division/country:us/state:ca/sldl:11,sldl-06011,
ocd-division/country:us/state:ca/sldl:12,sldl-06012,
ocd-division/country:us/state:ca/sldl:13,sldl-06013,
ocd-division/country:us/state:ca/sldl:14,sldl-06014,
ocd-division/country:us/state:ca/sldl:15,sldl-06015,
ocd-division/country:us/state:ca/sldl:16,sldl-06016,
ocd-division/country:us/state:ca/sldl:17,sldl-06017,
ocd-division/country:us/state:ca/sldl:18,sldl-06018,
ocd-division/country:us/state:ca/sldl:19,sldl-06019,
ocd-division/country:us/state:ca/sldl:20,sldl-06020,
ocd-division/country:us/state:ca/sldl:21,sldl-06021,
ocd-division/country:us/state:ca/sldl:22,sldl-06022,
ocd-division/country:us/state:ca/sldl:23,sldl-06023,
ocd-division/country:us/state:ca/sldl:24,sldl-06024,
ocd-division/country:us/state:ca/sldl:25,sldl-06025,
ocd-division/country:us/state:ca/sldl:26,sldl-06026,
ocd-division/country:us/state:ca/sldl:27,sldl-06027,
ocd-division/country:us/state:ca/sldl:28,sldl-06028,
ocd-division/country:us/state:ca/sldl:29,sldl-06029,
ocd-division/country:us/state:ca/sldl:30,sldl-06030,
ocd-division/country:us/state:ca/sldl:31,sldl-06031,
ocd-division/country:us/state:ca/sldl:32,sldl-06032,
ocd-division/country:us/state:ca/sldl:33,sldl-06033,
ocd-division/country:us/state:ca/sldl:34,sldl-06034,
ocd-division/country:us/state:ca/sldl:35,sldl-06035,
ocd-division/country:us/state:ca/sldl:36,sldl-06036,
ocd-division/country:us/state:ca/sldl:37,sldl-06037,
ocd-division/country:us/state:ca/sldl:38,sldl-06038,
ocd-division/country:us/state:ca/sldl:39,sldl-06039,
ocd-division/country:us/state:ca/sldl:40,sldl-06040,
ocd-division/country:us/state:ca/sldl:41,sldl-06041,
ocd-division/country:us/state:ca/sldl:42,sldl-06042,
ocd-division/country:us/state:ca/sldl:43,sldl-06043,
ocd-division/country:us/state:ca/sldl:44,sldl-06044,
ocd-division/country:us/state:ca/sldl:45,sldl-06045,
ocd-division/country:us/state:ca/sldl:46,sldl-06046,
ocd-division/country:us/state:ca/sldl:47,sldl-06047,
ocd-division/country:us/state:ca/sldl:48,sldl-06048,
ocd-division/country:us/state:ca/sldl:49,sldl-06049,
ocd-division/country:us/state:ca/sldl:50,sldl-06050,
ocd-division/country:us/state:ca/sldl:51,sldl-06051,
ocd-division/country:us/state:ca/sldl:52,sldl-06052,
ocd-division/country:us/state:ca/sldl:53,sldl-06053,
