id,name
ocd-division/country:in/state:ap/district:ka/cd:proddatur,Proddatur; Kadapa
ocd-division/country:in/state:ap/district:ka/cd:pulivendla,Pulivendla; Kadapa
ocd-division/country:in/state:ap/district:ka/cd:rajampet,Rajampet; Kadapa
ocd-division/country:in/state:ap/district:ka/cd:rayachoti,Rayachoti; Kadapa
ocd-division/country:in/state:ap/district:kr/cd:avanigadda,Avanigadda; Krishna
ocd-division/country:in/state:ap/district:kr/cd:gannavaram,Gannavaram; Krishna
ocd-division/country:in/state:ap/district:kr/cd:gudivada,Gudivada; Krishna
ocd-division/country:in/state:ap/district:kr/cd:jaggayyapeta,Jaggayyapeta; Krishna
ocd-division/country:in/state:ap/district:kr/cd:kaikalur,Kaikalur; Krishna
ocd-division/country:in/state:ap/district:kr/cd:machilipatnam,Machilipatnam; Krishna
ocd-division/country:in/state:ap/district:kr/cd:mylavaram,Mylavaram; Krishna
ocd-division/country:in/state:ap/district:kr/cd:nandigama,Nandigama (SC); Krishna
ocd-division/country:in/state:ap/district:kr/cd:nuzvid,Nuzvid; Krishna
ocd-division/country:in/state:ap/district:kr/cd:pamarru,Pamarru (SC); Krishna
ocd-division/country:in/state:ap/district:kr/cd:pedana,Pedana; Krishna
ocd-division/country:in/state:ap/district:kr/cd:penamaluru,Penamaluru; Krishna
ocd-division/country:in/state:ap/district:kr/cd:tiruvuru,Tiruvuru (SC); Krishna
ocd-division/country:in/state:ap/district:kr/cd:vijayawada_central,Vijayawada Central; Krishna
ocd-division/country:in/state:ap/district:kr/cd:vijayawada_east,Vijayawada East; Krishna
ocd-division/country:in/state:ap/district:kr/cd:vijayawada_west,Vijayawada West; Krishna
ocd-division/country:in/state:ap/district:ku/cd:adoni,Adoni; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:allagadda,Allagadda; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:alur,Alur; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:banaganapalle,Banaganapalle; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:dhone,Dhone; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:kodumur,Kodumur (SC); Kurnool
ocd-division/country:in/state:ap/district:ku/cd:kurnool,Kurnool; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:mantralayam,Mantralayam; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:nandikotkur,Nandikotkur (SC); Kurnool
ocd-division/country:in/state:ap/district:ku/cd:nandyal,Nandyal; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:panyam,Panyam; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:pattikonda,Pattikonda; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:srisailam,Srisailam; Kurnool
ocd-division/country:in/state:ap/district:ku/cd:yemmiganur,Yemmiganur; Kurnool
ocd-division/country:in/state:ap/district:ne/cd:atmakur,Atmakur; Nellore
ocd-division/country:in/state:ap/district:ne/cd:gudur,Gudur (SC); Nellore
ocd-division/country:in/state:ap/district:ne/cd:kavali,Kavali; Nellore
ocd-division/country:in/state:ap/district:ne/cd:kovur,Kovur; Nellore
ocd-division/country:in/state:ap/district:ne/cd:nellore_city,Nellore City; Nellore
ocd-division/country:in/state:ap/district:ne/cd:nellore_rural,Nellore Rural; Nellore
ocd-division/country:in/state:ap/district:ne/cd:sarvepalli,Sarvepalli; Nellore
ocd-division/country:in/state:ap/district:ne/cd:sullurpeta,Sullurpeta (SC); Nellore
ocd-division/country:in/state:ap/district:ne/cd:udayagiri,Udayagiri; Nellore
ocd-division/country:in/state:ap/district:ne/cd:venkatagiri,Venkatagiri; Nellore
ocd-division/country:in/state:ap/district:pr/cd:addanki,Addanki; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:chirala,Chirala; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:darsi,Darsi; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:giddalur,Giddalur; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:kandukur,Kandukur; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:kanigiri,Kanigiri; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:kondapi,Kondapi (SC); Prakasam
ocd-division/country:in/state:ap/district:pr/cd:markapuram,Markapuram; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:ongole,Ongole; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:parchur,Parchur; Prakasam
ocd-division/country:in/state:ap/district:pr/cd:santhanuthalapadu,Santhanuthalapadu (SC); Prakasam
ocd-division/country:in/state:ap/district:pr/cd:yerragondapalem,Yerragondapalem (SC); Prakasam
ocd-division/country:in/state:ap/district:sr/cd:amadalavalasa,Amadalavalasa; Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:etcherla,Etcherla; Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:ichchapuram,Ichchapuram; Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:narasannapeta,Narasannapeta; Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:palakonda,Palakonda (ST); Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:palasa,Palasa; Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:pathapatnam,Pathapatnam; Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:rajam,Rajam (SC); Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:srikakulam,Srikakulam; Srikakulam
ocd-division/country:in/state:ap/district:sr/cd:tekkali,Tekkali; Srikakulam
ocd-division/country:in/state:ap/district:vi/cd:bobbili,Bobbili; Vizianagaram
ocd-division/country:in/state:ap/district:vi/cd:cheepurupalle,Cheepurupalle; Vizianagaram
ocd-division/country:in/state:ap/district:vi/cd:gajapathinagaram,Gajapathinagaram; Vizianagaram
ocd-division/country:in/state:ap/district:vi/cd:kurupam,Kurupam (ST); Vizianagaram
ocd-division/country:in/state:ap/district:vi/cd:nellimarla,Nellimarla; Vizianagaram
ocd-division/country:in/state:ap/district:vi/cd:parvathipuram,Parvathipuram (SC); Vizianagaram
ocd-division/country:in/state:ap/district:vi/cd:salur,Salur (ST); Vizianagaram
ocd-division/country:in/state:ap/district:vi/cd:srungavarapukota,Srungavarapukota; Vizianagaram
ocd-division/country:in/state:ap/district:vi/cd:vizianagaram,Vizianagaram; Vizianagaram
ocd-division/country:in/state:ap/district:vs/cd:anakapalle,Anakapalle; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:araku_valley,Araku Valley (ST); Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:bhimili,Bhimili; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:chodavaram,Chodavaram; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:gajuwaka,Gajuwaka; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:madugula,Madugula; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:narsipatnam,Narsipatnam; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:paderu,Paderu (ST); Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:payakaraopet,Payakaraopet (SC); Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:pendurthi,Pendurthi; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:visakhapatnam_east,Visakhapatnam East; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:visakhapatnam_north,Visakhapatnam North; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:visakhapatnam_south,Visakhapatnam South; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:visakhapatnam_west,Visakhapatnam West; Visakhapatnam
ocd-division/country:in/state:ap/district:vs/cd:yelamanchili,Yelamanchili; Visakhapatnam
ocd-division/country:in/state:ap/district:wg/cd:achanta,Achanta; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:bhimavaram,Bhimavaram; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:chintalapudi,Chintalapudi (SC); West Godavari
ocd-division/country:in/state:ap/district:wg/cd:denduluru,Denduluru; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:eluru,Eluru; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:gopalapuram,Gopalapuram (SC); West Godavari
ocd-division/country:in/state:ap/district:wg/cd:kovvur,Kovvur (SC); West Godavari
ocd-division/country:in/state:ap/district:wg/cd:narasapuram,Narasapuram; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:nidadavole,Nidadavole; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:palacole,Palacole; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:polavaram,Polavaram (ST); West Godavari
ocd-division/country:in/state:ap/district:wg/cd:tadepalligudem,Tadepalligudem; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:tanuku,Tanuku; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:undi,Undi; West Godavari
ocd-division/country:in/state:ap/district:wg/cd:ungutur,Ungutur; West Godavari
ocd-division/country:in/state:ar/district:an/cd:hayuliang,Hayuliang (ST); Anjaw
ocd-division/country:in/state:ar/district:ch/cd:bordumsa_diyum,Bordumsa Diyum; Changlang
ocd-division/country:in/state:ar/district:ch/cd:changlang_north,Changlang North (ST); Changlang
ocd-division/country:in/state:ar/district:ch/cd:changlang_south,Changlang South (ST); Changlang
ocd-division/country:in/state:ar/district:ch/cd:miao,Miao (ST); Changlang
ocd-division/country:in/state:ar/district:ch/cd:nampong,Nampong (ST); Changlang
ocd-division/country:in/state:ar/district:di/cd:anini,Anini (ST); Dibang Valley
ocd-division/country:in/state:ar/district:ek/cd:bameng,Bameng (ST); East Kameng
ocd-division/country:in/state:ar/district:ek/cd:chayang-tajo,Chayang - Tajo (ST); East Kameng
ocd-division/country:in/state:ar/district:ek/cd:pakke-kessang,Pakke - Kessang (ST); East Kameng
ocd-division/country:in/state:ar/district:ek/cd:seppa_east,Seppa East (ST); East Kameng
ocd-division/country:in/state:ar/district:ek/cd:seppa_west,Seppa West (ST); East Kameng
ocd-division/country:in/state:ar/district:es/cd:mebo,Mebo (ST); East Siang
ocd-division/country:in/state:ar/district:es/cd:nari-koyu,Nari - Koyu (ST); East Siang
ocd-division/country:in/state:ar/district:es/cd:pangin,Pangin (ST); East Siang
ocd-division/country:in/state:ar/district:es/cd:pasighat_east,Pasighat East(ST); East Siang
ocd-division/country:in/state:ar/district:es/cd:pasighat_west,Pasighat West (ST); East Siang
ocd-division/country:in/state:ar/district:ku/cd:koloriang,Koloriang (ST); Kurungkumey
ocd-division/country:in/state:ar/district:ku/cd:nyapin,Nyapin (ST); Kurungkumey
ocd-division/country:in/state:ar/district:ku/cd:palin,Palin (ST); Kurungkumey
ocd-division/country:in/state:ar/district:ku/cd:tali,Tali (ST); Kurungkumey
ocd-division/country:in/state:ar/district:ld/cd:dambuk,Dambuk (ST); Lower Dibang Valley
ocd-division/country:in/state:ar/district:ld/cd:roing,Roing (ST); Lower Dibang Valley
ocd-division/country:in/state:ar/district:ln/cd:kanubari,Kanubari(ST); Longding
ocd-division/country:in/state:ar/district:ln/cd:longding-pumao,Longding - Pumao (ST); Longding
ocd-division/country:in/state:ar/district:ln/cd:pongchau-wakka,Pongchau - Wakka (ST); Longding
ocd-division/country:in/state:ar/district:lo/cd:tezu,Tezu (ST); Lohit
ocd-division/country:in/state:ar/district:ls/cd:yachuli,Yachuli (ST); Lower Subansiri
ocd-division/country:in/state:ar/district:ls/cd:ziro-hapoli,Ziro - Hapoli (ST); Lower Subansiri
ocd-division/country:in/state:ar/district:na/cd:chowkham,Chowkham (ST); Namsai
ocd-division/country:in/state:ar/district:na/cd:lekang,Lekang (ST); Namsai
ocd-division/country:in/state:ar/district:na/cd:namsai,Namsai (ST); Namsai
ocd-division/country:in/state:ar/district:pa/cd:doimukh,Doimukh (ST); Papumpare
ocd-division/country:in/state:ar/district:pa/cd:itanagar,Itanagar (ST); Papumpare
ocd-division/country:in/state:ar/district:pa/cd:sagalee,Sagalee (ST); Papumpare
ocd-division/country:in/state:ar/district:ta/cd:lumla,Lumla (ST); Tawang
ocd-division/country:in/state:ar/district:ta/cd:mukto,Mukto (ST); Tawang
ocd-division/country:in/state:ar/district:ta/cd:tawang,Tawang (ST); Tawang
ocd-division/country:in/state:ar/district:ti/cd:borduria-bogapani,Borduria - Bogapani (ST); Tirap
ocd-division/country:in/state:ar/district:ti/cd:khonsa_east,Khonsa East (ST); Tirap
ocd-division/country:in/state:ar/district:ti/cd:khonsa_west,Khonsa West (ST); Tirap
ocd-division/country:in/state:ar/district:ti/cd:namsang,Namsang (ST); Tirap
ocd-division/country:in/state:ar/district:ub/cd:daporijo,Daporijo (ST); Upper Subansiri
ocd-division/country:in/state:ar/district:ub/cd:dumporijo,Dumporijo (ST); Upper Subansiri
ocd-division/country:in/state:ar/district:ub/cd:nacho,Nacho (ST); Upper Subansiri
ocd-division/country:in/state:ar/district:ub/cd:raga,Raga (ST); Upper Subansiri
ocd-division/country:in/state:ar/district:ub/cd:taliha,Taliha (ST); Upper Subansiri
ocd-division/country:in/state:ar/district:us/cd:mariyang-geku,Mariyang - Geku (ST); Upper Siang
ocd-division/country:in/state:ar/district:us/cd:tuting-yingkiong,Tuting - Yingkiong (ST); Upper Siang
ocd-division/country:in/state:ar/district:wk/cd:bomdila,Bomdila (ST); West Kameng
ocd-division/country:in/state:ar/district:wk/cd:dirang,Dirang (ST); West Kameng
ocd-division/country:in/state:ar/district:wk/cd:kalaktang,Kalaktang (ST); West Kameng
ocd-division/country:in/state:ar/district:wk/cd:thrizino-buragaon,Thrizino - Buragaon (ST); West Kameng
ocd-division/country:in/state:ar/district:wm/cd:mechuka,Mechuka (ST); West Siang (Mechukha)
ocd-division/country:in/state:ar/district:ws/cd:along_east,Along East (ST); West Siang
ocd-division/country:in/state:ar/district:ws/cd:along_west,Along West (ST); West Siang
ocd-division/country:in/state:ar/district:ws/cd:basar,Basar (ST); West Siang
