id,sameAs,sameAsNote
ocd-division/country:in/state:br/lok_sabha:purvi_champaran,ocd-division/country:in/state:br/cd:purvi_champaran,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:sheohar,ocd-division/country:in/state:br/cd:sheohar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:sitamarhi,ocd-division/country:in/state:br/cd:sitamarhi,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:madhubani,ocd-division/country:in/state:br/cd:madhubani,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:jhanjharpur,ocd-division/country:in/state:br/cd:jhanjharpur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:supaul,ocd-division/country:in/state:br/cd:supaul,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:araria,ocd-division/country:in/state:br/cd:araria,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:kishanganj,ocd-division/country:in/state:br/cd:kishanganj,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:katihar,ocd-division/country:in/state:br/cd:katihar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:purnia,ocd-division/country:in/state:br/cd:purnia,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:madhepura,ocd-division/country:in/state:br/cd:madhepura,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:darbhanga,ocd-division/country:in/state:br/cd:darbhanga,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:muzaffarpur,ocd-division/country:in/state:br/cd:muzaffarpur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:vaishali,ocd-division/country:in/state:br/cd:vaishali,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:gopalganj,ocd-division/country:in/state:br/cd:gopalganj,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:siwan,ocd-division/country:in/state:br/cd:siwan,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:maharajganj,ocd-division/country:in/state:br/cd:maharajganj,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:saran,ocd-division/country:in/state:br/cd:saran,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:hajipur,ocd-division/country:in/state:br/cd:hajipur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:ujiarpur,ocd-division/country:in/state:br/cd:ujiarpur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:samastipur,ocd-division/country:in/state:br/cd:samastipur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:begusarai,ocd-division/country:in/state:br/cd:begusarai,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:khagaria,ocd-division/country:in/state:br/cd:khagaria,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:bhagalpur,ocd-division/country:in/state:br/cd:bhagalpur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:banka,ocd-division/country:in/state:br/cd:banka,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:munger,ocd-division/country:in/state:br/cd:munger,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:nalanda,ocd-division/country:in/state:br/cd:nalanda,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:patna_sahib,ocd-division/country:in/state:br/cd:patna_sahib,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:pataliputra,ocd-division/country:in/state:br/cd:pataliputra,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:arrah,ocd-division/country:in/state:br/cd:arrah,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:buxar,ocd-division/country:in/state:br/cd:buxar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:sasaram,ocd-division/country:in/state:br/cd:sasaram,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:karakat,ocd-division/country:in/state:br/cd:karakat,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:jahanabad,ocd-division/country:in/state:br/cd:jahanabad,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:aurangabad,ocd-division/country:in/state:br/cd:aurangabad,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:gaya,ocd-division/country:in/state:br/cd:gaya,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:nawada,ocd-division/country:in/state:br/cd:nawada,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:br/lok_sabha:jamui,ocd-division/country:in/state:br/cd:jamui,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:sarguja,ocd-division/country:in/state:ct/cd:sarguja,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:raigarh,ocd-division/country:in/state:ct/cd:raigarh,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:janjgir,ocd-division/country:in/state:ct/cd:janjgir,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:korba,ocd-division/country:in/state:ct/cd:korba,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:bilaspur,ocd-division/country:in/state:ct/cd:bilaspur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:rajnandgaon,ocd-division/country:in/state:ct/cd:rajnandgaon,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:durg,ocd-division/country:in/state:ct/cd:durg,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:raipur,ocd-division/country:in/state:ct/cd:raipur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:mahasamund,ocd-division/country:in/state:ct/cd:mahasamund,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:bastar,ocd-division/country:in/state:ct/cd:bastar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ct/lok_sabha:kanker,ocd-division/country:in/state:ct/cd:kanker,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ga/lok_sabha:north_goa,ocd-division/country:in/state:ga/cd:north_goa,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ga/lok_sabha:south_goa,ocd-division/country:in/state:ga/cd:south_goa,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:kachchh,ocd-division/country:in/state:gj/cd:kachchh,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:banaskantha,ocd-division/country:in/state:gj/cd:banaskantha,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:patan,ocd-division/country:in/state:gj/cd:patan,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:mahesana,ocd-division/country:in/state:gj/cd:mahesana,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:sabarkantha,ocd-division/country:in/state:gj/cd:sabarkantha,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:gandhinagar,ocd-division/country:in/state:gj/cd:gandhinagar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:ahmedabad_east,ocd-division/country:in/state:gj/cd:ahmedabad_east,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:ahmedabad_west,ocd-division/country:in/state:gj/cd:ahmedabad_west,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:surendranagar,ocd-division/country:in/state:gj/cd:surendranagar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:rajkot,ocd-division/country:in/state:gj/cd:rajkot,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:porbandar,ocd-division/country:in/state:gj/cd:porbandar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:jamnagar,ocd-division/country:in/state:gj/cd:jamnagar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:junagadh,ocd-division/country:in/state:gj/cd:junagadh,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:amreli,ocd-division/country:in/state:gj/cd:amreli,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:bhavnagar,ocd-division/country:in/state:gj/cd:bhavnagar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:anand,ocd-division/country:in/state:gj/cd:anand,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:kheda,ocd-division/country:in/state:gj/cd:kheda,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:panchmahal,ocd-division/country:in/state:gj/cd:panchmahal,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:dahod,ocd-division/country:in/state:gj/cd:dahod,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:vadodara,ocd-division/country:in/state:gj/cd:vadodara,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:chhota_udaipur,ocd-division/country:in/state:gj/cd:chhota_udaipur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:bharuch,ocd-division/country:in/state:gj/cd:bharuch,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:bardoli,ocd-division/country:in/state:gj/cd:bardoli,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:surat,ocd-division/country:in/state:gj/cd:surat,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:navsari,ocd-division/country:in/state:gj/cd:navsari,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:gj/lok_sabha:valsad,ocd-division/country:in/state:gj/cd:valsad,Added for backwards compatibility with lok_sabha identifiers
