id,sameAs,sameAsNote
ocd-division/country:my/state:01/ed:p140,ocd-division/country:my/state:01/ed:segamat,Added for backwards compatability
ocd-division/country:my/state:01/ed:p141,ocd-division/country:my/state:01/ed:sekijang,Added for backwards compatability
ocd-division/country:my/state:01/ed:p142,ocd-division/country:my/state:01/ed:labis,Added for backwards compatability
ocd-division/country:my/state:01/ed:p143,ocd-division/country:my/state:01/ed:pagoh,Added for backwards compatability
ocd-division/country:my/state:01/ed:p144,ocd-division/country:my/state:01/ed:ledang,Added for backwards compatability
ocd-division/country:my/state:01/ed:p145,ocd-division/country:my/state:01/ed:bakri,Added for backwards compatability
ocd-division/country:my/state:01/ed:p146,ocd-division/country:my/state:01/ed:muar,Added for backwards compatability
ocd-division/country:my/state:01/ed:p147,ocd-division/country:my/state:01/ed:parit_sulong,Added for backwards compatability
ocd-division/country:my/state:01/ed:p148,ocd-division/country:my/state:01/ed:ayer_hitam,Added for backwards compatability
ocd-division/country:my/state:01/ed:p149,ocd-division/country:my/state:01/ed:sri_gading,Added for backwards compatability
ocd-division/country:my/state:01/ed:p150,ocd-division/country:my/state:01/ed:batu_pahat,Added for backwards compatability
ocd-division/country:my/state:01/ed:p151,ocd-division/country:my/state:01/ed:simpang_renggam,Added for backwards compatability
ocd-division/country:my/state:01/ed:p152,ocd-division/country:my/state:01/ed:kluang,Added for backwards compatability
ocd-division/country:my/state:01/ed:p153,ocd-division/country:my/state:01/ed:sembrong,Added for backwards compatability
ocd-division/country:my/state:01/ed:p154,ocd-division/country:my/state:01/ed:mersing,Added for backwards compatability
ocd-division/country:my/state:01/ed:p155,ocd-division/country:my/state:01/ed:tenggara,Added for backwards compatability
ocd-division/country:my/state:01/ed:p156,ocd-division/country:my/state:01/ed:kota_tinggi,Added for backwards compatability
ocd-division/country:my/state:01/ed:p157,ocd-division/country:my/state:01/ed:pengerang,Added for backwards compatability
ocd-division/country:my/state:01/ed:p158,ocd-division/country:my/state:01/ed:tebrau,Added for backwards compatability
ocd-division/country:my/state:01/ed:p159,ocd-division/country:my/state:01/ed:pasir_gudang,Added for backwards compatability
ocd-division/country:my/state:01/ed:p160,ocd-division/country:my/state:01/ed:johor_bahru,Added for backwards compatability
ocd-division/country:my/state:01/ed:p161,ocd-division/country:my/state:01/ed:pulai,Added for backwards compatability
ocd-division/country:my/state:01/ed:p162,ocd-division/country:my/state:01/ed:gelang_patah,Added for backwards compatability
ocd-division/country:my/state:01/ed:p163,ocd-division/country:my/state:01/ed:kulai,Added for backwards compatability
ocd-division/country:my/state:01/ed:p164,ocd-division/country:my/state:01/ed:pontian,Added for backwards compatability
ocd-division/country:my/state:01/ed:p165,ocd-division/country:my/state:01/ed:tanjong_piai,Added for backwards compatability
ocd-division/country:my/state:02/ed:p004,ocd-division/country:my/state:02/ed:langkawi,Added for backwards compatability
ocd-division/country:my/state:02/ed:p005,ocd-division/country:my/state:02/ed:jerlun,Added for backwards compatability
ocd-division/country:my/state:02/ed:p006,ocd-division/country:my/state:02/ed:kubang_pasu,Added for backwards compatability
ocd-division/country:my/state:02/ed:p007,ocd-division/country:my/state:02/ed:padang_terap,Added for backwards compatability
ocd-division/country:my/state:02/ed:p008,ocd-division/country:my/state:02/ed:pokok_sena,Added for backwards compatability
ocd-division/country:my/state:02/ed:p009,ocd-division/country:my/state:02/ed:alor_setar,Added for backwards compatability
ocd-division/country:my/state:02/ed:p010,ocd-division/country:my/state:02/ed:kuala_kedah,Added for backwards compatability
ocd-division/country:my/state:02/ed:p011,ocd-division/country:my/state:02/ed:pendang,Added for backwards compatability
ocd-division/country:my/state:02/ed:p012,ocd-division/country:my/state:02/ed:jerai,Added for backwards compatability
ocd-division/country:my/state:02/ed:p013,ocd-division/country:my/state:02/ed:sik,Added for backwards compatability
ocd-division/country:my/state:02/ed:p014,ocd-division/country:my/state:02/ed:merbok,Added for backwards compatability
ocd-division/country:my/state:02/ed:p015,ocd-division/country:my/state:02/ed:sungai_petani,Added for backwards compatability
ocd-division/country:my/state:02/ed:p016,ocd-division/country:my/state:02/ed:baling,Added for backwards compatability
