id,sameAs,sameAsNote
ocd-division/country:pt/district:av,ocd-division/country:pt/region:av,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:be,ocd-division/country:pt/region:be,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:br,ocd-division/country:pt/region:br,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:ba,ocd-division/country:pt/region:ba,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:cb,ocd-division/country:pt/region:cb,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:co,ocd-division/country:pt/region:co,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:ev,ocd-division/country:pt/region:ev,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:fa,ocd-division/country:pt/region:fa,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:gu,ocd-division/country:pt/region:gu,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:le,ocd-division/country:pt/region:le,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:li,ocd-division/country:pt/region:li,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:pa,ocd-division/country:pt/region:pa,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:po,ocd-division/country:pt/region:po,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:sa,ocd-division/country:pt/region:sa,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:se,ocd-division/country:pt/region:se,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:vc,ocd-division/country:pt/region:vc,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:vr,ocd-division/country:pt/region:vr,Portugal is divided into eighteen distritos
ocd-division/country:pt/district:vi,ocd-division/country:pt/region:vi,Portugal is divided into eighteen distritos
ocd-division/country:pt/region:europa,ocd-division/country:pt/cd:europa,Because Europa is more region as congressionals
ocd-division/country:pt/region:fora_da_europa,ocd-division/country:pt/cd:fora_da_europa,Because Outside Europa is more region as congressionals

