id,sameAs
ocd-division/country:uk/pcon:penrith_and_the_border,ocd-division/country:gb/part:eng/region:ukd/ed:penrith_and_the_border
ocd-division/country:uk/pcon:preston,ocd-division/country:gb/part:eng/region:ukd/ed:preston
ocd-division/country:uk/pcon:ribble_valley,ocd-division/country:gb/part:eng/region:ukd/ed:ribble_valley
ocd-division/country:uk/pcon:rochdale,ocd-division/country:gb/part:eng/region:ukd/ed:rochdale
ocd-division/country:uk/pcon:rossendale_and_darwen,ocd-division/country:gb/part:eng/region:ukd/ed:rossendale_and_darwen
ocd-division/country:uk/pcon:salford_and_eccles,ocd-division/country:gb/part:eng/region:ukd/ed:salford_and_eccles
ocd-division/country:uk/pcon:sefton_central,ocd-division/country:gb/part:eng/region:ukd/ed:sefton_central
ocd-division/country:uk/pcon:south_ribble,ocd-division/country:gb/part:eng/region:ukd/ed:south_ribble
ocd-division/country:uk/pcon:southport,ocd-division/country:gb/part:eng/region:ukd/ed:southport
ocd-division/country:uk/pcon:st_helens_north,ocd-division/country:gb/part:eng/region:ukd/ed:st_helens_north
ocd-division/country:uk/pcon:st_helens_south_and_whiston,ocd-division/country:gb/part:eng/region:ukd/ed:st_helens_south_and_whiston
ocd-division/country:uk/pcon:stalybridge_and_hyde,ocd-division/country:gb/part:eng/region:ukd/ed:stalybridge_and_hyde
ocd-division/country:uk/pcon:stockport,ocd-division/country:gb/part:eng/region:ukd/ed:stockport
ocd-division/country:uk/pcon:stretford_and_urmston,ocd-division/country:gb/part:eng/region:ukd/ed:stretford_and_urmston
ocd-division/country:uk/pcon:tatton,ocd-division/country:gb/part:eng/region:ukd/ed:tatton
ocd-division/country:uk/pcon:wallasey,ocd-division/country:gb/part:eng/region:ukd/ed:wallasey
ocd-division/country:uk/pcon:warrington_north,ocd-division/country:gb/part:eng/region:ukd/ed:warrington_north
ocd-division/country:uk/pcon:warrington_south,ocd-division/country:gb/part:eng/region:ukd/ed:warrington_south
ocd-division/country:uk/pcon:weaver_vale,ocd-division/country:gb/part:eng/region:ukd/ed:weaver_vale
ocd-division/country:uk/pcon:west_lancashire,ocd-division/country:gb/part:eng/region:ukd/ed:west_lancashire
