id,name,gss_code
ocd-division/country:gb/part:sct/spr:central_scotland,Central Scotland,S17000009
ocd-division/country:gb/part:sct/spr:highlands_and_islands,Highlands and Islands,S17000011
ocd-division/country:gb/part:sct/spr:lothian,Lothian,S17000012
ocd-division/country:gb/part:sct/spr:mid_scotland_and_fife,Mid Scotland and Fife,S17000013
ocd-division/country:gb/part:sct/spr:north_east_scotland,North East Scotland,S17000014
ocd-division/country:gb/part:sct/spr:south_scotland,South Scotland,S17000015
ocd-division/country:gb/part:sct/spr:glasgow,Glasgow,S17000017
ocd-division/country:gb/part:sct/spr:west_scotland,West Scotland,S17000018
