id,name,gss_code
ocd-division/country:gb/part:eng/pcon:aldershot,Aldershot,E14000530
ocd-division/country:gb/part:eng/pcon:aldridge-brownhills,Aldridge-Brownhills,E14000531
ocd-division/country:gb/part:eng/pcon:altrincham_and_sale_west,Altrincham and Sale West,E14000532
ocd-division/country:gb/part:eng/pcon:amber_valley,Amber Valley,E14000533
ocd-division/country:gb/part:eng/pcon:arundel_and_south_downs,Arundel and South Downs,E14000534
ocd-division/country:gb/part:eng/pcon:ashfield,Ashfield,E14000535
ocd-division/country:gb/part:eng/pcon:ashford,Ashford,E14000536
ocd-division/country:gb/part:eng/pcon:ashton-under-lyne,Ashton-under-Lyne,E14000537
ocd-division/country:gb/part:eng/pcon:aylesbury,Aylesbury,E14000538
ocd-division/country:gb/part:eng/pcon:banbury,Banbury,E14000539
ocd-division/country:gb/part:eng/pcon:bath,Bath,E14000547
ocd-division/country:gb/part:eng/pcon:batley_and_spen,Batley and Spen,E14000548
ocd-division/country:gb/part:wls/pcon:bridgend,Bridgend,W07000073
ocd-division/country:gb/part:wls/pcon:ogmore,Ogmore,W07000074
ocd-division/country:gb/part:wls/pcon:pontypridd,Pontypridd,W07000075
ocd-division/country:gb/part:wls/pcon:caerphilly,Caerphilly,W07000076
ocd-division/country:gb/part:wls/pcon:islwyn,Islwyn,W07000077
ocd-division/country:gb/part:wls/pcon:vale_of_glamorgan,Vale of Glamorgan,W07000078
ocd-division/country:gb/part:wls/pcon:cardiff_west,Cardiff West,W07000079
ocd-division/country:gb/part:wls/pcon:cardiff_south_and_penarth,Cardiff South and Penarth,W07000080
ocd-division/country:gb/part:eng/pcon:barking,Barking,E14000540
ocd-division/country:gb/part:eng/pcon:barnsley_central,Barnsley Central,E14000541
ocd-division/country:gb/part:eng/pcon:barnsley_east,Barnsley East,E14000542
ocd-division/country:gb/part:eng/pcon:barrow_and_furness,Barrow and Furness,E14000543
ocd-division/country:gb/part:eng/pcon:basildon_and_billericay,Basildon and Billericay,E14000544
ocd-division/country:gb/part:eng/pcon:basingstoke,Basingstoke,E14000545
ocd-division/country:gb/part:eng/pcon:bassetlaw,Bassetlaw,E14000546
ocd-division/country:gb/part:eng/pcon:battersea,Battersea,E14000549
ocd-division/country:gb/part:eng/pcon:beaconsfield,Beaconsfield,E14000550
ocd-division/country:gb/part:eng/pcon:beckenham,Beckenham,E14000551
ocd-division/country:gb/part:eng/pcon:bootle,Bootle,E14000581
ocd-division/country:gb/part:eng/pcon:bedford,Bedford,E14000552
ocd-division/country:gb/part:eng/pcon:bermondsey_and_old_southwark,Bermondsey and Old Southwark,E14000553
ocd-division/country:gb/part:eng/pcon:berwick-upon-tweed,Berwick-upon-Tweed,E14000554
ocd-division/country:gb/part:eng/pcon:bethnal_green_and_bow,Bethnal Green and Bow,E14000555
ocd-division/country:gb/part:eng/pcon:beverley_and_holderness,Beverley and Holderness,E14000556
ocd-division/country:gb/part:eng/pcon:bexhill_and_battle,Bexhill and Battle,E14000557
ocd-division/country:gb/part:eng/pcon:boston_and_skegness,Boston and Skegness,E14000582
ocd-division/country:gb/part:eng/pcon:bosworth,Bosworth,E14000583
ocd-division/country:gb/part:eng/pcon:bournemouth_east,Bournemouth East,E14000584
ocd-division/country:gb/part:eng/pcon:bexleyheath_and_crayford,Bexleyheath and Crayford,E14000558
ocd-division/country:gb/part:eng/pcon:bradford_east,Bradford East,E14000587
ocd-division/country:gb/part:eng/pcon:bradford_south,Bradford South,E14000588
ocd-division/country:gb/part:eng/pcon:bradford_west,Bradford West,E14000589
ocd-division/country:gb/part:eng/pcon:braintree,Braintree,E14000590
ocd-division/country:gb/part:eng/pcon:birkenhead,Birkenhead,E14000559
ocd-division/country:gb/part:eng/pcon:birmingham_edgbaston,"Birmingham, Edgbaston",E14000560
ocd-division/country:gb/part:eng/pcon:bury_south,Bury South,E14000612
ocd-division/country:gb/part:eng/pcon:bury_st_edmunds,Bury St Edmunds,E14000613
ocd-division/country:gb/part:eng/pcon:calder_valley,Calder Valley,E14000614
ocd-division/country:gb/part:eng/pcon:birmingham_erdington,"Birmingham, Erdington",E14000561
ocd-division/country:gb/part:eng/pcon:chelsea_and_fulham,Chelsea and Fulham,E14000629
ocd-division/country:gb/part:eng/pcon:cheltenham,Cheltenham,E14000630
ocd-division/country:gb/part:eng/pcon:chesham_and_amersham,Chesham and Amersham,E14000631
ocd-division/country:gb/part:eng/pcon:chesterfield,Chesterfield,E14000632
ocd-division/country:gb/part:eng/pcon:chichester,Chichester,E14000633
ocd-division/country:gb/part:eng/pcon:birmingham_hall_green,"Birmingham, Hall Green",E14000562
ocd-division/country:gb/part:eng/pcon:crewe_and_nantwich,Crewe and Nantwich,E14000653
ocd-division/country:gb/part:eng/pcon:birmingham_hodge_hill,"Birmingham, Hodge Hill",E14000563
ocd-division/country:gb/part:eng/pcon:devizes,Devizes,E14000665
ocd-division/country:gb/part:eng/pcon:dewsbury,Dewsbury,E14000666
ocd-division/country:gb/part:eng/pcon:don_valley,Don Valley,E14000667
ocd-division/country:gb/part:eng/pcon:doncaster_central,Doncaster Central,E14000668
ocd-division/country:gb/part:eng/pcon:doncaster_north,Doncaster North,E14000669
ocd-division/country:gb/part:eng/pcon:dover,Dover,E14000670
ocd-division/country:gb/part:eng/pcon:dudley_north,Dudley North,E14000671
ocd-division/country:gb/part:eng/pcon:dudley_south,Dudley South,E14000672
ocd-division/country:gb/part:eng/pcon:birmingham_ladywood,"Birmingham, Ladywood",E14000564
ocd-division/country:gb/part:eng/pcon:birmingham_northfield,"Birmingham, Northfield",E14000565
ocd-division/country:gb/part:eng/pcon:eastleigh,Eastleigh,E14000685
ocd-division/country:gb/part:eng/pcon:eddisbury,Eddisbury,E14000686
ocd-division/country:gb/part:eng/pcon:birmingham_perry_barr,"Birmingham, Perry Barr",E14000566
ocd-division/country:gb/part:eng/pcon:birmingham_selly_oak,"Birmingham, Selly Oak",E14000567
ocd-division/country:gb/part:eng/pcon:birmingham_yardley,"Birmingham, Yardley",E14000568
ocd-division/country:gb/part:eng/pcon:bishop_auckland,Bishop Auckland,E14000569
ocd-division/country:gb/part:eng/pcon:blackburn,Blackburn,E14000570
ocd-division/country:gb/part:eng/pcon:vauxhall,Vauxhall,E14001008
ocd-division/country:gb/part:eng/pcon:blackley_and_broughton,Blackley and Broughton,E14000571
ocd-division/country:gb/part:eng/pcon:blackpool_north_and_cleveleys,Blackpool North and Cleveleys,E14000572
ocd-division/country:gb/part:eng/pcon:wakefield,Wakefield,E14001009
ocd-division/country:gb/part:eng/pcon:wallasey,Wallasey,E14001010
ocd-division/country:gb/part:eng/pcon:blackpool_south,Blackpool South,E14000573
