id,name,gss_code
ocd-division/country:gb/part:sct/con:aberdeen_central,Aberdeen Central,S16000074
ocd-division/country:gb/part:sct/con:aberdeen_donside,Aberdeen Donside,S16000075
ocd-division/country:gb/part:sct/con:aberdeen_south_and_north_kincardine,Aberdeen South and North Kincardine,S16000076
ocd-division/country:gb/part:sct/con:aberdeenshire_east,Aberdeenshire East,S16000077
ocd-division/country:gb/part:sct/con:aberdeenshire_west,Aberdeenshire West,S16000078
ocd-division/country:gb/part:sct/con:airdrie_and_shotts,Airdrie and Shotts,S16000079
ocd-division/country:gb/part:sct/con:almond_valley,Almond Valley,S16000080
ocd-division/country:gb/part:sct/con:angus_north_and_mearns,Angus North and Mearns,S16000081
ocd-division/country:gb/part:sct/con:angus_south,Angus South,S16000082
ocd-division/country:gb/part:sct/con:argyll_and_bute,Argyll and Bute,S16000083
ocd-division/country:gb/part:sct/con:ayr,Ayr,S16000084
ocd-division/country:gb/part:sct/con:banffshire_and_buchan_coast,Banffshire and Buchan Coast,S16000085
ocd-division/country:gb/part:sct/con:caithness_sutherland_and_ross,"Caithness, Sutherland and Ross",S16000086
ocd-division/country:gb/part:sct/con:carrick_cumnock_and_doon_valley,"Carrick, Cumnock and Doon Valley",S16000087
ocd-division/country:gb/part:sct/con:clackmannanshire_and_dunblane,Clackmannanshire and Dunblane,S16000088
ocd-division/country:gb/part:sct/con:clydebank_and_milngavie,Clydebank and Milngavie,S16000089
ocd-division/country:gb/part:sct/con:clydesdale,Clydesdale,S16000090
ocd-division/country:gb/part:sct/con:coatbridge_and_chryston,Coatbridge and Chryston,S16000091
ocd-division/country:gb/part:sct/con:cowdenbeath,Cowdenbeath,S16000092
ocd-division/country:gb/part:sct/con:cumbernauld_and_kilsyth,Cumbernauld and Kilsyth,S16000093
ocd-division/country:gb/part:sct/con:cunninghame_north,Cunninghame North,S16000094
ocd-division/country:gb/part:sct/con:cunninghame_south,Cunninghame South,S16000095
ocd-division/country:gb/part:sct/con:dumbarton,Dumbarton,S16000096
ocd-division/country:gb/part:sct/con:dumfriesshire,Dumfriesshire,S16000097
ocd-division/country:gb/part:sct/con:glasgow_kelvin,Glasgow Kelvin,S16000117
ocd-division/country:gb/part:sct/con:glasgow_maryhill_and_springburn,Glasgow Maryhill and Springburn,S16000118
ocd-division/country:gb/part:sct/con:glasgow_pollok,Glasgow Pollok,S16000119
ocd-division/country:gb/part:sct/con:glasgow_provan,Glasgow Provan,S16000147
