abbreviation,district,headquarters
CD,Central Delhi,Daryaganj
ED,East Delhi,Preet Vihar
ND,New Delhi,Connaught Place
NO,North Delhi,Sadar Bazaar
NE,North East Delhi,Seelampur
NW,North West Delhi,Kanjhawala
SH,Shahdara,Shahdara
SD,South Delhi,Saket
SE,South East Delhi,Defence Colony
SW,South West Delhi,Vasant Vihar
WD,West Delhi,Rajouri Garden
