constituency,district
Bermo,Bokaro
Bokaro,Bokaro
Chandankyari,Bokaro
Gomia,Bokaro
Chatra,Chatra
Simaria,Chatra
Deoghar,Deoghar
Madhupur,Deoghar
Sarath,Deoghar
Baghmara,Dhanbad
Dhanbad,Dhanbad
Jharia,Dhanbad
Nirsa,Dhanbad
Sindri,Dhanbad
Tundi,Dhanbad
Dumka,Dumka
Jama,Dumka
Jarmundi,Dumka
Shikaripara,Dumka
Baharagora,East Singhbhum
Ghatshila,East Singhbhum
Jamshedpur  East,East Singhbhum
Jamshedpur  West,East Singhbhum
Jugsalai,East Singhbhum
Potka,East Singhbhum
Bhawanathpur,Garhwa
Garhwa,Garhwa
Bagodar,Giridih
Dhanwar,Giridih
Dumri,Giridih
Gandey,Giridih
Giridih,Giridih
Jamua,Giridih
Godda,Godda
Mahagama,Godda
Poreyahat,Godda
Bishunpur,Gumla
Gumla,Gumla
Sisai,Gumla
Barhi,Hazaribagh
Barkattha,Hazaribagh
Hazaribagh,Hazaribagh
Mandhu,Hazaribagh
Jamtara,Jamtara
Nala,Jamtara
Khunti,Khunti
Torpa,Khunti
Kodarma,Kodarma
Latehar,Latehar
Manika,Latehar
Lohardaga,Lohardaga
Littipara,Pakur
Maheshpur,Pakur
Pakur,Pakur
Bishrampur,Palamu
Chattarpur,Palamu
Daltonganj,Palamu
Hussainabad,Palamu
Panki,Palamu
Barkagaon,Ramgarh
Ramgarh,Ramgarh
Hatia,Ranchi
Kanke,Ranchi
Khijri,Ranchi
Mandar,Ranchi
Ranchi,Ranchi
Silli,Ranchi
Tamar,Ranchi
Barhait,Sahebganj
Borio,Sahebganj
Rajmahal,Sahebganj
Ichagarh,Saraikela Kharswan
Kharasawan,Saraikela Kharswan
Saraikella,Saraikela Kharswan
Kolebira,Simdega
Simdega,Simdega
Chaibasa,West Singhbhum
Chakradharpur,West Singhbhum
Jaganathpur,West Singhbhum
Majhganon,West Singhbhum
Manoharpur,West Singhbhum
