abbreviation,district,headquarters
BO,Bokaro,Bokaro
CH,Chatra,Chatra
DE,Deoghar,Deoghar
DH,Dhanbad,Dhanbad
DU,Dumka,Dumka
ES,East Singhbhum,Jamshedpur
GA,Garhwa,Garhwa
GI,Giridih,Giridih
GO,Godda,Godda
GU,Gumla,Gumla
HA,Hazaribagh,Hazaribag
JA,Jamtara,Jamtara
KH,Khunti,Khunti
KO,Kodarma,Koderma
LA,Latehar,Latehar
LO,Lohardaga,Lohardaga
PK,Pakur,Pakur
PL,Palamu,Daltonganj
RM,Ramgarh,Ramgarh
RA,Ranchi,Ranchi
SA,Sahebganj,Sahebganj
SK,Saraikela Kharswan,Seraikela
SI,Simdega,Simdega
WS,West Singhbhum,Chaibasa
