district,abbreviation
Ahmednagar,AH
Akola,AK
Amaravati,AM
Aurangabad,AU
Beed,BI
Bhandara,BH
Buldhana,BU
Chandrapur,CH
Dhule,DH
Gadchiroli,GA
Gondiya,GO
Hingoli,HI
Jalgaon,JG
Jalna,JN
Kolhapur,KO
Latur,LA
Mumbai City,MC
Mumbai Suburban,MU
Nagpur,NG
Nanded,ND
Nandurabar,NB
Nashik,NS
Osmanabad,OS
Palghar,PL
Parbhani,PA
Pune,PU
Raigad,RG
Ratnagiri,RT
Sangli,SN
Satara,ST
Sindhudurg,SI
Solapur,SO
Thane,TH
Wardha,WR
Washim,WS
Yavatmal,YT
