id,openstates_district
ocd-division/country:us/state:va/sldu:26,va-upper-26
ocd-division/country:us/state:va/sldu:27,va-upper-27
ocd-division/country:us/state:va/sldu:28,va-upper-28
ocd-division/country:us/state:va/sldu:29,va-upper-29
ocd-division/country:us/state:va/sldu:30,va-upper-30
ocd-division/country:us/state:va/sldu:31,va-upper-31
ocd-division/country:us/state:va/sldu:3,va-upper-3
ocd-division/country:us/state:va/sldu:32,va-upper-32
ocd-division/country:us/state:va/sldu:33,va-upper-33
ocd-division/country:us/state:va/sldu:34,va-upper-34
ocd-division/country:us/state:va/sldu:35,va-upper-35
ocd-division/country:us/state:va/sldu:36,va-upper-36
ocd-division/country:us/state:va/sldu:37,va-upper-37
ocd-division/country:us/state:va/sldu:38,va-upper-38
ocd-division/country:us/state:va/sldu:39,va-upper-39
ocd-division/country:us/state:va/sldu:40,va-upper-40
ocd-division/country:us/state:va/sldu:4,va-upper-4
ocd-division/country:us/state:va/sldu:5,va-upper-5
ocd-division/country:us/state:va/sldu:6,va-upper-6
ocd-division/country:us/state:va/sldu:7,va-upper-7
ocd-division/country:us/state:va/sldu:8,va-upper-8
ocd-division/country:us/state:va/sldu:9,va-upper-9
