id,openstates_district
ocd-division/country:us/state:ga/sldl:30,ga-lower-30
ocd-division/country:us/state:ga/sldl:31,ga-lower-31
ocd-division/country:us/state:ga/sldl:3,ga-lower-3
ocd-division/country:us/state:ga/sldl:32,ga-lower-32
ocd-division/country:us/state:ga/sldl:33,ga-lower-33
ocd-division/country:us/state:ga/sldl:34,ga-lower-34
ocd-division/country:us/state:ga/sldl:35,ga-lower-35
ocd-division/country:us/state:ga/sldl:36,ga-lower-36
ocd-division/country:us/state:ga/sldl:37,ga-lower-37
ocd-division/country:us/state:ga/sldl:38,ga-lower-38
ocd-division/country:us/state:ga/sldl:39,ga-lower-39
ocd-division/country:us/state:ga/sldl:40,ga-lower-40
ocd-division/country:us/state:ga/sldl:41,ga-lower-41
ocd-division/country:us/state:ga/sldl:4,ga-lower-4
ocd-division/country:us/state:ga/sldl:42,ga-lower-42
ocd-division/country:us/state:ga/sldl:43,ga-lower-43
ocd-division/country:us/state:ga/sldl:44,ga-lower-44
ocd-division/country:us/state:ga/sldl:45,ga-lower-45
ocd-division/country:us/state:ga/sldl:46,ga-lower-46
ocd-division/country:us/state:ga/sldl:47,ga-lower-47
ocd-division/country:us/state:ga/sldl:48,ga-lower-48
ocd-division/country:us/state:ga/sldl:49,ga-lower-49
ocd-division/country:us/state:ga/sldl:50,ga-lower-50
ocd-division/country:us/state:ga/sldl:51,ga-lower-51
ocd-division/country:us/state:ga/sldl:5,ga-lower-5
ocd-division/country:us/state:ga/sldl:52,ga-lower-52
ocd-division/country:us/state:ga/sldl:53,ga-lower-53
ocd-division/country:us/state:ga/sldl:54,ga-lower-54
ocd-division/country:us/state:ga/sldl:55,ga-lower-55
ocd-division/country:us/state:ga/sldl:56,ga-lower-56
ocd-division/country:us/state:ga/sldl:57,ga-lower-57
ocd-division/country:us/state:ga/sldl:58,ga-lower-58
ocd-division/country:us/state:ga/sldl:59,ga-lower-59
ocd-division/country:us/state:ga/sldl:60,ga-lower-60
ocd-division/country:us/state:ga/sldl:61,ga-lower-61
ocd-division/country:us/state:ga/sldl:6,ga-lower-6
ocd-division/country:us/state:ga/sldl:62,ga-lower-62
ocd-division/country:us/state:ga/sldl:63,ga-lower-63
ocd-division/country:us/state:ga/sldl:64,ga-lower-64
ocd-division/country:us/state:ga/sldl:65,ga-lower-65
ocd-division/country:us/state:ga/sldl:66,ga-lower-66
ocd-division/country:us/state:ga/sldl:67,ga-lower-67
ocd-division/country:us/state:ga/sldl:68,ga-lower-68
ocd-division/country:us/state:ga/sldl:69,ga-lower-69
ocd-division/country:us/state:ga/sldl:70,ga-lower-70
ocd-division/country:us/state:ga/sldl:71,ga-lower-71
ocd-division/country:us/state:ga/sldl:7,ga-lower-7
ocd-division/country:us/state:ga/sldl:72,ga-lower-72
ocd-division/country:us/state:ga/sldl:73,ga-lower-73
ocd-division/country:us/state:ga/sldl:74,ga-lower-74
ocd-division/country:us/state:ga/sldl:75,ga-lower-75
ocd-division/country:us/state:ga/sldl:76,ga-lower-76
ocd-division/country:us/state:ga/sldl:77,ga-lower-77
ocd-division/country:us/state:ga/sldl:78,ga-lower-78
ocd-division/country:us/state:ga/sldl:79,ga-lower-79
ocd-division/country:us/state:ga/sldl:80,ga-lower-80
ocd-division/country:us/state:ga/sldl:81,ga-lower-81
ocd-division/country:us/state:ga/sldl:8,ga-lower-8
ocd-division/country:us/state:ga/sldl:82,ga-lower-82
ocd-division/country:us/state:ga/sldl:83,ga-lower-83
