id,openstates_district
ocd-division/country:us/state:ks/sldl:86,ks-lower-86
ocd-division/country:us/state:ks/sldl:87,ks-lower-87
ocd-division/country:us/state:ks/sldl:88,ks-lower-88
ocd-division/country:us/state:ks/sldl:89,ks-lower-89
ocd-division/country:us/state:ks/sldl:90,ks-lower-90
ocd-division/country:us/state:ks/sldl:91,ks-lower-91
ocd-division/country:us/state:ks/sldl:9,ks-lower-9
ocd-division/country:us/state:ks/sldl:92,ks-lower-92
ocd-division/country:us/state:ks/sldl:93,ks-lower-93
ocd-division/country:us/state:ks/sldl:94,ks-lower-94
ocd-division/country:us/state:ks/sldl:95,ks-lower-95
ocd-division/country:us/state:ks/sldl:96,ks-lower-96
ocd-division/country:us/state:ks/sldl:97,ks-lower-97
ocd-division/country:us/state:ks/sldl:98,ks-lower-98
ocd-division/country:us/state:ks/sldl:99,ks-lower-99
ocd-division/country:us/state:ks/sldu:10,ks-upper-10
ocd-division/country:us/state:ks/sldu:11,ks-upper-11
ocd-division/country:us/state:ks/sldu:1,ks-upper-1
ocd-division/country:us/state:ks/sldu:12,ks-upper-12
ocd-division/country:us/state:ks/sldu:13,ks-upper-13
ocd-division/country:us/state:ks/sldu:14,ks-upper-14
ocd-division/country:us/state:ks/sldu:15,ks-upper-15
ocd-division/country:us/state:ks/sldu:16,ks-upper-16
ocd-division/country:us/state:ks/sldu:17,ks-upper-17
ocd-division/country:us/state:ks/sldu:18,ks-upper-18
ocd-division/country:us/state:ks/sldu:19,ks-upper-19
ocd-division/country:us/state:ks/sldu:20,ks-upper-20
ocd-division/country:us/state:ks/sldu:21,ks-upper-21
ocd-division/country:us/state:ks/sldu:2,ks-upper-2
ocd-division/country:us/state:ks/sldu:22,ks-upper-22
ocd-division/country:us/state:ks/sldu:23,ks-upper-23
ocd-division/country:us/state:ks/sldu:24,ks-upper-24
ocd-division/country:us/state:ks/sldu:25,ks-upper-25
ocd-division/country:us/state:ks/sldu:26,ks-upper-26
ocd-division/country:us/state:ks/sldu:27,ks-upper-27
ocd-division/country:us/state:ks/sldu:28,ks-upper-28
ocd-division/country:us/state:ks/sldu:29,ks-upper-29
ocd-division/country:us/state:ks/sldu:30,ks-upper-30
ocd-division/country:us/state:ks/sldu:31,ks-upper-31
ocd-division/country:us/state:ks/sldu:3,ks-upper-3
ocd-division/country:us/state:ks/sldu:32,ks-upper-32
ocd-division/country:us/state:ks/sldu:33,ks-upper-33
ocd-division/country:us/state:ks/sldu:34,ks-upper-34
ocd-division/country:us/state:ks/sldu:35,ks-upper-35
ocd-division/country:us/state:ks/sldu:36,ks-upper-36
ocd-division/country:us/state:ks/sldu:37,ks-upper-37
ocd-division/country:us/state:ks/sldu:38,ks-upper-38
ocd-division/country:us/state:ks/sldu:39,ks-upper-39
ocd-division/country:us/state:ks/sldu:40,ks-upper-40
ocd-division/country:us/state:ks/sldu:4,ks-upper-4
ocd-division/country:us/state:ks/sldu:5,ks-upper-5
ocd-division/country:us/state:ks/sldu:6,ks-upper-6
ocd-division/country:us/state:ks/sldu:7,ks-upper-7
ocd-division/country:us/state:ks/sldu:8,ks-upper-8
ocd-division/country:us/state:ks/sldu:9,ks-upper-9
