id,openstates_district
ocd-division/country:us/state:ar/sldu:19,ar-upper-19
ocd-division/country:us/state:ar/sldu:20,ar-upper-20
ocd-division/country:us/state:ar/sldu:21,ar-upper-21
ocd-division/country:us/state:ar/sldu:2,ar-upper-2
ocd-division/country:us/state:ar/sldu:22,ar-upper-22
ocd-division/country:us/state:ar/sldu:23,ar-upper-23
ocd-division/country:us/state:ar/sldu:24,ar-upper-24
ocd-division/country:us/state:ar/sldu:25,ar-upper-25
ocd-division/country:us/state:ar/sldu:26,ar-upper-26
ocd-division/country:us/state:ar/sldu:27,ar-upper-27
ocd-division/country:us/state:ar/sldu:28,ar-upper-28
ocd-division/country:us/state:ar/sldu:29,ar-upper-29
ocd-division/country:us/state:ar/sldu:30,ar-upper-30
ocd-division/country:us/state:ar/sldu:31,ar-upper-31
ocd-division/country:us/state:ar/sldu:3,ar-upper-3
ocd-division/country:us/state:ar/sldu:32,ar-upper-32
ocd-division/country:us/state:ar/sldu:33,ar-upper-33
ocd-division/country:us/state:ar/sldu:34,ar-upper-34
ocd-division/country:us/state:ar/sldu:35,ar-upper-35
ocd-division/country:us/state:ar/sldu:4,ar-upper-4
ocd-division/country:us/state:ar/sldu:5,ar-upper-5
ocd-division/country:us/state:ar/sldu:6,ar-upper-6
ocd-division/country:us/state:ar/sldu:7,ar-upper-7
ocd-division/country:us/state:ar/sldu:8,ar-upper-8
ocd-division/country:us/state:ar/sldu:9,ar-upper-9
