id,sameAs,sameAsNote,validFrom,validThrough
ocd-division/country:de/land:bw/wahlkreis:aalen_~_heidenheim,ocd-division/country:de/ed:aalen_-_heidenheim,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:backnang_~_schwäbisch_gmünd,ocd-division/country:de/ed:backnang_-_schwäbisch_gmünd,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:biberach,ocd-division/country:de/ed:biberach,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:böblingen,ocd-division/country:de/ed:böblingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:bodensee,ocd-division/country:de/ed:bodensee,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:bruchsal_~_schwetzingen,ocd-division/country:de/ed:bruchsal_-_schwetzingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:calw,ocd-division/country:de/ed:calw,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:emmendingen_~_lahr,ocd-division/country:de/ed:emmendingen_-_lahr,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:esslingen,ocd-division/country:de/ed:esslingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:freiburg,ocd-division/country:de/ed:freiburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:göppingen,ocd-division/country:de/ed:göppingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:heidelberg,ocd-division/country:de/ed:heidelberg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:heilbronn,ocd-division/country:de/ed:heilbronn,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:karlsruhe-land,ocd-division/country:de/ed:karlsruhe-land,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:karlsruhe-stadt,ocd-division/country:de/ed:karlsruhe-stadt,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:konstanz,ocd-division/country:de/ed:konstanz,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:lörrach_~_müllheim,ocd-division/country:de/ed:lörrach_-_müllheim,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:ludwigsburg,ocd-division/country:de/ed:ludwigsburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:mannheim,ocd-division/country:de/ed:mannheim,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:neckar-zaber,ocd-division/country:de/ed:neckar-zaber,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:nürtingen,ocd-division/country:de/ed:nürtingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:odenwald_~_tauber,ocd-division/country:de/ed:odenwald_-_tauber,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:offenburg,ocd-division/country:de/ed:offenburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:pforzheim,ocd-division/country:de/ed:pforzheim,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:rastatt,ocd-division/country:de/ed:rastatt,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:ravensburg,ocd-division/country:de/ed:ravensburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:reutlingen,ocd-division/country:de/ed:reutlingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:rhein-neckar,ocd-division/country:de/ed:rhein-neckar,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:rottweil_~_tuttlingen,ocd-division/country:de/ed:rottweil_-_tuttlingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:schwäbisch_hall_~_hohenlohe,ocd-division/country:de/ed:schwäbisch_hall_-_hohenlohe,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:schwarzwald-baar,ocd-division/country:de/ed:schwarzwald-baar,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:stuttgart_ii,ocd-division/country:de/ed:stuttgart_ii,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:stuttgart_i,ocd-division/country:de/ed:stuttgart_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:tübingen,ocd-division/country:de/ed:tübingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:ulm,ocd-division/country:de/ed:ulm,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:waiblingen,ocd-division/country:de/ed:waiblingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:waldshut,ocd-division/country:de/ed:waldshut,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:bw/wahlkreis:zollernalb_~_sigmaringen,ocd-division/country:de/ed:zollernalb_-_sigmaringen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:altötting,ocd-division/country:de/ed:altötting,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:amberg,ocd-division/country:de/ed:amberg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:ansbach,ocd-division/country:de/ed:ansbach,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:aschaffenburg,ocd-division/country:de/ed:aschaffenburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:augsburg-land,ocd-division/country:de/ed:augsburg-land,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:augsburg-stadt,ocd-division/country:de/ed:augsburg-stadt,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:bad_kissingen,ocd-division/country:de/ed:bad_kissingen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:bad_tölz-wolfratshausen_~_miesbach,ocd-division/country:de/ed:bad_tölz-wolfratshausen_-_miesbach,Added for backwards compatibility with land/wahlkreis identifiers,,
