id,name,ordnance_id
ocd-division/country:uk/cty:buckinghamshire_county/diw:amersham_common_ward,Amersham Common Ward,E05002630
ocd-division/country:uk/cty:buckinghamshire_county/diw:austenwood_ward,Austenwood Ward,E05002635
ocd-division/country:uk/cty:buckinghamshire_county/diw:amersham-on-the-hill_ward,Amersham-on-the-Hill Ward,E05002631
ocd-division/country:uk/cty:buckinghamshire_county/diw:asheridge_vale_and_lowndes_ward,Asheridge Vale and Lowndes Ward,E05002633
ocd-division/country:uk/cty:buckinghamshire_county/diw:hilltop_and_townsend_ward,Hilltop and Townsend Ward,E05002644
ocd-division/country:uk/cty:buckinghamshire_county/diw:ridgeway_ward,Ridgeway Ward,E05002651
ocd-division/country:uk/cty:buckinghamshire_county/diw:vale_ward,Vale Ward,E05002654
ocd-division/country:uk/cty:buckinghamshire_county/diw:newtown_ward,Newtown Ward,E05002648
ocd-division/country:uk/cty:buckinghamshire_county/diw:little_chalfont_ward,Little Chalfont Ward,E05002646
ocd-division/country:uk/cty:buckinghamshire_county/diw:luffield_abbey_ward,Luffield Abbey Ward,E05010346
ocd-division/country:uk/cty:buckinghamshire_county/diw:quainton_ward,Quainton Ward,E05010352
ocd-division/country:uk/cty:buckinghamshire_county/diw:steeple_claydon_ward,Steeple Claydon Ward,E05010355
ocd-division/country:uk/cty:buckinghamshire_county/diw:aston_clinton_stoke_mandeville_ward,Aston Clinton & Stoke Mandeville Ward,E05010332
ocd-division/country:uk/cty:buckinghamshire_county/diw:wingrave_ward,Wingrave Ward,E05010363
ocd-division/country:uk/cty:buckinghamshire_county/diw:great_brickhill_newton_longville_ward,Great Brickhill & Newton Longville Ward,E05010341
ocd-division/country:uk/cty:buckinghamshire_county/diw:long_crendon_ward,Long Crendon Ward,E05010345
ocd-division/country:uk/cty:buckinghamshire_county/diw:oakley_ward,Oakley Ward,E05010350
ocd-division/country:uk/cty:buckinghamshire_county/diw:haddenham_stone_ward,Haddenham & Stone Ward,E05010344
ocd-division/country:uk/cty:buckinghamshire_county/diw:grendon_underwood_brill_ward,Grendon Underwood & Brill Ward,E05010343
ocd-division/country:uk/cty:buckinghamshire_county/diw:waddesdon_ward,Waddesdon Ward,E05010358
ocd-division/country:uk/cty:buckinghamshire_county/diw:riverside_ward,Riverside Ward,E05010353
ocd-division/country:uk/cty:buckinghamshire_county/diw:marsh_gibbon_ward,Marsh Gibbon Ward,E05010348
ocd-division/country:uk/cty:buckinghamshire_county/diw:winslow_ward,Winslow Ward,E05010364
ocd-division/country:uk/cty:buckinghamshire_county/diw:tingewick_ward,Tingewick Ward,E05010357
ocd-division/country:uk/cty:buckinghamshire_county/diw:great_horwood_ward,Great Horwood Ward,E05010342
ocd-division/country:uk/cty:buckinghamshire_county/diw:wendover_halton_ward,Wendover & Halton Ward,E05010361
ocd-division/country:uk/cty:buckinghamshire_county/diw:oakfield_bierton_ward,Oakfield & Bierton Ward,E05010349
ocd-division/country:uk/cty:buckinghamshire_county/diw:pitstone_cheddington_ward,Pitstone & Cheddington Ward,E05010351
ocd-division/country:uk/cty:buckinghamshire_county/diw:edlesborough_ward,Edlesborough Ward,E05010338
ocd-division/country:uk/cty:buckinghamshire_county/diw:stewkley_ward,Stewkley Ward,E05010356
ocd-division/country:uk/cty:buckinghamshire_county/diw:buckingham_south_ward,Buckingham South Ward,E05010335
ocd-division/country:uk/cty:buckinghamshire_county/diw:watermead_ward,Watermead Ward,E05010360
ocd-division/country:uk/cty:buckinghamshire_county/diw:wing_ward,Wing Ward,E05010362
ocd-division/country:uk/cty:buckinghamshire_county/diw:walton_court_hawkslade_ward,Walton Court & Hawkslade Ward,E05010359
ocd-division/country:uk/cty:buckinghamshire_county/diw:coldharbour_ward,Coldharbour Ward,E05010337
ocd-division/country:uk/cty:buckinghamshire_county/diw:southcourt_ward,Southcourt Ward,E05010354
ocd-division/country:uk/cty:buckinghamshire_county/diw:gatehouse_ward,Gatehouse Ward,E05010340
ocd-division/country:uk/cty:buckinghamshire_county/diw:buckingham_north_ward,Buckingham North Ward,E05010334
ocd-division/country:uk/cty:buckinghamshire_county/diw:central_walton_ward,Central & Walton Ward,E05010336
ocd-division/country:uk/cty:buckinghamshire_county/diw:mandeville_elm_farm_ward,Mandeville & Elm Farm Ward,E05010347
ocd-division/country:uk/cty:buckinghamshire_county/diw:bedgrove_ward,Bedgrove Ward,E05010333
ocd-division/country:uk/cty:buckinghamshire_county/diw:elmhurst_ward,Elmhurst Ward,E05010339
ocd-division/country:uk/cty:cambridgeshire_county/diw:doddington_wimblington_ward,Doddington & Wimblington Ward,E05009495
ocd-division/country:uk/cty:cambridgeshire_county/diw:elm_christchurch_ward,Elm & Christchurch Ward,E05009496
ocd-division/country:uk/cty:cambridgeshire_county/diw:roman_bank_ward,Roman Bank Ward,E05009507
ocd-division/country:uk/cty:cambridgeshire_county/diw:benwick_coates_eastrea_ward,"Benwick, Coates & Eastrea Ward",E05009492
ocd-division/country:uk/cty:cambridgeshire_county/diw:bassenhally_ward,Bassenhally Ward,E05009491
ocd-division/country:uk/cty:cambridgeshire_county/diw:manea_ward,Manea Ward,E05009499
ocd-division/country:uk/cty:cambridgeshire_county/diw:march_west_ward,March West Ward,E05009502
ocd-division/country:uk/cty:cambridgeshire_county/diw:march_north_ward,March North Ward,E05009501
ocd-division/country:uk/cty:cambridgeshire_county/diw:parson_drove_wisbech_st_mary_ward,Parson Drove & Wisbech St. Mary Ward,E05009505
ocd-division/country:uk/cty:cambridgeshire_county/diw:stonald_ward,Stonald Ward,E05009511
ocd-division/country:uk/cty:cambridgeshire_county/diw:the_mills_ward,The Mills Ward,E05009512
ocd-division/country:uk/cty:cambridgeshire_county/diw:slade_lode_ward,Slade Lode Ward,E05009509
ocd-division/country:uk/cty:cambridgeshire_county/diw:march_east_ward,March East Ward,E05009500
ocd-division/country:uk/cty:cambridgeshire_county/diw:peckover_ward,Peckover Ward,E05009506
ocd-division/country:uk/cty:cambridgeshire_county/diw:st_andrews_ward,St. Andrews Ward,E05009508
ocd-division/country:uk/cty:cambridgeshire_county/diw:wenneye_ward,Wenneye Ward,E05009514
ocd-division/country:uk/cty:cambridgeshire_county/diw:medworth_ward,Medworth Ward,E05009503
ocd-division/country:uk/cty:cambridgeshire_county/diw:octavia_hill_ward,Octavia Hill Ward,E05009504
ocd-division/country:uk/cty:cambridgeshire_county/diw:staithe_ward,Staithe Ward,E05009510
ocd-division/country:uk/cty:cambridgeshire_county/diw:waterlees_village_ward,Waterlees Village Ward,E05009513
ocd-division/country:uk/cty:cambridgeshire_county/diw:lattersey_ward,Lattersey Ward,E05009498
ocd-division/country:uk/cty:cambridgeshire_county/diw:birch_ward,Birch Ward,E05009493
ocd-division/country:uk/cty:cambridgeshire_county/diw:clarkson_ward,Clarkson Ward,E05009494
ocd-division/country:uk/cty:cambridgeshire_county/diw:kirkgate_ward,Kirkgate Ward,E05009497
ocd-division/country:uk/cty:cambridgeshire_county/diw:balsham_ward,Balsham Ward,E05002791
ocd-division/country:uk/cty:cambridgeshire_county/diw:the_mordens_ward,The Mordens Ward,E05002819
ocd-division/country:uk/cty:cambridgeshire_county/diw:bassingbourn_ward,Bassingbourn Ward,E05002794
ocd-division/country:uk/cty:cambridgeshire_county/diw:gamlingay_ward,Gamlingay Ward,E05002802
ocd-division/country:uk/cty:cambridgeshire_county/diw:bourn_ward,Bourn Ward,E05002795
ocd-division/country:uk/cty:cambridgeshire_county/diw:papworth_and_elsworth_ward,Papworth and Elsworth Ward,E05002814
ocd-division/country:uk/cty:cambridgeshire_county/diw:melbourn_ward,Melbourn Ward,E05002810
ocd-division/country:uk/cty:cambridgeshire_county/diw:orwell_and_barrington_ward,Orwell and Barrington Ward,E05002813
