id,name,ordnance_id,sameAs
ocd-division/country:uk/cty:buckinghamshire/cpc:lillingstone_dayrell_with_luffield_abbey,Lillingstone Dayrell with Luffield Abbey,E04001502,
ocd-division/country:uk/cty:buckinghamshire/cpc:aston_clinton,Aston Clinton,E04001457,
ocd-division/country:uk/cty:buckinghamshire/cpc:buckland,Buckland,E04001466,
ocd-division/country:uk/cty:buckinghamshire/cpc:drayton_beauchamp,Drayton Beauchamp,E04001477,
ocd-division/country:uk/cty:buckinghamshire/cpc:bierton_with_broughton,Bierton with Broughton,E04001462,
ocd-division/country:uk/cty:buckinghamshire/cpc:whitchurch,Whitchurch,E04001552,
ocd-division/country:uk/cty:buckinghamshire/cpc:ivinghoe,Ivinghoe,E04001498,
ocd-division/country:uk/cty:buckinghamshire/cpc:mentmore,Mentmore,E04001511,
ocd-division/country:uk/cty:buckinghamshire/cpc:edlesborough,Edlesborough,E04001482,
ocd-division/country:uk/cty:buckinghamshire/cpc:stewkley,Stewkley,E04001532,
ocd-division/country:uk/cty:buckinghamshire/cpc:mursley,Mursley,E04001513,
ocd-division/country:uk/cty:buckinghamshire/cpc:soulbury,Soulbury,E04001530,
ocd-division/country:uk/cty:buckinghamshire/cpc:newton_longville,Newton Longville,E04001515,
ocd-division/country:uk/cty:buckinghamshire/cpc:lillingstone_lovell,Lillingstone Lovell,E04001503,
ocd-division/country:uk/cty:buckinghamshire/cpc:ickford,Ickford,E04001497,
ocd-division/country:uk/cty:buckinghamshire/cpc:shabbington,Shabbington,E04001527,
ocd-division/country:uk/cty:buckinghamshire/cpc:kingsey,Kingsey,E04001499,
ocd-division/country:uk/cty:buckinghamshire/cpc:wendover,Wendover,E04001547,
ocd-division/country:uk/cty:buckinghamshire/cpc:worminghall,Worminghall,E04001557,
ocd-division/country:uk/cty:buckinghamshire/cpc:boarstall,Boarstall,E04001463,
ocd-division/country:uk/cty:buckinghamshire/cpc:chearsley,Chearsley,E04001468,
ocd-division/country:uk/cty:buckinghamshire/cpc:brill,Brill,E04001464,
