id,name,ordnance_id,sameAs
ocd-division/country:uk/ute:pentwyn,Pentwyn,W05001014,
ocd-division/country:uk/ute:rhiwbina,Rhiwbina,W05000876,
ocd-division/country:uk/ute:llanishen,Llanishen,W05001012,
ocd-division/country:uk/ute:llanrumney,Llanrumney,W05001013,
ocd-division/country:uk/ute:twyn_carno,Twyn Carno,W05000748,
ocd-division/country:uk/ute:aber_valley,Aber Valley,W05000720,
ocd-division/country:uk/ute:st_martins,St. Martins,W05000931,
ocd-division/country:uk/ute:bedwas_trethomas_and_machen,"Bedwas, Trethomas and Machen",W05000723,
ocd-division/country:uk/ute:ynysddu,Ynysddu,W05000749,
ocd-division/country:uk/ute:st_james,St. James,W05000930,
ocd-division/country:uk/ute:abercarn,Abercarn,W05000719,
ocd-division/country:uk/ute:darren_valley,Darren Valley,W05000728,
ocd-division/country:uk/ute:new_tredegar,New Tredegar,W05000737,
ocd-division/country:uk/ute:newbridge,Newbridge,W05000736,
ocd-division/country:uk/ute:crumlin,Crumlin,W05000920,
ocd-division/country:uk/ute:argoed,Argoed,W05000721,
ocd-division/country:uk/ute:morgan_jones,Morgan Jones,W05000923,
ocd-division/country:uk/ute:llanbradach,Llanbradach,W05000921,
ocd-division/country:uk/ute:nelson,Nelson,W05000735,
ocd-division/country:uk/ute:maesycwmmer,Maesycwmmer,W05000922,
ocd-division/country:uk/ute:ystrad_mynach,Ystrad Mynach,W05000750,
ocd-division/country:uk/ute:crosskeys,Crosskeys,W05000726,
ocd-division/country:uk/ute:pontllanfraith,Pontllanfraith,W05000927,
ocd-division/country:uk/ute:risca_west,Risca West,W05000929,
ocd-division/country:uk/ute:risca_east,Risca East,W05000928,
ocd-division/country:uk/ute:st_cattwg,St. Cattwg,W05000745,
ocd-division/country:uk/ute:pengam,Pengam,W05000924,
ocd-division/country:uk/ute:aberbargoed,Aberbargoed,W05000718,
ocd-division/country:uk/ute:pontlottyn,Pontlottyn,W05000742,
ocd-division/country:uk/ute:moriah,Moriah,W05000734,
ocd-division/country:uk/ute:blackwood,Blackwood,W05000724,
ocd-division/country:uk/ute:penmaen,Penmaen,W05000925,
ocd-division/country:uk/ute:hengoed,Hengoed,W05000730,
ocd-division/country:uk/ute:cefn_fforest,Cefn Fforest,W05000919,
ocd-division/country:uk/ute:gilfach,Gilfach,W05000729,
ocd-division/country:uk/ute:bargoed,Bargoed,W05000722,
ocd-division/country:uk/ute:langstone,Langstone,W05000840,
ocd-division/country:uk/ute:llanwern,Llanwern,W05000842,
ocd-division/country:uk/ute:graig,Graig,W05000839,
ocd-division/country:uk/ute:marshfield,Marshfield,W05000844,
ocd-division/country:uk/ute:bettws,Bettws,W05000836,
ocd-division/country:uk/ute:liswerry,Liswerry,W05000841,
ocd-division/country:uk/ute:caerleon,Caerleon,W05000837,
ocd-division/country:uk/ute:pillgwenlly,Pillgwenlly,W05000845,
ocd-division/country:uk/ute:rogerstone,Rogerstone,W05000847,
ocd-division/country:uk/ute:allt-yr-yn,Allt-yr-Yn,W05000833,
ocd-division/country:uk/ute:shaftesbury,Shaftesbury,W05000849,
ocd-division/country:uk/ute:st_julians,St. Julians,W05000848,
ocd-division/country:uk/ute:alway,Alway,W05000834,
ocd-division/country:uk/ute:ringland,Ringland,W05000846,
ocd-division/country:uk/ute:tredegar_park,Tredegar Park,W05000851,
ocd-division/country:uk/ute:gaer,Gaer,W05000838,
ocd-division/country:uk/ute:stow_hill,Stow Hill,W05000850,
ocd-division/country:uk/ute:victoria,Victoria,W05000852,
ocd-division/country:uk/ute:malpas,Malpas,W05000843,
ocd-division/country:uk/ute:beechwood,Beechwood,W05000835,
ocd-division/country:uk/ute:baglan,Baglan,W05001027,
