id,name,ordnance_id,sameAs
ocd-division/country:uk/eur:east_midlands_euro_region,East Midlands Euro Region,E15000004,
ocd-division/country:uk/eur:london_euro_region,London Euro Region,E15000007,
ocd-division/country:uk/eur:north_west_euro_region,North West Euro Region,E15000002,
ocd-division/country:uk/eur:scotland_euro_region,Scotland Euro Region,S15000001,
ocd-division/country:uk/eur:west_midlands_euro_region,West Midlands Euro Region,E15000005,
ocd-division/country:uk/eur:yorkshire_and_the_humber_euro_region,Yorkshire and the Humber Euro Region,E15000003,
ocd-division/country:uk/eur:south_east_euro_region,South East Euro Region,E15000008,
ocd-division/country:uk/eur:north_east_euro_region,North East Euro Region,E15000001,
ocd-division/country:uk/eur:wales_euro_region,Wales Euro Region,W08000001,
ocd-division/country:uk/eur:eastern_euro_region,Eastern Euro Region,E15000006,
ocd-division/country:uk/eur:south_west_euro_region,South West Euro Region,E15000009,
