id,name,ordnance_id
ocd-division/country:uk/wmc:brigg_and_goole_co,Brigg and Goole Co,E14000596
ocd-division/country:uk/wmc:brighton_kemptown_boro,"Brighton, Kemptown Boro",E14000597
ocd-division/country:uk/wmc:brighton_pavilion_boro,"Brighton, Pavilion Boro",E14000598
ocd-division/country:uk/wmc:bristol_east_boro,Bristol East Boro,E14000599
ocd-division/country:uk/wmc:bristol_north_west_boro,Bristol North West Boro,E14000600
ocd-division/country:uk/wmc:bristol_south_boro,Bristol South Boro,E14000601
ocd-division/country:uk/wmc:bristol_west_boro,Bristol West Boro,E14000602
ocd-division/country:uk/wmc:broadland_co,Broadland Co,E14000603
ocd-division/country:uk/wmc:bromley_and_chislehurst_boro,Bromley and Chislehurst Boro,E14000604
ocd-division/country:uk/wmc:bromsgrove_co,Bromsgrove Co,E14000605
ocd-division/country:uk/wmc:broxbourne_boro,Broxbourne Boro,E14000606
ocd-division/country:uk/wmc:broxtowe_co,Broxtowe Co,E14000607
ocd-division/country:uk/wmc:buckingham_co,Buckingham Co,E14000608
ocd-division/country:uk/wmc:burnley_boro,Burnley Boro,E14000609
ocd-division/country:uk/wmc:burton_co,Burton Co,E14000610
ocd-division/country:uk/wmc:bury_north_boro,Bury North Boro,E14000611
ocd-division/country:uk/wmc:bury_south_boro,Bury South Boro,E14000612
ocd-division/country:uk/wmc:bury_st_edmunds_co,Bury St. Edmunds Co,E14000613
ocd-division/country:uk/wmc:caerphilly_co,Caerphilly Co,W07000076
ocd-division/country:uk/wmc:calder_valley_co,Calder Valley Co,E14000614
ocd-division/country:uk/wmc:camberwell_and_peckham_boro,Camberwell and Peckham Boro,E14000615
ocd-division/country:uk/wmc:cambridge_boro,Cambridge Boro,E14000617
ocd-division/country:uk/wmc:cannock_chase_co,Cannock Chase Co,E14000618
ocd-division/country:uk/wmc:canterbury_co,Canterbury Co,E14000619
ocd-division/country:uk/wmc:cardiff_central_boro,Cardiff Central Boro,W07000050
ocd-division/country:uk/wmc:cardiff_north_boro,Cardiff North Boro,W07000051
ocd-division/country:uk/wmc:cardiff_west_boro,Cardiff West Boro,W07000079
ocd-division/country:uk/wmc:carlisle_boro,Carlisle Boro,E14000620
ocd-division/country:uk/wmc:carmarthen_east_and_dinefwr_co,Carmarthen East and Dinefwr Co,W07000067
ocd-division/country:uk/wmc:carshalton_and_wallington_boro,Carshalton and Wallington Boro,E14000621
ocd-division/country:uk/wmc:castle_point_boro,Castle Point Boro,E14000622
ocd-division/country:uk/wmc:central_devon_co,Central Devon Co,E14000623
ocd-division/country:uk/wmc:central_suffolk_and_north_ipswich_co,Central Suffolk and North Ipswich Co,E14000624
ocd-division/country:uk/wmc:charnwood_co,Charnwood Co,E14000625
ocd-division/country:uk/wmc:chatham_and_aylesford_co,Chatham and Aylesford Co,E14000626
ocd-division/country:uk/wmc:cheadle_boro,Cheadle Boro,E14000627
ocd-division/country:uk/wmc:chelmsford_boro,Chelmsford Boro,E14000628
ocd-division/country:uk/wmc:chelsea_and_fulham_boro,Chelsea and Fulham Boro,E14000629
ocd-division/country:uk/wmc:cheltenham_boro,Cheltenham Boro,E14000630
ocd-division/country:uk/wmc:chesham_and_amersham_co,Chesham and Amersham Co,E14000631
ocd-division/country:uk/wmc:chesterfield_boro,Chesterfield Boro,E14000632
ocd-division/country:uk/wmc:chichester_co,Chichester Co,E14000633
ocd-division/country:uk/wmc:chingford_and_woodford_green_boro,Chingford and Woodford Green Boro,E14000634
ocd-division/country:uk/wmc:chippenham_co,Chippenham Co,E14000635
ocd-division/country:uk/wmc:chipping_barnet_boro,Chipping Barnet Boro,E14000636
ocd-division/country:uk/wmc:chorley_co,Chorley Co,E14000637
ocd-division/country:uk/wmc:christchurch_co,Christchurch Co,E14000638
ocd-division/country:uk/wmc:cities_of_london_and_westminster_boro,Cities of London and Westminster Boro,E14000639
ocd-division/country:uk/wmc:city_of_chester_co,City of Chester Co,E14000640
ocd-division/country:uk/wmc:city_of_durham_co,City of Durham Co,E14000641
ocd-division/country:uk/wmc:clacton_co,Clacton Co,E14000642
ocd-division/country:uk/wmc:cleethorpes_co,Cleethorpes Co,E14000643
ocd-division/country:uk/wmc:clwyd_south_co,Clwyd South Co,W07000062
ocd-division/country:uk/wmc:clwyd_west_co,Clwyd West Co,W07000059
ocd-division/country:uk/wmc:coatbridge_chryston_and_bellshill_burgh,"Coatbridge, Chryston and Bellshill Burgh",S14000011
ocd-division/country:uk/wmc:colchester_boro,Colchester Boro,E14000644
ocd-division/country:uk/wmc:colne_valley_co,Colne Valley Co,E14000645
ocd-division/country:uk/wmc:congleton_co,Congleton Co,E14000646
ocd-division/country:uk/wmc:copeland_co,Copeland Co,E14000647
ocd-division/country:uk/wmc:corby_co,Corby Co,E14000648
ocd-division/country:uk/wmc:coventry_north_east_boro,Coventry North East Boro,E14000649
ocd-division/country:uk/wmc:coventry_north_west_boro,Coventry North West Boro,E14000650
ocd-division/country:uk/wmc:coventry_south_boro,Coventry South Boro,E14000651
ocd-division/country:uk/wmc:crawley_boro,Crawley Boro,E14000652
ocd-division/country:uk/wmc:crewe_and_nantwich_co,Crewe and Nantwich Co,E14000653
ocd-division/country:uk/wmc:croydon_central_boro,Croydon Central Boro,E14000654
ocd-division/country:uk/wmc:croydon_north_boro,Croydon North Boro,E14000655
ocd-division/country:uk/wmc:croydon_south_boro,Croydon South Boro,E14000656
ocd-division/country:uk/wmc:cumbernauld_kilsyth_and_kirkintilloch_east_co_cons,"Cumbernauld, Kilsyth and Kirkintilloch East Co",S14000012
ocd-division/country:uk/wmc:cynon_valley_co,Cynon Valley Co,W07000070
ocd-division/country:uk/wmc:dagenham_and_rainham_boro,Dagenham and Rainham Boro,E14000657
ocd-division/country:uk/wmc:darlington_boro,Darlington Boro,E14000658
ocd-division/country:uk/wmc:dartford_co,Dartford Co,E14000659
ocd-division/country:uk/wmc:daventry_co,Daventry Co,E14000660
ocd-division/country:uk/wmc:delyn_co,Delyn Co,W07000042
ocd-division/country:uk/wmc:denton_and_reddish_boro,Denton and Reddish Boro,E14000661
ocd-division/country:uk/wmc:derbyshire_dales_co,Derbyshire Dales Co,E14000664
ocd-division/country:uk/wmc:derby_north_boro,Derby North Boro,E14000662
ocd-division/country:uk/wmc:derby_south_boro,Derby South Boro,E14000663
ocd-division/country:uk/wmc:devizes_co,Devizes Co,E14000665
