id,name,validFrom
ocd-division/country:ca/province:ab/ed:calgary-acadia,Calgary-Acadia,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-beddington,Calgary-Beddington,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-bow,Calgary-Bow,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-buffalo,Calgary-Buffalo,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-cross,Calgary-Cross,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-currie,Calgary-Currie,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-east,Calgary-East,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-edgemont,Calgary-Edgemont,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-elbow,Calgary-Elbow,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-falconridge,Calgary-Falconridge,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-fish_creek,Calgary-Fish Creek,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-foothills,Calgary-Foothills,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-glenmore,Calgary-Glenmore,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-hays,Calgary-Hays,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-klein,Calgary-Klein,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-lougheed,Calgary-Lougheed,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-mccall,Calgary-McCall,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-mountain_view,Calgary-Mountain View,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-north,Calgary-North,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-north_east,Calgary-North East,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-north_west,Calgary-North West,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-peigan,Calgary-Peigan,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-shaw,Calgary-Shaw,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-south_east,Calgary-South East,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-varsity,Calgary-Varsity,2019-05-31
ocd-division/country:ca/province:ab/ed:calgary-west,Calgary-West,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-beverly-clareview,Edmonton-Beverly-Clareview,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-castle_downs,Edmonton-Castle Downs,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-city_centre,Edmonton-City Centre,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-decore,Edmonton-Decore,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-ellerslie,Edmonton-Ellerslie,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-glenora,Edmonton-Glenora,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-gold_bar,Edmonton-Gold Bar,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-highlands-norwood,Edmonton-Highlands-Norwood,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-manning,Edmonton-Manning,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-mcclung,Edmonton-McClung,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-meadows,Edmonton-Meadows,2019-05-31
ocd-division/country:ca/province:ab/ed:edmonton-mill_woods,Edmonton-Mill Woods,2019-05-31
