id,name,validFrom,validThrough
ocd-division/country:ca/province:ns/ed:digby-annapolis-kings,Digby—Annapolis—Kings,1935-08-14,1949-04-29
ocd-division/country:ca/province:ns/ed:digby-annapolis-kings-1953,Digby—Annapolis—Kings,1953-06-13,1968-04-22
ocd-division/country:ca/province:ns/ed:digby-yarmouth,Digby—Yarmouth,1949-04-30,1953-06-12
ocd-division/country:ca/province:ns/ed:guysborough,Guysborough,1867-08-06,1917-10-05
ocd-division/country:ca/province:ns/ed:halifax-east_hants,Halifax—East Hants,1968-04-23,1979-03-25
ocd-division/country:ca/province:ns/ed:hants,Hants,1867-08-06,1925-09-04
ocd-division/country:ca/province:ns/ed:hants-kings,Hants—Kings,1925-09-05,1935-08-13
ocd-division/country:ca/province:ns/ed:inverness,Inverness,1867-08-06,1935-08-13
ocd-division/country:ca/province:ns/ed:inverness-richmond,Inverness—Richmond,1935-08-14,1968-04-22
ocd-division/country:ca/province:ns/ed:kings,Kings,1867-08-06,1925-09-04
ocd-division/country:ca/province:ns/ed:lunenburg,Lunenburg,1867-08-06,1925-09-04
ocd-division/country:ca/province:ns/ed:lunenburg-1949,Lunenburg,1949-04-30,1953-06-12
ocd-division/country:ca/province:ns/ed:pictou,Pictou,1867-08-06,1968-04-22
ocd-division/country:ca/province:ns/ed:pictou-antigonish-guysborough,Pictou—Antigonish—Guysborough,1997-04-27,2004-05-22
ocd-division/country:ca/province:ns/ed:queens,Queens,1867-08-06,1896-04-23
ocd-division/country:ca/province:ns/ed:queens-lunenburg,Queens—Lunenburg,1925-09-05,1949-04-29
ocd-division/country:ca/province:ns/ed:queens-lunenburg-1953,Queens—Lunenburg,1953-06-13,1968-04-22
ocd-division/country:ca/province:ns/ed:queens-shelburne,Queens—Shelburne,1949-04-30,1953-06-12
ocd-division/country:ca/province:ns/ed:richmond,Richmond,1867-08-06,1917-10-05
ocd-division/country:ca/province:ns/ed:richmond-west_cape_breton,Richmond—West Cape Breton,1925-09-05,1935-08-13
ocd-division/country:ca/province:ns/ed:sackville-eastern_shore,Sackville—Eastern Shore,2004-05-23,2015-08-01
ocd-division/country:ca/province:ns/ed:sackville-musquodoboit_valley-eastern_shore,Sackville—Musquodoboit Valley—Eastern Shore,1999-03-11,2004-05-22
ocd-division/country:ca/province:ns/ed:shelburne,Shelburne,1867-08-06,1896-04-23
ocd-division/country:ca/province:ns/ed:shelburne-yarmouth,Shelburne—Yarmouth,1925-09-05,1935-08-13
ocd-division/country:ca/province:ns/ed:shelburne-yarmouth-clare,Shelburne—Yarmouth—Clare,1935-08-14,1949-04-29
ocd-division/country:ca/province:ns/ed:shelburne-yarmouth-clare-1953,Shelburne—Yarmouth—Clare,1953-06-13,1968-04-22
ocd-division/country:ca/province:ns/ed:shelburne_and_queen~s,Shelburne and Queen's,1896-04-24,1925-09-04
ocd-division/country:ca/province:ns/ed:south_shore,South Shore,1968-04-23,2004-05-22
ocd-division/country:ca/province:ns/ed:south_shore-st._margaret~s,South Shore—St. Margaret's,2004-05-23,2015-08-01
ocd-division/country:ca/province:ns/ed:south_west_nova,South West Nova,1979-03-26,1997-04-26
ocd-division/country:ca/province:ns/ed:south_western_nova,South Western Nova,1968-04-23,1979-03-25
ocd-division/country:ca/province:ns/ed:victoria,Victoria,1867-08-06,1904-09-19
ocd-division/country:ca/province:ns/ed:yarmouth,Yarmouth,1867-08-06,1917-10-05
ocd-division/country:ca/province:ns/ed:yarmouth_and_clare,Yarmouth and Clare,1917-10-06,1925-09-04
ocd-division/country:ca/province:on/ed:addington,Addington,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:ajax-pickering,Ajax—Pickering,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:algoma,Algoma,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:algoma-manitoulin,Algoma—Manitoulin,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:algoma_east,Algoma East,1904-09-20,1968-04-22
ocd-division/country:ca/province:on/ed:algoma_west,Algoma West,1904-09-20,1968-04-22
ocd-division/country:ca/province:on/ed:ancaster-dundas-flamborough-aldershot,Ancaster—Dundas—Flamborough—Aldershot,2000-06-29,2004-05-22
ocd-division/country:ca/province:on/ed:ancaster-dundas-flamborough-westdale,Ancaster—Dundas—Flamborough—Westdale,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:barrie,Barrie,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:barrie-simcoe-bradford,Barrie—Simcoe—Bradford,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:beaches,Beaches,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:bothwell,Bothwell,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:bramalea-gore-malton,Bramalea—Gore—Malton,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:bramalea-gore-malton-springdale,Bramalea—Gore—Malton—Springdale,1998-06-18,2004-05-22
ocd-division/country:ca/province:on/ed:brampton,Brampton,1988-10-01,1997-04-26
ocd-division/country:ca/province:on/ed:brampton-georgetown,Brampton—Georgetown,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:brampton-springdale,Brampton—Springdale,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:brampton_centre,Brampton Centre,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:brampton_west-mississauga,Brampton West—Mississauga,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:brant,Brant,1904-09-20,1949-04-29
ocd-division/country:ca/province:on/ed:brant-haldimand,Brant—Haldimand,1953-06-13,1968-04-22
ocd-division/country:ca/province:on/ed:brant-wentworth,Brant—Wentworth,1949-04-30,1953-06-12
ocd-division/country:ca/province:on/ed:brant_north,Brant North,1867-08-06,1896-04-23
ocd-division/country:ca/province:on/ed:brant_south,Brant South,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:brantford,Brantford,1904-09-20,1925-09-04
ocd-division/country:ca/province:on/ed:brantford-1949,Brantford,1949-04-30,1968-04-22
ocd-division/country:ca/province:on/ed:brantford_city,Brantford City,1925-09-05,1949-04-29
ocd-division/country:ca/province:on/ed:broadview,Broadview,1935-08-14,1979-03-25
ocd-division/country:ca/province:on/ed:brockville,Brockville,1867-08-06,1917-10-05
ocd-division/country:ca/province:on/ed:bruce_east,Bruce East,1882-05-17,1904-09-19
ocd-division/country:ca/province:on/ed:bruce_north,Bruce North,1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:bruce_south,Bruce South,1867-08-06,1882-05-16
ocd-division/country:ca/province:on/ed:bruce_south-1904,Bruce South,1904-09-20,1935-08-13
ocd-division/country:ca/province:on/ed:bruce_west,Bruce West,1882-05-17,1904-09-19
ocd-division/country:ca/province:on/ed:cardwell,Cardwell,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:carleton,Carleton,1867-08-06,1968-04-22
ocd-division/country:ca/province:on/ed:carleton-mississippi_mills,Carleton—Mississippi Mills,2004-09-01,2015-08-01
ocd-division/country:ca/province:on/ed:chatham-kent-essex,Chatham-Kent—Essex,1998-06-18,2015-08-01
ocd-division/country:ca/province:on/ed:cochrane,Cochrane,1935-08-14,1979-03-25
ocd-division/country:ca/province:on/ed:cochrane-superior,Cochrane—Superior,1981-01-17,1997-04-26
ocd-division/country:ca/province:on/ed:cornwall,Cornwall,1867-08-06,1882-05-16
ocd-division/country:ca/province:on/ed:cornwall_and_stormont,Cornwall and Stormont,1882-05-17,1904-09-19
ocd-division/country:ca/province:on/ed:danforth,Danforth,1935-08-14,1968-04-22
ocd-division/country:ca/province:on/ed:don_valley,Don Valley,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:don_valley_north,Don Valley North,1988-10-01,1997-04-26
ocd-division/country:ca/province:on/ed:dufferin,Dufferin,1904-09-20,1925-09-04
ocd-division/country:ca/province:on/ed:dufferin-peel-wellington-grey,Dufferin—Peel—Wellington—Grey,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:dufferin-simcoe,Dufferin—Simcoe,1925-09-05,1968-04-22
ocd-division/country:ca/province:on/ed:dundas,Dundas,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:durham,Durham,1904-09-20,1968-04-22
ocd-division/country:ca/province:on/ed:durham-1988,Durham,1988-10-01,2004-05-22
ocd-division/country:ca/province:on/ed:durham-northumberland,Durham—Northumberland,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:durham_east,Durham East,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:durham_west,Durham West,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:eglinton,Eglinton,1935-08-14,1979-03-25
ocd-division/country:ca/province:on/ed:elgin-norfolk,Elgin—Norfolk,1990-12-19,1997-04-26
ocd-division/country:ca/province:on/ed:elgin_east,Elgin East,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:elgin_west,Elgin West,1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:erie,Erie,1979-03-26,1997-04-26
ocd-division/country:ca/province:on/ed:erie-lincoln,Erie—Lincoln,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:essex,Essex,1867-08-06,1882-05-16
ocd-division/country:ca/province:on/ed:essex-windsor,Essex—Windsor,1972-03-29,1997-04-26
ocd-division/country:ca/province:on/ed:essex_east,Essex East,1925-09-05,1968-04-22
ocd-division/country:ca/province:on/ed:essex_north,Essex North,1882-05-17,1925-09-04
ocd-division/country:ca/province:on/ed:essex_south,Essex South,1882-05-17,1968-04-22
ocd-division/country:ca/province:on/ed:essex_west,Essex West,1925-09-05,1968-04-22
ocd-division/country:ca/province:on/ed:etobicoke,Etobicoke,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:fort_william,Fort William,1925-09-05,1979-03-25
ocd-division/country:ca/province:on/ed:fort_william_and_rainy_river,Fort William and Rainy River,1917-10-06,1925-09-04
ocd-division/country:ca/province:on/ed:frontenac,Frontenac,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:frontenac-addington,Frontenac—Addington,1925-09-05,1953-06-12
ocd-division/country:ca/province:on/ed:frontenac-lennox_and_addington,Frontenac—Lennox and Addington,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:glengarry,Glengarry,1867-08-06,1917-10-05
ocd-division/country:ca/province:on/ed:glengarry-1925,Glengarry,1925-09-05,1953-06-12
ocd-division/country:ca/province:on/ed:glengarry_and_stormont,Glengarry and Stormont,1917-10-06,1925-09-04
ocd-division/country:ca/province:on/ed:greenwood,Greenwood,1935-08-14,1979-03-25
ocd-division/country:ca/province:on/ed:grenville,Grenville,1904-09-20,1925-09-04
ocd-division/country:ca/province:on/ed:grenville-carleton,Grenville—Carleton,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:grenville-dundas,Grenville—Dundas,1925-09-05,1968-04-22
ocd-division/country:ca/province:on/ed:grenville_south,Grenville South,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:grey-bruce,Grey—Bruce,1935-08-14,1968-04-22
ocd-division/country:ca/province:on/ed:grey-simcoe,Grey—Simcoe,1968-04-23,1988-09-30
ocd-division/country:ca/province:on/ed:grey_east,Grey East,1872-07-08,1917-10-05
ocd-division/country:ca/province:on/ed:grey_north,Grey North,1867-08-06,1968-04-22
ocd-division/country:ca/province:on/ed:grey_south,Grey South,1867-08-06,1917-10-05
ocd-division/country:ca/province:on/ed:grey_southeast,Grey Southeast,1917-10-06,1935-08-13
ocd-division/country:ca/province:on/ed:guelph,Guelph,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:guelph-wellington,Guelph—Wellington,1988-10-01,2004-05-22
ocd-division/country:ca/province:on/ed:haldimand,Haldimand,1867-08-06,1896-04-26
ocd-division/country:ca/province:on/ed:haldimand-1904,Haldimand,1904-09-20,1953-06-12
ocd-division/country:ca/province:on/ed:haldimand-norfolk,Haldimand—Norfolk,1979-03-26,1997-04-26
ocd-division/country:ca/province:on/ed:haldimand-norfolk-brant,Haldimand—Norfolk—Brant,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:haldimand_and_monck,Haldimand and Monck,1896-04-24,1904-09-19
ocd-division/country:ca/province:on/ed:haliburton-victoria-brock,Haliburton—Victoria—Brock,1998-06-18,2004-05-22
ocd-division/country:ca/province:on/ed:halton,Halton,1867-08-06,1988-09-30
ocd-division/country:ca/province:on/ed:halton-1997,Halton,1997-04-27,2015-08-01
ocd-division/country:ca/province:on/ed:halton-peel,Halton—Peel,1988-10-01,1997-04-26
ocd-division/country:ca/province:on/ed:halton-wentworth,Halton—Wentworth,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:hamilton,Hamilton,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:hamilton_east,Hamilton East,1904-09-20,2004-05-22
ocd-division/country:ca/province:on/ed:hamilton_south,Hamilton South,1953-06-13,1968-04-22
ocd-division/country:ca/province:on/ed:hamilton_west,Hamilton West,1904-09-20,2004-05-22
ocd-division/country:ca/province:on/ed:hastings,Hastings,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:hastings-frontenac,Hastings—Frontenac,1953-06-13,1968-04-22
ocd-division/country:ca/province:on/ed:hastings-frontenac-lennox_and_addington,Hastings—Frontenac—Lennox and Addington,1981-01-17,2004-05-22
ocd-division/country:ca/province:on/ed:hastings-peterborough,Hastings—Peterborough,1925-09-05,1953-06-12
ocd-division/country:ca/province:on/ed:hastings_east,Hastings East,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:hastings_north,Hastings North,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:hastings_south,Hastings South,1925-09-05,1968-04-22
ocd-division/country:ca/province:on/ed:hastings_west,Hastings West,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:high_park-humber_valley,High Park—Humber Valley,1972-03-29,1979-03-25
ocd-division/country:ca/province:on/ed:huron-middlesex,Huron—Middlesex,1974-05-07,1979-03-25
ocd-division/country:ca/province:on/ed:huron-perth,Huron—Perth,1935-08-14,1953-06-12
ocd-division/country:ca/province:on/ed:huron_centre,Huron Centre,1872-07-08,1882-05-16
ocd-division/country:ca/province:on/ed:huron_east,Huron East,1882-05-17,1917-10-05
ocd-division/country:ca/province:on/ed:huron_north,Huron North,1867-08-06,1882-05-16
ocd-division/country:ca/province:on/ed:huron_north-1917,Huron North,1917-10-06,1953-06-12
ocd-division/country:ca/province:on/ed:huron_south,Huron South,1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:huron_west,Huron West,1882-05-17,1917-10-05
ocd-division/country:ca/province:on/ed:kenora-rainy_river,Kenora—Rainy River,1925-09-05,2004-05-22
ocd-division/country:ca/province:on/ed:kent,Kent,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:kent-1917,Kent,1917-10-06,1968-04-22
ocd-division/country:ca/province:on/ed:kent-essex,Kent—Essex,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:kent_east,Kent East,1904-09-20,1917-10-05
ocd-division/country:ca/province:on/ed:kent_west,Kent West,1904-09-20,1917-10-05
ocd-division/country:ca/province:on/ed:kingston,Kingston,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:kingston-1953,Kingston,1953-06-13,1968-04-22
ocd-division/country:ca/province:on/ed:kingston_city,Kingston City,1925-09-05,1953-06-12
ocd-division/country:ca/province:on/ed:kitchener,Kitchener,1968-04-23,1997-04-26
ocd-division/country:ca/province:on/ed:kitchener-waterloo,Kitchener—Waterloo,1997-04-27,2015-08-01
ocd-division/country:ca/province:on/ed:lambton,Lambton,1867-08-06,1882-05-16
ocd-division/country:ca/province:on/ed:lambton-kent,Lambton—Kent,1935-08-14,1979-03-25
ocd-division/country:ca/province:on/ed:lambton-middlesex,Lambton—Middlesex,1979-03-26,1997-04-26
ocd-division/country:ca/province:on/ed:lambton_east,Lambton East,1882-05-17,1935-08-13
ocd-division/country:ca/province:on/ed:lambton_west,Lambton West,1882-05-17,1968-04-22
ocd-division/country:ca/province:on/ed:lanark,Lanark,1917-10-06,1968-04-22
ocd-division/country:ca/province:on/ed:lanark-renfrew-carleton,Lanark—Renfrew—Carleton,1970-06-26,1988-09-30
ocd-division/country:ca/province:on/ed:lanark_north,Lanark North,1867-08-06,1917-10-05
ocd-division/country:ca/province:on/ed:lanark_south,Lanark South,1867-08-06,1917-10-05
ocd-division/country:ca/province:on/ed:leeds,Leeds,1904-09-20,1979-03-25
ocd-division/country:ca/province:on/ed:leeds_north_and_grenville_north,Leeds North and Grenville North,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:leeds_south,Leeds South,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:lennox,Lennox,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:lennox_and_addington,Lennox and Addington,1904-09-20,1925-09-04
ocd-division/country:ca/province:on/ed:lincoln,Lincoln,1867-08-06,1882-05-16
ocd-division/country:ca/province:on/ed:lincoln-1904,Lincoln,1904-09-20,1997-04-26
ocd-division/country:ca/province:on/ed:lincoln_and_niagara,Lincoln and Niagara,1882-05-17,1904-09-19
ocd-division/country:ca/province:on/ed:london,London,1867-08-06,1968-04-22
ocd-division/country:ca/province:on/ed:london-middlesex,London—Middlesex,1979-03-26,1997-04-26
ocd-division/country:ca/province:on/ed:london_east,London East,1968-04-23,1997-04-26
ocd-division/country:ca/province:on/ed:markham,Markham,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:middlesex-london-lambton,Middlesex—London—Lambton,1974-05-07,1979-03-25
ocd-division/country:ca/province:on/ed:middlesex_east,Middlesex East,1867-08-06,1968-04-22
ocd-division/country:ca/province:on/ed:middlesex_north,Middlesex North,1867-08-06,1917-10-05
ocd-division/country:ca/province:on/ed:middlesex_south,Middlesex South,1882-05-17,1904-09-19
ocd-division/country:ca/province:on/ed:middlesex_west,Middlesex West,1867-08-06,1968-04-22
ocd-division/country:ca/province:on/ed:mississauga,Mississauga,1973-12-05,1979-03-25
ocd-division/country:ca/province:on/ed:mississauga-brampton_south,Mississauga—Brampton South,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:mississauga_centre,Mississauga Centre,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:mississauga_east,Mississauga East,1988-10-01,2004-05-22
ocd-division/country:ca/province:on/ed:mississauga_north,Mississauga North,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:mississauga_south,Mississauga South,1979-03-26,2015-08-01
ocd-division/country:ca/province:on/ed:mississauga_west,Mississauga West,1988-10-01,2004-05-22
ocd-division/country:ca/province:on/ed:monck,Monck,1867-08-06,1898-04-23
ocd-division/country:ca/province:on/ed:muskoka,Muskoka,1872-07-08,1882-05-16
ocd-division/country:ca/province:on/ed:muskoka-1904,Muskoka,1904-09-20,1925-09-04
ocd-division/country:ca/province:on/ed:muskoka-ontario,Muskoka—Ontario,1925-09-05,1949-04-29
ocd-division/country:ca/province:on/ed:muskoka_and_parry_sound,Muskoka and Parry Sound,1882-05-17,1904-09-19
ocd-division/country:ca/province:on/ed:nepean,Nepean,1988-10-01,1997-04-26
ocd-division/country:ca/province:on/ed:nepean-carleton,Nepean—Carleton,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:nepean-carleton-1997,Nepean—Carleton,1997-04-27,2015-08-01
ocd-division/country:ca/province:on/ed:niagara,Niagara,1867-08-06,1882-05-16
ocd-division/country:ca/province:on/ed:niagara_centre,Niagara Centre,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:niagara_west-glanbrook,Niagara West—Glanbrook,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:nipissing,Nipissing,1896-04-24,2004-05-22
ocd-division/country:ca/province:on/ed:norfolk,Norfolk,1904-09-20,1925-09-04
ocd-division/country:ca/province:on/ed:norfolk-1935,Norfolk,1935-08-14,1968-04-22
ocd-division/country:ca/province:on/ed:norfolk-elgin,Norfolk—Elgin,1925-09-05,1935-08-13
ocd-division/country:ca/province:on/ed:norfolk-haldimand,Norfolk—Haldimand,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:norfolk_north,Norfolk North,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:norfolk_south,Norfolk South,1867-08-06,1904-09-19
ocd-division/country:ca/province:on/ed:northumberland,Northumberland,1917-10-06,1968-04-22
ocd-division/country:ca/province:on/ed:northumberland-1979,Northumberland,1979-03-26,2004-05-22
ocd-division/country:ca/province:on/ed:northumberland-durham,Northumberland—Durham,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:northumberland-quinte_west,Northumberland—Quinte West,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:northumberland_east,Northumberland East,1867-08-06,1917-10-05
ocd-division/country:ca/province:on/ed:northumberland_west,Northumberland West,1867-08-06,1917-10-05
ocd-division/country:ca/province:on/ed:oak_ridges,Oak Ridges,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:oak_ridges-markham,Oak Ridges—Markham,2004-05-23,2015-08-01
ocd-division/country:ca/province:on/ed:oakville-milton,Oakville—Milton,1988-10-01,1997-04-26
ocd-division/country:ca/province:on/ed:ontario,Ontario,1925-09-05,1997-04-26
ocd-division/country:ca/province:on/ed:ontario_north,Ontario North,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:ontario_south,Ontario South,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:ontario_west,Ontario West,1882-05-17,1904-09-19
ocd-division/country:ca/province:on/ed:oshawa-whitby,Oshawa—Whitby,1967-11-06,1979-03-25
ocd-division/country:ca/province:on/ed:ottawa-carleton,Ottawa—Carleton,1968-04-23,1988-09-30
ocd-division/country:ca/province:on/ed:ottawa_city_of,Ottawa (City of),1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:ottawa_west,Ottawa West,1935-08-14,1997-04-26
ocd-division/country:ca/province:on/ed:oxford_north,Oxford North,1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:oxford_south,Oxford South,1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:parkdale,Parkdale,1917-10-06,1979-03-25
ocd-division/country:ca/province:on/ed:parry_sound,Parry Sound,1904-09-20,1949-04-29
ocd-division/country:ca/province:on/ed:peel,Peel,1867-08-06,1968-04-22
ocd-division/country:ca/province:on/ed:peel-dufferin-simcoe,Peel—Dufferin—Simcoe,1967-11-06,1979-03-25
ocd-division/country:ca/province:on/ed:perth,Perth,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:perth-middlesex,Perth—Middlesex,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:perth-wellington-waterloo,Perth—Wellington—Waterloo,1988-10-01,1997-04-26
ocd-division/country:ca/province:on/ed:perth-wilmot,Perth—Wilmot,1970-06-26,1979-03-25
ocd-division/country:ca/province:on/ed:perth_north,Perth North,1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:perth_south,Perth South,1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:peterborough_east,Peterborough East,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:peterborough_west,Peterborough West,1867-08-06,1953-06-12
ocd-division/country:ca/province:on/ed:pickering-ajax-uxbridge,Pickering—Ajax—Uxbridge,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:port_arthur,Port Arthur,1935-08-14,1979-03-25
ocd-division/country:ca/province:on/ed:port_arthur-thunder_bay,Port Arthur—Thunder Bay,1925-09-05,1935-08-13
ocd-division/country:ca/province:on/ed:port_arthur_and_kenora,Port Arthur and Kenora,1917-10-06,1925-09-04
ocd-division/country:ca/province:on/ed:prescott,Prescott,1867-08-06,1953-06-12
ocd-division/country:ca/province:on/ed:prince_edward,Prince Edward,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:prince_edward-hastings,Prince Edward—Hastings,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:prince_edward-hastings-1979,Prince Edward—Hastings,1979-03-26,2015-08-01
ocd-division/country:ca/province:on/ed:prince_edward-lennox,Prince Edward—Lennox,1925-09-05,1968-04-22
ocd-division/country:ca/province:on/ed:renfrew-nipissing-pembroke,Renfrew—Nipissing—Pembroke,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:renfrew_north-nipissing_east,Renfrew North—Nipissing East,1972-03-29,1979-03-25
ocd-division/country:ca/province:on/ed:renfrew_south,Renfrew South,1867-08-06,1968-04-22
ocd-division/country:ca/province:on/ed:rosedale,Rosedale,1935-08-14,1997-04-26
ocd-division/country:ca/province:on/ed:russell,Russell,1867-08-06,1968-04-22
ocd-division/country:ca/province:on/ed:sarnia-lambton,Sarnia—Lambton,1970-06-26,1979-03-25
ocd-division/country:ca/province:on/ed:scarborough-rouge_river,Scarborough—Rouge River,1988-10-01,2015-08-01
ocd-division/country:ca/province:on/ed:scarborough_east,Scarborough East,1968-04-23,2004-05-22
ocd-division/country:ca/province:on/ed:scarborough_west,Scarborough West,1968-04-23,1997-04-26
ocd-division/country:ca/province:on/ed:simcoe_centre,Simcoe Centre,1988-10-01,1997-04-26
ocd-division/country:ca/province:on/ed:simcoe_east,Simcoe East,1882-05-17,1968-04-22
ocd-division/country:ca/province:on/ed:simcoe_south,Simcoe South,1867-08-06,1925-09-04
ocd-division/country:ca/province:on/ed:simcoe_south-1979,Simcoe South,1979-03-26,1988-09-30
ocd-division/country:ca/province:on/ed:spadina,Spadina,1935-08-14,1988-09-30
ocd-division/country:ca/province:on/ed:stoney_creek,Stoney Creek,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:stormont,Stormont,1867-08-06,1882-05-16
ocd-division/country:ca/province:on/ed:stormont-1904,Stormont,1904-09-20,1917-10-05
ocd-division/country:ca/province:on/ed:stormont-1925,Stormont,1925-09-05,1968-04-22
ocd-division/country:ca/province:on/ed:stormont-dundas-charlottenburgh,Stormont—Dundas—Charlottenburgh,1999-03-11,2004-05-22
ocd-division/country:ca/province:on/ed:thunder_bay,Thunder Bay,1968-04-23,1979-03-25
ocd-division/country:ca/province:on/ed:thunder_bay-atikokan,Thunder Bay—Atikokan,1979-03-26,2004-05-22
ocd-division/country:ca/province:on/ed:thunder_bay_and_rainy_river,Thunder Bay and Rainy River,1904-09-20,1917-10-05
ocd-division/country:ca/province:on/ed:timiskaming,Timiskaming,1917-10-06,1925-09-04
ocd-division/country:ca/province:on/ed:timiskaming-cochrane,Timiskaming—Cochrane,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:timiskaming-french_river,Timiskaming—French River,1990-12-19,1997-04-26
ocd-division/country:ca/province:on/ed:timiskaming_north,Timiskaming North,1925-09-05,1935-08-13
ocd-division/country:ca/province:on/ed:timiskaming_south,Timiskaming South,1925-09-05,1935-08-13
ocd-division/country:ca/province:on/ed:timmins,Timmins,1949-04-30,1979-03-25
ocd-division/country:ca/province:on/ed:timmins-chapleau,Timmins—Chapleau,1979-03-26,1997-04-26
ocd-division/country:ca/province:on/ed:toronto-high_park,Toronto—High Park,1925-09-05,1935-08-13
ocd-division/country:ca/province:on/ed:toronto-lakeshore,Toronto—Lakeshore,1971-03-11,1979-03-25
ocd-division/country:ca/province:on/ed:toronto-scarborough,Toronto—Scarborough,1925-09-05,1935-08-13
ocd-division/country:ca/province:on/ed:toronto_centre,Toronto Centre,1872-07-08,1925-09-04
ocd-division/country:ca/province:on/ed:toronto_centre-rosedale,Toronto Centre—Rosedale,1997-04-27,2004-05-22
ocd-division/country:ca/province:on/ed:toronto_east,Toronto East,1867-08-06,1935-08-13
ocd-division/country:ca/province:on/ed:toronto_east_centre,Toronto East Centre,1925-09-05,1935-08-13
ocd-division/country:ca/province:on/ed:toronto_north,Toronto North,1904-09-20,1925-09-04
