id,url
ocd-division/country:ca/csd:2466023/borough:1,http://ville.montreal.qc.ca/ahuntsic-cartierville
ocd-division/country:ca/csd:2466023/borough:2,http://ville.montreal.qc.ca/anjou
ocd-division/country:ca/csd:2466023/borough:3,http://ville.montreal.qc.ca/cdn-ndg
ocd-division/country:ca/csd:2466023/borough:4,http://ville.montreal.qc.ca/lachine
ocd-division/country:ca/csd:2466023/borough:5,http://ville.montreal.qc.ca/lasalle
ocd-division/country:ca/csd:2466023/borough:11,http://ville.montreal.qc.ca/plateau
ocd-division/country:ca/csd:2466023/borough:16,http://ville.montreal.qc.ca/sud-ouest
ocd-division/country:ca/csd:2466023/borough:6,http://ville.montreal.qc.ca/ibsg
ocd-division/country:ca/csd:2466023/borough:7,http://ville.montreal.qc.ca/mhm
ocd-division/country:ca/csd:2466023/borough:8,http://ville.montreal.qc.ca/mtlnord
ocd-division/country:ca/csd:2466023/borough:9,http://ville.montreal.qc.ca/outremont
ocd-division/country:ca/csd:2466023/borough:10,http://ville.montreal.qc.ca/pierrefonds-roxboro
ocd-division/country:ca/csd:2466023/borough:12,http://ville.montreal.qc.ca/rdp-pat
ocd-division/country:ca/csd:2466023/borough:13,http://ville.montreal.qc.ca/rpp
ocd-division/country:ca/csd:2466023/borough:14,http://ville.montreal.qc.ca/saint-laurent
ocd-division/country:ca/csd:2466023/borough:15,http://ville.montreal.qc.ca/st-leonard
ocd-division/country:ca/csd:2466023/borough:17,http://ville.montreal.qc.ca/verdun
ocd-division/country:ca/csd:2466023/borough:18,http://ville.montreal.qc.ca/villemarie
ocd-division/country:ca/csd:2466023/borough:19,http://ville.montreal.qc.ca/vsp
