id,name,validFrom
ocd-division/country:ca/province:bc/ed:vke-2015,Vancouver-Kensington,2017-05-09
ocd-division/country:ca/province:bc/ed:vki-2015,Vancouver-Kingsway,2017-05-09
ocd-division/country:ca/province:bc/ed:vla-2015,Vancouver-Langara,2017-05-09
ocd-division/country:ca/province:bc/ed:vmp-2015,Vancouver-Mount Pleasant,2017-05-09
ocd-division/country:ca/province:bc/ed:vnp-2015,Vancouver-Point Grey,2017-05-09
ocd-division/country:ca/province:bc/ed:vnq-2015,Vancouver-Quilchena,2017-05-09
ocd-division/country:ca/province:bc/ed:vnw-2015,Vancouver-West End,2017-05-09
ocd-division/country:ca/province:bc/ed:vrm-2015,Vernon-Monashee,2017-05-09
ocd-division/country:ca/province:bc/ed:vtb-2015,Victoria-Beacon Hill,2017-05-09
ocd-division/country:ca/province:bc/ed:vts-2015,Victoria-Swan Lake,2017-05-09
ocd-division/country:ca/province:bc/ed:wvc-2015,West Vancouver-Capilano,2017-05-09
ocd-division/country:ca/province:bc/ed:wvs-2015,West Vancouver-Sea to Sky,2017-05-09
