id,sameAs
ocd-division/country:ca/ed:10001-2013,ocd-division/country:ca/province:nl/ed:avalon
ocd-division/country:ca/ed:10002-2013,ocd-division/country:ca/province:nl/ed:bonavista-burin-trinity
ocd-division/country:ca/ed:10003-2013,ocd-division/country:ca/province:nl/ed:coast_of_bays-central-notre_dame
ocd-division/country:ca/ed:10004-2013,ocd-division/country:ca/province:nl/ed:labrador
ocd-division/country:ca/ed:10005-2013,ocd-division/country:ca/province:nl/ed:long_range_mountains
ocd-division/country:ca/ed:10006-2013,ocd-division/country:ca/province:nl/ed:st._john~s_east-2004
ocd-division/country:ca/ed:10007-2013,ocd-division/country:ca/province:nl/ed:st._john~s_south-mount_pearl
ocd-division/country:ca/ed:11001-2013,ocd-division/country:ca/province:pe/ed:cardigan
ocd-division/country:ca/ed:11002-2013,ocd-division/country:ca/province:pe/ed:charlottetown
ocd-division/country:ca/ed:11003-2013,ocd-division/country:ca/province:pe/ed:egmont
ocd-division/country:ca/ed:11004-2013,ocd-division/country:ca/province:pe/ed:malpeque
ocd-division/country:ca/ed:12001-2013,ocd-division/country:ca/province:ns/ed:cape_breton-canso
ocd-division/country:ca/ed:12002-2013,ocd-division/country:ca/province:ns/ed:central_nova-2004
ocd-division/country:ca/ed:12003-2013,ocd-division/country:ca/province:ns/ed:cumberland-colchester-2015
ocd-division/country:ca/ed:12004-2013,ocd-division/country:ca/province:ns/ed:dartmouth-cole_harbour
ocd-division/country:ca/ed:12005-2013,ocd-division/country:ca/province:ns/ed:halifax
ocd-division/country:ca/ed:12006-2013,ocd-division/country:ca/province:ns/ed:halifax_west
ocd-division/country:ca/ed:12007-2013,ocd-division/country:ca/province:ns/ed:kings-hants
ocd-division/country:ca/ed:12008-2013,ocd-division/country:ca/province:ns/ed:sackville-preston-chezzetcook
ocd-division/country:ca/ed:12009-2013,ocd-division/country:ca/province:ns/ed:south_shore-st._margarets
ocd-division/country:ca/ed:12010-2013,ocd-division/country:ca/province:ns/ed:sydney-victoria
ocd-division/country:ca/ed:12011-2013,ocd-division/country:ca/province:ns/ed:west_nova
ocd-division/country:ca/ed:13001-2013,ocd-division/country:ca/province:nb/ed:acadie-bathurst
ocd-division/country:ca/ed:13002-2013,ocd-division/country:ca/province:nb/ed:beauséjour
ocd-division/country:ca/ed:13003-2013,ocd-division/country:ca/province:nb/ed:fredericton
ocd-division/country:ca/ed:13004-2013,ocd-division/country:ca/province:nb/ed:fundy_royal
ocd-division/country:ca/ed:13005-2013,ocd-division/country:ca/province:nb/ed:madawaska-restigouche
ocd-division/country:ca/ed:13006-2013,ocd-division/country:ca/province:nb/ed:miramichi-grand_lake
ocd-division/country:ca/ed:13007-2013,ocd-division/country:ca/province:nb/ed:moncton-riverview-dieppe
ocd-division/country:ca/ed:13008-2013,ocd-division/country:ca/province:nb/ed:new_brunswick_southwest-2004
ocd-division/country:ca/ed:13009-2013,ocd-division/country:ca/province:nb/ed:saint_john-rothesay
ocd-division/country:ca/ed:13010-2013,ocd-division/country:ca/province:nb/ed:tobique-mactaquac
ocd-division/country:ca/ed:24001-2013,ocd-division/country:ca/province:qc/ed:abitibi-baie-james-nunavik-eeyou
ocd-division/country:ca/ed:24002-2013,ocd-division/country:ca/province:qc/ed:abitibi-témiscamingue
ocd-division/country:ca/ed:24003-2013,ocd-division/country:ca/province:qc/ed:ahuntsic-cartierville
ocd-division/country:ca/ed:24004-2013,ocd-division/country:ca/province:qc/ed:alfred-pellan
ocd-division/country:ca/ed:24005-2013,ocd-division/country:ca/province:qc/ed:argenteuil-la_petite-nation
ocd-division/country:ca/ed:24006-2013,ocd-division/country:ca/province:qc/ed:avignon-la_mitis-matane-matapédia
ocd-division/country:ca/ed:24007-2013,ocd-division/country:ca/province:qc/ed:beauce
ocd-division/country:ca/ed:24008-2013,ocd-division/country:ca/province:qc/ed:beauport-limoilou
ocd-division/country:ca/ed:24009-2013,ocd-division/country:ca/province:qc/ed:bécancour-nicolet-saurel
ocd-division/country:ca/ed:24010-2013,ocd-division/country:ca/province:qc/ed:bellechasse-les_etchemins-lévis
ocd-division/country:ca/ed:24011-2013,ocd-division/country:ca/province:qc/ed:beloeil-chambly
ocd-division/country:ca/ed:24012-2013,ocd-division/country:ca/province:qc/ed:berthier-maskinongé-2004
ocd-division/country:ca/ed:24013-2013,ocd-division/country:ca/province:qc/ed:thérèse-de_blainville
ocd-division/country:ca/ed:24014-2013,ocd-division/country:ca/province:qc/ed:pierre-boucher-les_patriotes-verchères
ocd-division/country:ca/ed:24015-2013,ocd-division/country:ca/province:qc/ed:bourassa
ocd-division/country:ca/ed:24016-2013,ocd-division/country:ca/province:qc/ed:brome-missisquoi-1984
ocd-division/country:ca/ed:24017-2013,ocd-division/country:ca/province:qc/ed:brossard-saint-lambert
