id,name,name_fr,validFrom
ocd-division/country:ca/ed:24028-2013,Hochelaga,Hochelaga,2015-10-19
ocd-division/country:ca/ed:24029-2013,Honoré-Mercier,Honoré-Mercier,2015-10-19
ocd-division/country:ca/ed:24030-2013,Hull—Aylmer,Hull—Aylmer,2015-10-19
ocd-division/country:ca/ed:24031-2013,Joliette,Joliette,2015-10-19
ocd-division/country:ca/ed:24032-2013,Jonquière,Jonquière,2015-10-19
ocd-division/country:ca/ed:24033-2013,La Pointe-de-l'Île,La Pointe-de-l'Île,2015-10-19
ocd-division/country:ca/ed:24034-2013,La Prairie,La Prairie,2015-10-19
ocd-division/country:ca/ed:24035-2013,Lac-Saint-Jean,Lac-Saint-Jean,2015-10-19
ocd-division/country:ca/ed:24036-2013,Lac-Saint-Louis,Lac-Saint-Louis,2015-10-19
ocd-division/country:ca/ed:24037-2013,LaSalle—Émard—Verdun,LaSalle—Émard—Verdun,2015-10-19
ocd-division/country:ca/ed:24038-2013,Laurentides—Labelle,Laurentides—Labelle,2015-10-19
ocd-division/country:ca/ed:24039-2013,Laurier—Sainte-Marie,Laurier—Sainte-Marie,2015-10-19
ocd-division/country:ca/ed:24040-2013,Laval—Les Îles,Laval—Les Îles,2015-10-19
ocd-division/country:ca/ed:24041-2013,Longueuil—Charles-LeMoyne,Longueuil—Charles-Lemoyne,2015-10-19
ocd-division/country:ca/ed:24042-2013,Lévis—Lotbinière,Lévis—Lotbinière,2015-10-19
ocd-division/country:ca/ed:24043-2013,Longueuil—Saint-Hubert,Longueuil—Saint-Hubert,2015-10-19
ocd-division/country:ca/ed:24044-2013,Louis-Hébert,Louis-Hébert,2015-10-19
ocd-division/country:ca/ed:24045-2013,Louis-Saint-Laurent,Louis-Saint-Laurent,2015-10-19
ocd-division/country:ca/ed:24046-2013,Manicouagan,Manicouagan,2015-10-19
ocd-division/country:ca/ed:24046-2013,Manicouagan,Manicouagan,2015-10-19
ocd-division/country:ca/ed:24046-2013,Manicouagan,Manicouagan,2015-10-19
ocd-division/country:ca/ed:24047-2013,Mégantic—L'Érable,Mégantic—L'Érable,2015-10-19
ocd-division/country:ca/ed:24048-2013,Mirabel,Mirabel,2015-10-19
ocd-division/country:ca/ed:24049-2013,Montarville,Montarville,2015-10-19
ocd-division/country:ca/ed:24050-2013,Montcalm,Montcalm,2015-10-19
ocd-division/country:ca/ed:24051-2013,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,2015-10-19
ocd-division/country:ca/ed:24052-2013,Mount Royal,Mont-Royal,2015-10-19
ocd-division/country:ca/ed:24053-2013,Notre-Dame-de-Grâce—Westmount,Notre-Dame-de-Grâce—Westmount,2015-10-19
ocd-division/country:ca/ed:24054-2013,Outremont,Outremont,2015-10-19
ocd-division/country:ca/ed:24055-2013,Papineau,Papineau,2015-10-19
ocd-division/country:ca/ed:24056-2013,Pierrefonds—Dollard,Pierrefonds—Dollard,2015-10-19
ocd-division/country:ca/ed:24057-2013,Pontiac,Pontiac,2015-10-19
ocd-division/country:ca/ed:24058-2013,Portneuf—Jacques-Cartier,Portneuf—Jacques-Cartier,2015-10-19
ocd-division/country:ca/ed:24059-2013,Québec,Québec,2015-10-19
