id,name,validFrom
ocd-division/country:ca/province:mb/ed:agassiz-2018,Agassiz,2019-09-10
ocd-division/country:ca/province:mb/ed:borderland-2018,Borderland,2019-09-10
ocd-division/country:ca/province:mb/ed:brandon_east-2018,Brandon East,2019-09-10
ocd-division/country:ca/province:mb/ed:brandon_west-2018,Brandon West,2019-09-10
ocd-division/country:ca/province:mb/ed:dauphin-2018,Dauphin,2019-09-10
ocd-division/country:ca/province:mb/ed:dawson_trail-2018,Dawson Trail,2019-09-10
ocd-division/country:ca/province:mb/ed:flin_flon-2018,Flin Flon,2019-09-10
ocd-division/country:ca/province:mb/ed:interlake-gimli-2018,Interlake-Gimli,2019-09-10
ocd-division/country:ca/province:mb/ed:keewatinook-2018,Keewatinook,2019-09-10
ocd-division/country:ca/province:mb/ed:la_vérendrye-2018,La Vérendrye,2019-09-10
ocd-division/country:ca/province:mb/ed:lac_du_bonnet-2018,Lac du Bonnet,2019-09-10
ocd-division/country:ca/province:mb/ed:lakeside-2018,Lakeside,2019-09-10
ocd-division/country:ca/province:mb/ed:midland-2018,Midland,2019-09-10
ocd-division/country:ca/province:mb/ed:morden-winkler-2018,Morden-Winkler,2019-09-10
ocd-division/country:ca/province:mb/ed:portage_la_prairie-2018,Portage la Prairie,2019-09-10
ocd-division/country:ca/province:mb/ed:red_river_north-2018,Red River North,2019-09-10
ocd-division/country:ca/province:mb/ed:riding_mountain-2018,Riding Mountain,2019-09-10
ocd-division/country:ca/province:mb/ed:selkirk-2018,Selkirk,2019-09-10
ocd-division/country:ca/province:mb/ed:springfield-ritchot-2018,Springfield-Ritchot,2019-09-10
ocd-division/country:ca/province:mb/ed:spruce_woods-2018,Spruce Woods,2019-09-10
ocd-division/country:ca/province:mb/ed:steinbach-2018,Steinbach,2019-09-10
ocd-division/country:ca/province:mb/ed:swan_river-2018,Swan River,2019-09-10
ocd-division/country:ca/province:mb/ed:the_pas-kameesak-2018,The Pas-Kameesak,2019-09-10
ocd-division/country:ca/province:mb/ed:thompson-2018,Thompson,2019-09-10
ocd-division/country:ca/province:mb/ed:turtle_mountain-2018,Turtle Mountain,2019-09-10
ocd-division/country:ca/province:mb/ed:assiniboia-2018,Assiniboia,2019-09-10
ocd-division/country:ca/province:mb/ed:burrows-2018,Burrows,2019-09-10
ocd-division/country:ca/province:mb/ed:concordia-2018,Concordia,2019-09-10
ocd-division/country:ca/province:mb/ed:elmwood-2018,Elmwood,2019-09-10
ocd-division/country:ca/province:mb/ed:fort_garry-2018,Fort Garry,2019-09-10
ocd-division/country:ca/province:mb/ed:fort_richmond-2018,Fort Richmond,2019-09-10
ocd-division/country:ca/province:mb/ed:fort_rouge-2018,Fort Rouge,2019-09-10
ocd-division/country:ca/province:mb/ed:fort_whyte-2018,Fort Whyte,2019-09-10
ocd-division/country:ca/province:mb/ed:kildonan-river_east-2018,Kildonan-River East,2019-09-10
ocd-division/country:ca/province:mb/ed:kirkfield_park-2018,Kirkfield Park,2019-09-10
ocd-division/country:ca/province:mb/ed:lagimodière-2018,Lagimodière,2019-09-10
ocd-division/country:ca/province:mb/ed:mcphillips-2018,McPhillips,2019-09-10
ocd-division/country:ca/province:mb/ed:notre_dame-2018,Notre Dame,2019-09-10
ocd-division/country:ca/province:mb/ed:point_douglas-2018,Point Douglas,2019-09-10
ocd-division/country:ca/province:mb/ed:radisson-2018,Radisson,2019-09-10
ocd-division/country:ca/province:mb/ed:riel-2018,Riel,2019-09-10
ocd-division/country:ca/province:mb/ed:river_heights-2018,River Heights,2019-09-10
ocd-division/country:ca/province:mb/ed:roblin-2018,Roblin,2019-09-10
ocd-division/country:ca/province:mb/ed:rossmere-2018,Rossmere,2019-09-10
ocd-division/country:ca/province:mb/ed:seine_river-2018,Seine River,2019-09-10
ocd-division/country:ca/province:mb/ed:southdale-2018,Southdale,2019-09-10
ocd-division/country:ca/province:mb/ed:st._boniface-2018,St. Boniface,2019-09-10
ocd-division/country:ca/province:mb/ed:st._james-2018,St. James,2019-09-10
ocd-division/country:ca/province:mb/ed:st._johns-2018,St. Johns,2019-09-10
ocd-division/country:ca/province:mb/ed:st._vital-2018,St. Vital,2019-09-10
ocd-division/country:ca/province:mb/ed:the_maples-2018,The Maples,2019-09-10
ocd-division/country:ca/province:mb/ed:transcona-2018,Transcona,2019-09-10
ocd-division/country:ca/province:mb/ed:tuxedo-2018,Tuxedo,2019-09-10
ocd-division/country:ca/province:mb/ed:tyndall_park-2018,Tyndall Park,2019-09-10
ocd-division/country:ca/province:mb/ed:union_station-2018,Union Station,2019-09-10
ocd-division/country:ca/province:mb/ed:waverley-2018,Waverley,2019-09-10
ocd-division/country:ca/province:mb/ed:wolseley-2018,Wolseley,2019-09-10
