id,name,name_fr
ocd-division/country:ca/province:nb/ed:restigouche_west,Restigouche West,Restigouche-Ouest
ocd-division/country:ca/province:nb/ed:campbellton-dalhousie,Campbellton-Dalhousie,
ocd-division/country:ca/province:nb/ed:restigouche-chaleur,Restigouche-Chaleur,
ocd-division/country:ca/province:nb/ed:bathurst_west-beresford,Bathurst West-Beresford,Bathurst-Ouest-Beresford
ocd-division/country:ca/province:nb/ed:bathurst_east-nepisiguit-saint-isidore,Bathurst East-Nepisiguit-Saint-Isidore,Bathurst-Est-Nepisiguit-Saint-Isidore
ocd-division/country:ca/province:nb/ed:caraquet,Caraquet,
ocd-division/country:ca/province:nb/ed:shippagan-lamèque-miscou,Shippagan-Lamèque-Miscou,
ocd-division/country:ca/province:nb/ed:tracadie-sheila,Tracadie-Sheila,
ocd-division/country:ca/province:nb/ed:miramichi_bay-neguac,Miramichi Bay-Neguac,Baie-de-Miramichi-Neguac
ocd-division/country:ca/province:nb/ed:miramichi,Miramichi,
ocd-division/country:ca/province:nb/ed:southwest_miramichi-bay_du_vin,Southwest Miramichi-Bay du Vin,Miramichi-Sud-Ouest-Baie-du-Vin
ocd-division/country:ca/province:nb/ed:kent_north,Kent North,Kent-Nord
ocd-division/country:ca/province:nb/ed:kent_south,Kent South,Kent-Sud
ocd-division/country:ca/province:nb/ed:shediac_bay-dieppe,Shediac Bay-Dieppe,Baie-de-Shediac-Dieppe
ocd-division/country:ca/province:nb/ed:shediac-beaubassin-cap-pelé,Shediac-Beaubassin-Cap-Pelé,
ocd-division/country:ca/province:nb/ed:memramcook-tantramar,Memramcook-Tantramar,
ocd-division/country:ca/province:nb/ed:dieppe,Dieppe,
ocd-division/country:ca/province:nb/ed:moncton_east,Moncton East,Moncton-Est
ocd-division/country:ca/province:nb/ed:moncton_centre,Moncton Centre,Moncton-Centre
ocd-division/country:ca/province:nb/ed:moncton_south,Moncton South,Moncton-Sud
ocd-division/country:ca/province:nb/ed:moncton_northwest,Moncton Northwest,Moncton-Nord-Ouest
ocd-division/country:ca/province:nb/ed:moncton_southwest,Moncton Southwest,Moncton-Sud-Ouest
ocd-division/country:ca/province:nb/ed:riverview,Riverview,
ocd-division/country:ca/province:nb/ed:albert,Albert,
ocd-division/country:ca/province:nb/ed:gagetown-petitcodiac,Gagetown-Petitcodiac,
ocd-division/country:ca/province:nb/ed:sussex-fundy-st._martins,Sussex-Fundy-St. Martins,
ocd-division/country:ca/province:nb/ed:hampton,Hampton,
ocd-division/country:ca/province:nb/ed:quispamsis,Quispamsis,
ocd-division/country:ca/province:nb/ed:rothesay,Rothesay,
ocd-division/country:ca/province:nb/ed:saint_john_east,Saint John East,Saint John-Est
ocd-division/country:ca/province:nb/ed:portland-simonds,Portland-Simonds,
ocd-division/country:ca/province:nb/ed:saint_john_harbour,Saint John Harbour,
ocd-division/country:ca/province:nb/ed:saint_john_lancaster,Saint John Lancaster,
ocd-division/country:ca/province:nb/ed:kings_centre,Kings Centre,Kings-Centre
ocd-division/country:ca/province:nb/ed:fundy-the_isles-saint_john_west,Fundy-The Isles-Saint John West,Fundy- Les-Îles- Saint John-Ouest
ocd-division/country:ca/province:nb/ed:saint_croix,Saint Croix,Sainte-Croix
ocd-division/country:ca/province:nb/ed:oromocto-lincoln-fredericton,Oromocto-Lincoln-Fredericton,
ocd-division/country:ca/province:nb/ed:fredericton-grand_lake,Fredericton-Grand Lake,
ocd-division/country:ca/province:nb/ed:new_maryland-sunbury,New Maryland-Sunbury,
ocd-division/country:ca/province:nb/ed:fredericton_south,Fredericton South,Fredericton-Sud
ocd-division/country:ca/province:nb/ed:fredericton_north,Fredericton North,Fredericton-Nord
ocd-division/country:ca/province:nb/ed:fredericton-york,Fredericton-York,
ocd-division/country:ca/province:nb/ed:fredericton_west-hanwell,Fredericton West-Hanwell,Fredericton-Ouest-Hanwell
ocd-division/country:ca/province:nb/ed:carleton-york,Carleton-York,
ocd-division/country:ca/province:nb/ed:carleton,Carleton,
ocd-division/country:ca/province:nb/ed:carleton-victoria,Carleton-Victoria,
ocd-division/country:ca/province:nb/ed:victoria-la_vallée,Victoria-La Vallée,Victoria-La-Vallée
ocd-division/country:ca/province:nb/ed:edmundston-madawaska_centre,Edmundston-Madawaska Centre,Edmundston-Madawaska-Centre
ocd-division/country:ca/province:nb/ed:madawaska_les_lacs-edmundston,Madawaska Les Lacs-Edmundston,Madawaska-Les-Lacs-Edmundston
