id,name,validFrom
ocd-division/country:ca/province:on/fed:humber_river-black_creek,Humber River—Black Creek,2015-08-02
ocd-division/country:ca/province:on/fed:huron-bruce,Huron—Bruce,1979-03-26
ocd-division/country:ca/province:on/fed:kanata-carleton,Kanata—Carleton,2015-08-02
ocd-division/country:ca/province:on/fed:kenora,Kenora,2004-05-23
ocd-division/country:ca/province:on/fed:king-vaughan,King—Vaughan,2015-08-02
ocd-division/country:ca/province:on/fed:kingston_and_the_islands,Kingston and the Islands,1968-04-23
ocd-division/country:ca/province:on/fed:kitchener-conestoga,Kitchener—Conestoga,2005-02-24
ocd-division/country:ca/province:on/fed:kitchener_centre,Kitchener Centre,1997-04-27
ocd-division/country:ca/province:on/fed:kitchener_south-hespeler,Kitchener South—Hespeler,2015-08-02
ocd-division/country:ca/province:on/fed:lambton-kent-middlesex,Lambton—Kent—Middlesex,2004-09-01
ocd-division/country:ca/province:on/fed:lanark-frontenac-kingston,Lanark—Frontenac—Kingston,2015-08-02
ocd-division/country:ca/province:on/fed:leeds-grenville-thousand_islands_and_rideau_lakes,Leeds—Grenville—Thousand Islands and Rideau Lakes,2015-08-02
ocd-division/country:ca/province:on/fed:london-fanshawe,London—Fanshawe,1997-04-27
ocd-division/country:ca/province:on/fed:london_north_centre,London North Centre,1997-04-27
ocd-division/country:ca/province:on/fed:london_west,London West,1968-04-23
ocd-division/country:ca/province:on/fed:markham-stouffville,Markham—Stouffville,2015-08-02
ocd-division/country:ca/province:on/fed:markham-thornhill,Markham—Thornhill,2015-08-02
ocd-division/country:ca/province:on/fed:markham-unionville,Markham—Unionville,2004-05-23
ocd-division/country:ca/province:on/fed:milton,Milton,2015-08-02
ocd-division/country:ca/province:on/fed:mississauga-erin_mills,Mississauga—Erin Mills,2015-08-02
ocd-division/country:ca/province:on/fed:mississauga-lakeshore,Mississauga—Lakeshore,2015-08-02
ocd-division/country:ca/province:on/fed:mississauga-malton,Mississauga—Malton,2015-08-02
ocd-division/country:ca/province:on/fed:mississauga-streetsville,Mississauga—Streetsville,2004-05-23
ocd-division/country:ca/province:on/fed:mississauga_centre-2015,Mississauga Centre,2015-08-02
ocd-division/country:ca/province:on/fed:mississauga_east-cooksville,Mississauga East—Cooksville,2015-08-02
ocd-division/country:ca/province:on/fed:nepean-2015,Nepean,2015-08-02
ocd-division/country:ca/province:on/fed:newmarket-aurora,Newmarket—Aurora,2004-05-23
ocd-division/country:ca/province:on/fed:niagara_centre-2015,Niagara Centre,2015-08-02
