id,name,name_fr
ocd-division/country:ca/province:nb/ed:1,Restigouche West,Restigouche-Ouest
ocd-division/country:ca/province:nb/ed:2,Restigouche East,Restigouche-Est
ocd-division/country:ca/province:nb/ed:3,Belle-Baie-Belledune,Belle-Baie-Belledune
ocd-division/country:ca/province:nb/ed:4,Bathurst,Bathurst
ocd-division/country:ca/province:nb/ed:5,Hautes-Terres-Nepisiguit,Hautes-Terres-Nepisiguit
ocd-division/country:ca/province:nb/ed:6,Caraquet,Caraquet
ocd-division/country:ca/province:nb/ed:7,Shippagan-Les-Îles,Shippagan-Les-Îles
ocd-division/country:ca/province:nb/ed:8,Tracadie,Tracadie
ocd-division/country:ca/province:nb/ed:9,Miramichi Bay-Neguac,Baie-de-Miramichi-Neguac
ocd-division/country:ca/province:nb/ed:10,Miramichi East,Miramichi-Est
ocd-division/country:ca/province:nb/ed:11,Miramichi West,Miramichi-Ouest
ocd-division/country:ca/province:nb/ed:12,Kent North,Kent-Nord
ocd-division/country:ca/province:nb/ed:13,Beausoleil-Grand-Bouctouche-Kent,Beausoleil-Grand-Bouctouche-Kent
ocd-division/country:ca/province:nb/ed:14,Shediac Bay-Dieppe,Baie-de-Shediac-Dieppe
ocd-division/country:ca/province:nb/ed:15,Shediac-Cap-Acadie,Shediac-Cap-Acadie
ocd-division/country:ca/province:nb/ed:16,Tantramar,Tantramar
ocd-division/country:ca/province:nb/ed:17,Dieppe-Memramcook,Dieppe-Memramcook
ocd-division/country:ca/province:nb/ed:18,Moncton East,Moncton-Est
ocd-division/country:ca/province:nb/ed:19,Moncton Centre,Moncton-Centre
ocd-division/country:ca/province:nb/ed:20,Moncton South,Moncton-Sud
ocd-division/country:ca/province:nb/ed:21,Moncton Northwest,Moncton-Nord-Ouest
ocd-division/country:ca/province:nb/ed:22,Champdoré-Irishtown,Champdoré-Irishtown
ocd-division/country:ca/province:nb/ed:23,Riverview,Riverview
ocd-division/country:ca/province:nb/ed:24,Albert-Riverview,Albert-Riverview
ocd-division/country:ca/province:nb/ed:25,Arcadia-Butternut Valley-Maple Hills,Arcadia-Butternut Valley-Maple Hills
ocd-division/country:ca/province:nb/ed:26,Sussex-Three Rivers,Sussex-Three Rivers
ocd-division/country:ca/province:nb/ed:27,Hampton-Fundy-St. Martins,Hampton-Fundy-St. Martins
ocd-division/country:ca/province:nb/ed:28,Quispamsis,Quispamsis
ocd-division/country:ca/province:nb/ed:29,Rothesay,Rothesay
ocd-division/country:ca/province:nb/ed:30,Saint John East,Saint John-Est
ocd-division/country:ca/province:nb/ed:31,Saint John Portland-Simonds,Saint John Portland-Simonds
ocd-division/country:ca/province:nb/ed:32,Saint John Harbour,Saint John Harbour
ocd-division/country:ca/province:nb/ed:33,Saint John West-Lancaster,Saint John-Ouest-Lancaster
ocd-division/country:ca/province:nb/ed:34,Kings Centre,Kings-Centre
ocd-division/country:ca/province:nb/ed:35,Fundy-The Isles-Saint John Lorneville,Fundy-The Isles-Saint John Lorneville
ocd-division/country:ca/province:nb/ed:36,Saint Croix,Sainte-Croix
ocd-division/country:ca/province:nb/ed:37,Oromocto-Sunbury,Oromocto-Sunbury
ocd-division/country:ca/province:nb/ed:38,Fredericton-Grand Lake,Fredericton-Grand Lake
ocd-division/country:ca/province:nb/ed:39,Fredericton Lincoln,Fredericton-Lincoln
ocd-division/country:ca/province:nb/ed:40,Fredericton South-Silverwood,Fredericton-Sud-Silverwood
ocd-division/country:ca/province:nb/ed:41,Fredericton North,Fredericton-Nord
ocd-division/country:ca/province:nb/ed:42,Fredericton-York,Fredericton-York
ocd-division/country:ca/province:nb/ed:43,Hanwell-New Maryland,Hanwell-New Maryland
ocd-division/country:ca/province:nb/ed:44,Carleton-York,Carleton-York
ocd-division/country:ca/province:nb/ed:45,Woodstock-Hartland,Woodstock-Hartland
ocd-division/country:ca/province:nb/ed:46,Carleton-Victoria,Carleton-Victoria
ocd-division/country:ca/province:nb/ed:47,Grand Falls-Vallée-des-Rivières-Saint-Quentin,Grand-Sault-Vallée-des-Rivières-Saint-Quentin
ocd-division/country:ca/province:nb/ed:48,Edmundston-Vallée-des-Rivières,Edmundston-Vallée-des-Rivières
ocd-division/country:ca/province:nb/ed:49,Madawaska Les Lacs-Edmundston,Madawaska-Les-Lacs-Edmundston
