id,name,name_fr,validFrom,validThrough
ocd-division/country:ca/ed:59024,Prince George—Peace River—Northern Rockies,Prince George—Peace River—Northern Rockies,"",""
ocd-division/country:ca/ed:59025,Richmond Centre,Richmond-Centre,"",""
ocd-division/country:ca/ed:59026,Esquimalt—Saanich—Sooke,Esquimalt—Saanich—Sooke,"",""
ocd-division/country:ca/ed:59027,Saanich—Gulf Islands,Saanich—Gulf Islands,"",""
ocd-division/country:ca/ed:59028,Skeena—Bulkley Valley,Skeena—Bulkley Valley,"",""
ocd-division/country:ca/ed:59029,South Okanagan—West Kootenay,Okanagan-Sud—Kootenay-Ouest,"",""
ocd-division/country:ca/ed:59030,South Surrey—White Rock,Surrey-Sud—White Rock,"",""
ocd-division/country:ca/ed:59031,Steveston—Richmond East,Steveston—Richmond-Est,"",""
ocd-division/country:ca/ed:59032,Surrey Centre,Surrey-Centre,"",""
ocd-division/country:ca/ed:59033,Surrey—Newton,Surrey—Newton,"",""
ocd-division/country:ca/ed:59034,Vancouver Centre,Vancouver-Centre,"",""
ocd-division/country:ca/ed:59035,Vancouver East,Vancouver-Est,"",""
ocd-division/country:ca/ed:59036,Vancouver Granville,Vancouver Granville,"",""
ocd-division/country:ca/ed:59037,North Island—Powell River,North Island—Powell River,2015-10-19,""
ocd-division/country:ca/ed:59038,Vancouver Kingsway,Vancouver Kingsway,2015-10-19,""
ocd-division/country:ca/ed:59039,Vancouver Quadra,Vancouver Quadra,2015-10-19,""
ocd-division/country:ca/ed:59040,Vancouver South,Vancouver-Sud,2015-10-19,""
ocd-division/country:ca/ed:59041,Victoria,Victoria,2015-10-19,""
ocd-division/country:ca/ed:59042,West Vancouver—Sunshine Coast—Sea to Sky Country,West Vancouver—Sunshine Coast—Sea to Sky Country,2015-10-19,""
ocd-division/country:ca/ed:60001,Yukon,Yukon,"",""
ocd-division/country:ca/ed:61001,Northwest Territories,Territoires du Nord-Ouest,"",""
ocd-division/country:ca/ed:62001,Nunavut,Nunavut,"",""
