id,name,name_fr,validFrom
ocd-division/country:ca/ed:10001-2023,Avalon,Avalon,2024-04-23
ocd-division/country:ca/ed:10002-2023,Cape Spear,Cape Spear,2024-04-23
ocd-division/country:ca/ed:10003-2023,Central Newfoundland,Central Newfoundland,2024-04-23
ocd-division/country:ca/ed:10004-2023,Labrador,Labrador,2024-04-23
ocd-division/country:ca/ed:10005-2023,Long Range Mountains,Long Range Mountains,2024-04-23
ocd-division/country:ca/ed:10006-2023,St. John's East,St. John's-Est,2024-04-23
ocd-division/country:ca/ed:10007-2023,Terra Nova—The Peninsulas,Terra Nova—Les Péninsules,2024-04-23
ocd-division/country:ca/ed:11001-2023,Cardigan,Cardigan,2024-04-23
ocd-division/country:ca/ed:11002-2023,Charlottetown,Charlottetown,2024-04-23
ocd-division/country:ca/ed:11003-2023,Egmont,Egmont,2024-04-23
ocd-division/country:ca/ed:11004-2023,Malpeque,Malpeque,2024-04-23
ocd-division/country:ca/ed:12001-2023,Acadie—Annapolis,Acadie—Annapolis,2024-04-23
ocd-division/country:ca/ed:12002-2023,Cape Breton—Canso—Antigonish,Cape Breton—Canso—Antigonish,2024-04-23
ocd-division/country:ca/ed:12003-2023,Central Nova,Nova-Centre,2024-04-23
ocd-division/country:ca/ed:12004-2023,Cumberland—Colchester,Cumberland—Colchester,2024-04-23
ocd-division/country:ca/ed:12005-2023,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour,2024-04-23
ocd-division/country:ca/ed:12006-2023,Halifax,Halifax,2024-04-23
ocd-division/country:ca/ed:12007-2023,Halifax West,Halifax-Ouest,2024-04-23
ocd-division/country:ca/ed:12008-2023,Kings—Hants,Kings—Hants,2024-04-23
ocd-division/country:ca/ed:12009-2023,Sackville—Bedford—Preston,Sackville—Bedford—Preston,2024-04-23
ocd-division/country:ca/ed:12010-2023,South Shore—St. Margarets,South Shore—St. Margarets,2024-04-23
ocd-division/country:ca/ed:12011-2023,Sydney—Glace Bay,Sydney—Glace Bay,2024-04-23
ocd-division/country:ca/ed:13001-2023,Acadie—Bathurst,Acadie—Bathurst,2024-04-23
ocd-division/country:ca/ed:13002-2023,Beauséjour,Beauséjour,2024-04-23
ocd-division/country:ca/ed:13003-2023,Fredericton—Oromocto,Fredericton—Oromocto,2024-04-23
ocd-division/country:ca/ed:13004-2023,Fundy Royal,Fundy Royal,2024-04-23
ocd-division/country:ca/ed:13005-2023,Madawaska—Restigouche,Madawaska—Restigouche,2024-04-23
ocd-division/country:ca/ed:13006-2023,Miramichi—Grand Lake,Miramichi—Grand Lake,2024-04-23
ocd-division/country:ca/ed:13007-2023,Moncton—Dieppe,Moncton—Dieppe,2024-04-23
ocd-division/country:ca/ed:13008-2023,Saint John—Kennebecasis,Saint John—Kennebecasis,2024-04-23
ocd-division/country:ca/ed:13009-2023,Saint John—St. Croix,Saint John—St. Croix,2024-04-23
ocd-division/country:ca/ed:13010-2023,Tobique—Mactaquac,Tobique—Mactaquac,2024-04-23
ocd-division/country:ca/ed:24001-2023,Abitibi—Baie-James—Nunavik—Eeyou,Abitibi—Baie-James—Nunavik—Eeyou,2024-04-23
ocd-division/country:ca/ed:24002-2023,Abitibi—Témiscamingue,Abitibi—Témiscamingue,2024-04-23
ocd-division/country:ca/ed:24003-2023,Ahuntsic-Cartierville,Ahuntsic-Cartierville,2024-04-23
ocd-division/country:ca/ed:24004-2023,Alfred-Pellan,Alfred-Pellan,2024-04-23
ocd-division/country:ca/ed:24005-2023,Argenteuil—La Petite-Nation,Argenteuil—La Petite-Nation,2024-04-23
ocd-division/country:ca/ed:24006-2023,Beauce,Beauce,2024-04-23
ocd-division/country:ca/ed:24007-2023,Beauharnois—Salaberry—Soulanges—Huntingdon,Beauharnois—Salaberry—Soulanges—Huntingdon,2024-04-23
ocd-division/country:ca/ed:24008-2023,Beauport—Limoilou,Beauport—Limoilou,2024-04-23
ocd-division/country:ca/ed:24009-2023,Bécancour—Nicolet—Saurel—Alnôbak,Bécancour—Nicolet—Saurel—Alnôbak,2024-04-23
ocd-division/country:ca/ed:24010-2023,Bellechasse—Les Etchemins—Lévis,Bellechasse—Les Etchemins—Lévis,2024-04-23
ocd-division/country:ca/ed:24011-2023,Beloeil—Chambly,Beloeil—Chambly,2024-04-23
ocd-division/country:ca/ed:24012-2023,Berthier—Maskinongé,Berthier—Maskinongé,2024-04-23
ocd-division/country:ca/ed:24013-2023,Bourassa,Bourassa,2024-04-23
ocd-division/country:ca/ed:24014-2023,Brome—Missisquoi,Brome—Missisquoi,2024-04-23
ocd-division/country:ca/ed:24015-2023,Brossard—Saint-Lambert,Brossard—Saint-Lambert,2024-04-23
ocd-division/country:ca/ed:24016-2023,Charlesbourg—Haute-Saint-Charles,Charlesbourg—Haute-Saint-Charles,2024-04-23
ocd-division/country:ca/ed:24017-2023,Châteauguay—Les Jardins-de-Napierville,Châteauguay—Les Jardins-de-Napierville,2024-04-23
ocd-division/country:ca/ed:24018-2023,Chicoutimi—Le Fjord,Chicoutimi—Le Fjord,2024-04-23
ocd-division/country:ca/ed:24019-2023,Compton—Stanstead,Compton—Stanstead,2024-04-23
ocd-division/country:ca/ed:24020-2023,Côte-du-Sud—Rivière-du-Loup— Kataskomiq—Témiscouata,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,2024-04-23
ocd-division/country:ca/ed:24021-2023,Côte-Nord—Kawawachikamach—Nitassinan,Côte-Nord—Kawawachikamach—Nitassinan,2024-04-23
ocd-division/country:ca/ed:24022-2023,Dorval—Lachine—LaSalle,Dorval—Lachine—LaSalle,2024-04-23
ocd-division/country:ca/ed:24023-2023,Drummond,Drummond,2024-04-23
ocd-division/country:ca/ed:24024-2023,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,2024-04-23
ocd-division/country:ca/ed:24025-2023,Gatineau,Gatineau,2024-04-23
ocd-division/country:ca/ed:24026-2023,Hochelaga—Rosemont-Est,Hochelaga—Rosemont-Est,2024-04-23
ocd-division/country:ca/ed:24027-2023,Honoré-Mercier,Honoré-Mercier,2024-04-23
ocd-division/country:ca/ed:24028-2023,Hull—Aylmer,Hull—Aylmer,2024-04-23
ocd-division/country:ca/ed:24029-2023,Joliette—Manawan,Joliette—Manawan,2024-04-23
ocd-division/country:ca/ed:24030-2023,Jonquière,Jonquière,2024-04-23
ocd-division/country:ca/ed:24031-2023,La Pointe-de-l'Île,La Pointe-de-l'Île,2024-04-23
ocd-division/country:ca/ed:24032-2023,La Prairie—Atateken,La Prairie—Atateken,2024-04-23
ocd-division/country:ca/ed:24033-2023,Lac-Saint-Jean,Lac-Saint-Jean,2024-04-23
ocd-division/country:ca/ed:24034-2023,Lac-Saint-Louis,Lac-Saint-Louis,2024-04-23
ocd-division/country:ca/ed:24035-2023,LaSalle—Émard—Verdun,LaSalle—Émard—Verdun,2024-04-23
ocd-division/country:ca/ed:24036-2023,Laurentides—Labelle,Laurentides—Labelle,2024-04-23
ocd-division/country:ca/ed:24037-2023,Laurier—Sainte-Marie,Laurier—Sainte-Marie,2024-04-23
ocd-division/country:ca/ed:24038-2023,Laval—Les Îles,Laval—Les Îles,2024-04-23
ocd-division/country:ca/ed:24039-2023,Les Pays-d'en-Haut,Les Pays-d'en-Haut,2024-04-23
ocd-division/country:ca/ed:24040-2023,Lévis—Lotbinière,Lévis—Lotbinière,2024-04-23
ocd-division/country:ca/ed:24041-2023,Longueuil—Charles-LeMoyne,Longueuil—Charles-LeMoyne,2024-04-23
ocd-division/country:ca/ed:24042-2023,Longueuil—Saint-Hubert,Longueuil—Saint-Hubert,2024-04-23
ocd-division/country:ca/ed:24043-2023,Louis-Hébert,Louis-Hébert,2024-04-23
ocd-division/country:ca/ed:24044-2023,Louis-Saint-Laurent—Akiawenhrahk,Louis-Saint-Laurent—Akiawenhrahk,2024-04-23
ocd-division/country:ca/ed:24045-2023,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,2024-04-23
ocd-division/country:ca/ed:24046-2023,Mégantic—L'Érable—Lotbinière,Mégantic—L'Érable—Lotbinière,2024-04-23
ocd-division/country:ca/ed:24047-2023,Mirabel,Mirabel,2024-04-23
ocd-division/country:ca/ed:24048-2023,Mount Royal,Mount Royal,2024-04-23
ocd-division/country:ca/ed:24049-2023,Mont-Saint-Bruno—L'Acadie,Mont-Saint-Bruno—L'Acadie,2024-04-23
ocd-division/country:ca/ed:24050-2023,Montcalm,Montcalm,2024-04-23
ocd-division/country:ca/ed:24051-2023,Montmorency—Charlevoix,Montmorency—Charlevoix,2024-04-23
ocd-division/country:ca/ed:24052-2023,Notre-Dame-de-Grâce—Westmount,Notre-Dame-de-Grâce—Westmount,2024-04-23
ocd-division/country:ca/ed:24053-2023,Outremont,Outremont,2024-04-23
ocd-division/country:ca/ed:24054-2023,Papineau,Papineau,2024-04-23
ocd-division/country:ca/ed:24055-2023,Pierre-Boucher—Les Patriotes—Verchères,Pierre-Boucher—Les Patriotes—Verchères,2024-04-23
ocd-division/country:ca/ed:24056-2023,Pierrefonds—Dollard,Pierrefonds—Dollard,2024-04-23
ocd-division/country:ca/ed:24057-2023,Pontiac—Kitigan Zibi,Pontiac—Kitigan Zibi,2024-04-23
ocd-division/country:ca/ed:24058-2023,Portneuf—Jacques-Cartier,Portneuf—Jacques-Cartier,2024-04-23
ocd-division/country:ca/ed:24059-2023,Québec Centre,Québec-Centre,2024-04-23
ocd-division/country:ca/ed:24060-2023,Repentigny,Repentigny,2024-04-23
ocd-division/country:ca/ed:24061-2023,Richmond—Arthabaska,Richmond—Arthabaska,2024-04-23
ocd-division/country:ca/ed:24062-2023,Rimouski—La Matapédia,Rimouski—La Matapédia,2024-04-23
ocd-division/country:ca/ed:24063-2023,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,2024-04-23
ocd-division/country:ca/ed:24064-2023,Rivière-du-Nord,Rivière-du-Nord,2024-04-23
ocd-division/country:ca/ed:24065-2023,Rosemont—La Petite-Patrie,Rosemont—La Petite-Patrie,2024-04-23
ocd-division/country:ca/ed:24066-2023,Saint-Hyacinthe—Bagot—Acton,Saint-Hyacinthe—Bagot—Acton,2024-04-23
ocd-division/country:ca/ed:24067-2023,Saint-Jean,Saint-Jean,2024-04-23
ocd-division/country:ca/ed:24068-2023,Saint-Laurent,Saint-Laurent,2024-04-23
ocd-division/country:ca/ed:24069-2023,Saint-Léonard—Saint-Michel,Saint-Léonard—Saint-Michel,2024-04-23
ocd-division/country:ca/ed:24070-2023,Saint-Maurice—Champlain,Saint-Maurice—Champlain,2024-04-23
ocd-division/country:ca/ed:24071-2023,Shefford,Shefford,2024-04-23
ocd-division/country:ca/ed:24072-2023,Sherbrooke,Sherbrooke,2024-04-23
ocd-division/country:ca/ed:24073-2023,Terrebonne,Terrebonne,2024-04-23
ocd-division/country:ca/ed:24074-2023,Thérèse-De Blainville,Thérèse-De Blainville,2024-04-23
ocd-division/country:ca/ed:24075-2023,Trois-Rivières,Trois-Rivières,2024-04-23
ocd-division/country:ca/ed:24076-2023,Vaudreuil,Vaudreuil,2024-04-23
ocd-division/country:ca/ed:24077-2023,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,2024-04-23
ocd-division/country:ca/ed:24078-2023,Vimy,Vimy,2024-04-23
ocd-division/country:ca/ed:35001-2023,Ajax,Ajax,2024-04-23
ocd-division/country:ca/ed:35002-2023,Algonquin—Renfrew—Pembroke,Algonquin—Renfrew—Pembroke,2024-04-23
ocd-division/country:ca/ed:35003-2023,Aurora—Oak Ridges—Richmond Hill,Aurora—Oak Ridges—Richmond Hill,2024-04-23
ocd-division/country:ca/ed:35004-2023,Barrie South—Innisfil,Barrie-Sud—Innisfil,2024-04-23
ocd-division/country:ca/ed:35005-2023,Barrie—Springwater—Oro-Medonte,Barrie—Springwater—Oro-Medonte,2024-04-23
ocd-division/country:ca/ed:35006-2023,Bay of Quinte,Bay of Quinte,2024-04-23
ocd-division/country:ca/ed:35007-2023,Beaches—East York,Beaches—East York,2024-04-23
ocd-division/country:ca/ed:35008-2023,Bowmanville—Oshawa North,Bowmanville—Oshawa-Nord,2024-04-23
ocd-division/country:ca/ed:35009-2023,Brampton Centre,Brampton-Centre,2024-04-23
ocd-division/country:ca/ed:35010-2023,Brampton—Chinguacousy Park,Brampton—Chinguacousy Park,2024-04-23
ocd-division/country:ca/ed:35011-2023,Brampton East,Brampton-Est,2024-04-23
ocd-division/country:ca/ed:35012-2023,Brampton North—Caledon,Brampton-Nord—Caledon,2024-04-23
ocd-division/country:ca/ed:35013-2023,Brampton South,Brampton-Sud,2024-04-23
ocd-division/country:ca/ed:35014-2023,Brampton West,Brampton-Ouest,2024-04-23
ocd-division/country:ca/ed:35015-2023,Brantford—Brant South—Six Nations,Brantford—Brant-Sud—Six Nations,2024-04-23
ocd-division/country:ca/ed:35016-2023,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound,2024-04-23
ocd-division/country:ca/ed:35017-2023,Burlington,Burlington,2024-04-23
ocd-division/country:ca/ed:35018-2023,Burlington North—Milton West,Burlington-Nord—Milton-Ouest,2024-04-23
ocd-division/country:ca/ed:35019-2023,Cambridge,Cambridge,2024-04-23
ocd-division/country:ca/ed:35020-2023,Carleton,Carleton,2024-04-23
ocd-division/country:ca/ed:35021-2023,Chatham-Kent—Leamington,Chatham-Kent—Leamington,2024-04-23
ocd-division/country:ca/ed:35022-2023,Davenport,Davenport,2024-04-23
ocd-division/country:ca/ed:35023-2023,Don Valley North,Don Valley-Nord,2024-04-23
ocd-division/country:ca/ed:35024-2023,Don Valley West,Don Valley-Ouest,2024-04-23
ocd-division/country:ca/ed:35025-2023,Dufferin—Caledon,Dufferin—Caledon,2024-04-23
ocd-division/country:ca/ed:35026-2023,Eglinton—Lawrence,Eglinton—Lawrence,2024-04-23
ocd-division/country:ca/ed:35027-2023,Elgin—St. Thomas—London South,Elgin—St. Thomas—London-Sud,2024-04-23
ocd-division/country:ca/ed:35028-2023,Essex,Essex,2024-04-23
ocd-division/country:ca/ed:35029-2023,Etobicoke Centre,Etobicoke-Centre,2024-04-23
ocd-division/country:ca/ed:35030-2023,Etobicoke—Lakeshore,Etobicoke—Lakeshore,2024-04-23
ocd-division/country:ca/ed:35031-2023,Etobicoke North,Etobicoke-Nord,2024-04-23
ocd-division/country:ca/ed:35032-2023,Flamborough—Glanbrook—Brant North,Flamborough—Glanbrook—Brant-Nord,2024-04-23
ocd-division/country:ca/ed:35033-2023,Guelph,Guelph,2024-04-23
ocd-division/country:ca/ed:35034-2023,Haldimand—Norfolk,Haldimand—Norfolk,2024-04-23
ocd-division/country:ca/ed:35035-2023,Haliburton—Kawartha Lakes,Haliburton—Kawartha Lakes,2024-04-23
ocd-division/country:ca/ed:35036-2023,Hamilton Centre,Hamilton-Centre,2024-04-23
ocd-division/country:ca/ed:35037-2023,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek,2024-04-23
ocd-division/country:ca/ed:35038-2023,Hamilton Mountain,Hamilton Mountain,2024-04-23
ocd-division/country:ca/ed:35039-2023,Hamilton West—Ancaster—Dundas,Hamilton-Ouest—Ancaster—Dundas,2024-04-23
ocd-division/country:ca/ed:35040-2023,Hastings—Lennox and Addington—Tyendinaga,Hastings—Lennox and Addington—Tyendinaga,2024-04-23
ocd-division/country:ca/ed:35041-2023,Humber River—Black Creek,Humber River—Black Creek,2024-04-23
ocd-division/country:ca/ed:35042-2023,Huron—Bruce,Huron—Bruce,2024-04-23
ocd-division/country:ca/ed:35043-2023,Kanata,Kanata,2024-04-23
ocd-division/country:ca/ed:35044-2023,Kapuskasing—Timmins—Mushkegowuk,Kapuskasing—Timmins—Mushkegowuk,2024-04-23
ocd-division/country:ca/ed:35045-2023,Kenora—Kiiwetinoong,Kenora—Kiiwetinoong,2024-04-23
ocd-division/country:ca/ed:35046-2023,Kingston and the Islands,Kingston et les Îles,2024-04-23
ocd-division/country:ca/ed:35047-2023,King—Vaughan,King—Vaughan,2024-04-23
ocd-division/country:ca/ed:35048-2023,Kitchener Centre,Kitchener-Centre,2024-04-23
ocd-division/country:ca/ed:35049-2023,Kitchener—Conestoga,Kitchener—Conestoga,2024-04-23
ocd-division/country:ca/ed:35050-2023,Kitchener South—Hespeler,Kitchener-Sud—Hespeler,2024-04-23
ocd-division/country:ca/ed:35051-2023,Lanark—Frontenac,Lanark—Frontenac,2024-04-23
ocd-division/country:ca/ed:35052-2023,Leeds—Grenville—Thousand Islands—Rideau Lakes,Leeds—Grenville—Thousand Islands—Rideau Lakes,2024-04-23
ocd-division/country:ca/ed:35053-2023,London Centre,London-Centre,2024-04-23
