id,name,name_fr,validFrom
ocd-division/country:ca/ed:avalon,Avalon,Avalon,2015-10-19
ocd-division/country:ca/ed:bonavista—burin—trinity,Bonavista—Burin—Trinity,Bonavista—Burin—Trinity,2015-10-19
ocd-division/country:ca/ed:coast_of_bays—central—notre_dame,Coast of Bays—Central—Notre Dame,Coast of Bays—Central—Notre Dame,2015-10-19
ocd-division/country:ca/ed:labrador,Labrador,Labrador,2015-10-19
ocd-division/country:ca/ed:long_range_mountains,Long Range Mountains,Long Range Mountains,2015-10-19
ocd-division/country:ca/ed:st._john's_east,St. John's East,St. John's-Est,2015-10-19
ocd-division/country:ca/ed:st._john's_south—mount_pearl,St. John's South—Mount Pearl,St. John's-Sud—Mount Pearl,2015-10-19
ocd-division/country:ca/ed:cardigan,Cardigan,Cardigan,2015-10-19
ocd-division/country:ca/ed:charlottetown,Charlottetown,Charlottetown,2015-10-19
ocd-division/country:ca/ed:egmont,Egmont,Egmont,2015-10-19
ocd-division/country:ca/ed:malpeque,Malpeque,Malpeque,2015-10-19
ocd-division/country:ca/ed:cape_breton—canso,Cape Breton—Canso,Cape Breton—Canso,2015-10-19
ocd-division/country:ca/ed:central_nova,Central Nova,Nova-Centre,2015-10-19
ocd-division/country:ca/ed:cumberland—colchester,Cumberland—Colchester,Cumberland—Colchester,2015-10-19
ocd-division/country:ca/ed:dartmouth—cole_harbour,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour,2015-10-19
ocd-division/country:ca/ed:halifax,Halifax,Halifax,2015-10-19
ocd-division/country:ca/ed:halifax_west,Halifax West,Halifax-Ouest,2015-10-19
ocd-division/country:ca/ed:kings—hants,Kings—Hants,Kings—Hants,2015-10-19
ocd-division/country:ca/ed:sackville—preston—chezzetcook,Sackville—Preston—Chezzetcook,Sackville—Preston—Chezzetcook,2015-10-19
ocd-division/country:ca/ed:south_shore—st._margarets,South Shore—St. Margarets,South Shore—St. Margarets,2015-10-19
ocd-division/country:ca/ed:sydney—victoria,Sydney—Victoria,Sydney—Victoria,2015-10-19
ocd-division/country:ca/ed:west_nova,West Nova,Nova-Ouest,2015-10-19
ocd-division/country:ca/ed:acadie—bathurst,Acadie—Bathurst,Acadie—Bathurst,2015-10-19
ocd-division/country:ca/ed:beauséjour,Beauséjour,Beauséjour,2015-10-19
ocd-division/country:ca/ed:fredericton,Fredericton,Fredericton,2015-10-19
ocd-division/country:ca/ed:fundy_royal,Fundy Royal,Fundy Royal,2015-10-19
ocd-division/country:ca/ed:madawaska—restigouche,Madawaska—Restigouche,Madawaska—Restigouche,2015-10-19
ocd-division/country:ca/ed:miramichi—grand_lake,Miramichi—Grand Lake,Miramichi—Grand Lake,2015-10-19
ocd-division/country:ca/ed:moncton—riverview—dieppe,Moncton—Riverview—Dieppe,Moncton—Riverview—Dieppe,2015-10-19
ocd-division/country:ca/ed:new_brunswick_southwest,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,2015-10-19
ocd-division/country:ca/ed:saint_john—rothesay,Saint John—Rothesay,Saint John—Rothesay,2015-10-19
ocd-division/country:ca/ed:tobique—mactaquac,Tobique—Mactaquac,Tobique—Mactaquac,2015-10-19
ocd-division/country:ca/ed:abitibi—baie-james—nunavik—eeyou,Abitibi—Baie-James—Nunavik—Eeyou,Abitibi—Baie-James—Nunavik—Eeyou,2015-10-19
