id,name,validFrom
ocd-division/country:ca/province:on/ed:80-2015,Ottawa—Vanier,2018-06-07
ocd-division/country:ca/province:on/ed:81-2015,Ottawa West—Nepean,2018-06-07
ocd-division/country:ca/province:on/ed:82-2015,Oxford,2018-06-07
ocd-division/country:ca/province:on/ed:83-2015,Parkdale—High Park,2018-06-07
ocd-division/country:ca/province:on/ed:84-2015,Parry Sound—Muskoka,2018-06-07
ocd-division/country:ca/province:on/ed:85-2015,Perth—Wellington,2018-06-07
ocd-division/country:ca/province:on/ed:86-2015,Peterborough—Kawartha,2018-06-07
ocd-division/country:ca/province:on/ed:87-2015,Pickering—Uxbridge,2018-06-07
ocd-division/country:ca/province:on/ed:88-2015,Renfrew—Nipissing—Pembroke,2018-06-07
ocd-division/country:ca/province:on/ed:89-2015,Richmond Hill,2018-06-07
ocd-division/country:ca/province:on/ed:90-2015,St. Catharines,2018-06-07
ocd-division/country:ca/province:on/ed:91-2015,Sarnia—Lambton,2018-06-07
ocd-division/country:ca/province:on/ed:92-2015,Sault Ste. Marie,2018-06-07
ocd-division/country:ca/province:on/ed:93-2015,Scarborough—Agincourt,2018-06-07
ocd-division/country:ca/province:on/ed:94-2015,Scarborough Centre,2018-06-07
ocd-division/country:ca/province:on/ed:95-2015,Scarborough—Guildwood,2018-06-07
ocd-division/country:ca/province:on/ed:96-2015,Scarborough North,2018-06-07
ocd-division/country:ca/province:on/ed:97-2015,Scarborough—Rouge Park,2018-06-07
ocd-division/country:ca/province:on/ed:98-2015,Scarborough Southwest,2018-06-07
ocd-division/country:ca/province:on/ed:99-2015,Simcoe—Grey,2018-06-07
ocd-division/country:ca/province:on/ed:100-2015,Simcoe North,2018-06-07
ocd-division/country:ca/province:on/ed:101-2015,Spadina—Fort York,2018-06-07
ocd-division/country:ca/province:on/ed:102-2015,Stormont—Dundas—South Glengarry,2018-06-07
ocd-division/country:ca/province:on/ed:103-2015,Sudbury,2018-06-07
ocd-division/country:ca/province:on/ed:104-2015,Thornhill,2018-06-07
ocd-division/country:ca/province:on/ed:105-2015,Thunder Bay—Atikokan,2018-06-07
ocd-division/country:ca/province:on/ed:106-2015,Thunder Bay—Superior North,2018-06-07
ocd-division/country:ca/province:on/ed:107-2015,Timiskaming—Cochrane,2018-06-07
ocd-division/country:ca/province:on/ed:108-2015,Timmins—James Bay,2018-06-07
