id,name_fr
ocd-division/country:ca/region:1,Atlantique
ocd-division/country:ca/region:2,Québec
ocd-division/country:ca/region:3,Ontario
ocd-division/country:ca/region:4,Prairies
ocd-division/country:ca/region:5,Colombie-Britannique
ocd-division/country:ca/region:6,Territoires
