id,sameAs,sameAsNote
ocd-division/country:au/state:nsw/sldl:mulgoa,ocd-division/country:au/state:nsw/sldl:badgerys_creek,Mulgoa renamed to Badgerys Creek
ocd-division/country:au/state:nsw/sldl:baulkham_hills,ocd-division/country:au/state:nsw/sldl:kellyville,Baulkham Hills renamed to Kellyville
ocd-division/country:au/state:nsw/sldl:ku-ring-gai,ocd-division/country:au/state:nsw/sldl:wahroonga,Ku-ring-gai renamed to Wahroonga
ocd-division/country:au/state:nsw/sldl:seven_hills,ocd-division/country:au/state:nsw/sldl:winston_hills,Seven Hills renamed to Winston Hills
