USPS	GEOID	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
MD	24030	State Senate District 30	125514	51912	201370612	1383510	      77.750	       0.534	 38.943535	 -76.516630                                                                                       
MD	24031	State Senate District 31	122363	47718	152052264	1465931	      58.708	       0.566	 39.144126	 -76.537838                                                                                       
MD	24032	State Senate District 32	131384	50984	159025474	261144	      61.400	       0.101	 39.148309	 -76.686295                                                                                        
MD	24033	State Senate District 33	128700	51233	489081296	2481572	     188.835	       0.958	 38.938300	 -76.626588                                                                                       
MD	24034	State Senate District 34	131492	52693	662539091	51162536	     255.808	      19.754	 39.563385	 -76.102405                                                                                      
MD	24035	State Senate District 35	128326	48335	780231103	15128526	     301.249	       5.841	 39.610036	 -76.355090                                                                                      
MD	24036	State Senate District 36	137167	59355	2529999191	89144409	     976.838	      34.419	 39.193454	 -75.972697                                                                                     
MD	24037	State Senate District 37	129289	60765	3057239834	203041075	    1180.407	      78.395	 38.583910	 -75.966994                                                                                    
MD	24038	State Senate District 38	134633	90501	2535997155	40404513	     979.154	      15.600	 38.213043	 -75.508871                                                                                     
MD	24039	State Senate District 39	116817	42031	64574871	917295	      24.932	       0.354	 39.175265	 -77.182734                                                                                         
MD	24040	State Senate District 40	101128	49799	23412063	359804	       9.039	       0.139	 39.322596	 -76.644872                                                                                         
MD	24041	State Senate District 41	105582	47335	44454685	53203	      17.164	       0.021	 39.336987	 -76.680162                                                                                          
MD	24042	State Senate District 42	114572	48816	93230922	3158614	      35.997	       1.220	 39.411779	 -76.610505                                                                                        
MD	24043	State Senate District 43	102267	45736	27393568	319404	      10.577	       0.123	 39.350122	 -76.593009                                                                                         
MD	24044	State Senate District 44	95890	50242	26108387	91671	      10.081	       0.035	 39.283947	 -76.652871                                                                                           
MD	24045	State Senate District 45	101362	45218	30396646	7780	      11.736	       0.003	 39.329166	 -76.559821                                                                                           
MD	24046	State Senate District 46	114732	58355	57877892	337009	      22.347	       0.130	 39.263202	 -76.580254                                                                                         
MD	24047	State Senate District 47	111477	40604	43271814	385162	      16.707	       0.149	 38.937539	 -76.960289                                                                                         
MD	24Z03	State Senate Districts not defined (Anne Arundel County)	0	0	0	442120524	       0.000	     170.704	 38.965362	 -76.458818                                                                      
MD	24Z05	State Senate Districts not defined (Baltimore County)	0	0	0	190446277	       0.000	      73.532	 39.250615	 -76.388409                                                                         
MD	24Z09	State Senate Districts not defined (Calvert County)	0	0	0	334383419	       0.000	     129.106	 38.502563	 -76.467414                                                                           
MD	24Z15	State Senate Districts not defined (Cecil County)	0	0	0	176477294	       0.000	      68.138	 39.495278	 -75.995536                                                                             
MD	24Z17	State Senate Districts not defined (Charles County)	0	0	0	473406213	       0.000	     182.783	 38.388465	 -77.072842                                                                           
MD	24Z19	State Senate Districts not defined (Dorchester County)	0	0	0	1058298427	       0.000	     408.611	 38.339337	 -76.190023                                                                       
MD	24Z25	State Senate Districts not defined (Harford County)	0	0	0	167845088	       0.000	      64.805	 39.289931	 -76.318437                                                                           
