id,name,census-geoid,validFrom,validThrough
ocd-division/country:us/state:az/sldu:23,Arizona State Senate district 23,sldu-04023,,
ocd-division/country:us/state:az/sldu:24,Arizona State Senate district 24,sldu-04024,,
ocd-division/country:us/state:az/sldu:25,Arizona State Senate district 25,sldu-04025,,
ocd-division/country:us/state:az/sldu:26,Arizona State Senate district 26,sldu-04026,,
ocd-division/country:us/state:az/sldu:27,Arizona State Senate district 27,sldu-04027,,
ocd-division/country:us/state:az/sldu:28,Arizona State Senate district 28,sldu-04028,,
ocd-division/country:us/state:az/sldu:29,Arizona State Senate district 29,sldu-04029,,
ocd-division/country:us/state:az/sldu:30,Arizona State Senate district 30,sldu-04030,,
ocd-division/country:us/state:ar/sldu:1,Arkansas State Senate district 1,sldu-05001,,
ocd-division/country:us/state:ar/sldu:2,Arkansas State Senate district 2,sldu-05002,,
ocd-division/country:us/state:ar/sldu:3,Arkansas State Senate district 3,sldu-05003,,
ocd-division/country:us/state:ar/sldu:4,Arkansas State Senate district 4,sldu-05004,,
ocd-division/country:us/state:ar/sldu:5,Arkansas State Senate district 5,sldu-05005,,
ocd-division/country:us/state:ar/sldu:6,Arkansas State Senate district 6,sldu-05006,,
ocd-division/country:us/state:ar/sldu:7,Arkansas State Senate district 7,sldu-05007,,
ocd-division/country:us/state:ar/sldu:8,Arkansas State Senate district 8,sldu-05008,,
ocd-division/country:us/state:ar/sldu:9,Arkansas State Senate district 9,sldu-05009,,
ocd-division/country:us/state:ar/sldu:10,Arkansas State Senate district 10,sldu-05010,,
ocd-division/country:us/state:ar/sldu:11,Arkansas State Senate district 11,sldu-05011,,
ocd-division/country:us/state:ar/sldu:12,Arkansas State Senate district 12,sldu-05012,,
ocd-division/country:us/state:ar/sldu:13,Arkansas State Senate district 13,sldu-05013,,
ocd-division/country:us/state:ar/sldu:14,Arkansas State Senate district 14,sldu-05014,,
ocd-division/country:us/state:ar/sldu:15,Arkansas State Senate district 15,sldu-05015,,
ocd-division/country:us/state:ar/sldu:16,Arkansas State Senate district 16,sldu-05016,,
ocd-division/country:us/state:ar/sldu:17,Arkansas State Senate district 17,sldu-05017,,
ocd-division/country:us/state:ar/sldu:18,Arkansas State Senate district 18,sldu-05018,,
ocd-division/country:us/state:ar/sldu:19,Arkansas State Senate district 19,sldu-05019,,
ocd-division/country:us/state:ar/sldu:20,Arkansas State Senate district 20,sldu-05020,,
ocd-division/country:us/state:ar/sldu:21,Arkansas State Senate district 21,sldu-05021,,
ocd-division/country:us/state:ar/sldu:22,Arkansas State Senate district 22,sldu-05022,,
ocd-division/country:us/state:ar/sldu:23,Arkansas State Senate district 23,sldu-05023,,
ocd-division/country:us/state:ar/sldu:24,Arkansas State Senate district 24,sldu-05024,,
ocd-division/country:us/state:ar/sldu:25,Arkansas State Senate district 25,sldu-05025,,
ocd-division/country:us/state:ar/sldu:26,Arkansas State Senate district 26,sldu-05026,,
ocd-division/country:us/state:ar/sldu:27,Arkansas State Senate district 27,sldu-05027,,
ocd-division/country:us/state:ar/sldu:28,Arkansas State Senate district 28,sldu-05028,,
ocd-division/country:us/state:ar/sldu:29,Arkansas State Senate district 29,sldu-05029,,
ocd-division/country:us/state:ar/sldu:30,Arkansas State Senate district 30,sldu-05030,,
ocd-division/country:us/state:ar/sldu:31,Arkansas State Senate district 31,sldu-05031,,
ocd-division/country:us/state:ar/sldu:32,Arkansas State Senate district 32,sldu-05032,,
ocd-division/country:us/state:ar/sldu:33,Arkansas State Senate district 33,sldu-05033,,
ocd-division/country:us/state:ar/sldu:34,Arkansas State Senate district 34,sldu-05034,,
ocd-division/country:us/state:ar/sldu:35,Arkansas State Senate district 35,sldu-05035,,
ocd-division/country:us/state:ca/sldu:1,California State Senate district 1,sldu-06001,,
ocd-division/country:us/state:ca/sldu:2,California State Senate district 2,sldu-06002,,
ocd-division/country:us/state:ca/sldu:3,California State Senate district 3,sldu-06003,,
ocd-division/country:us/state:ca/sldu:4,California State Senate district 4,sldu-06004,,
ocd-division/country:us/state:ca/sldu:5,California State Senate district 5,sldu-06005,,
ocd-division/country:us/state:ca/sldu:6,California State Senate district 6,sldu-06006,,
ocd-division/country:us/state:ca/sldu:7,California State Senate district 7,sldu-06007,,
ocd-division/country:us/state:ca/sldu:8,California State Senate district 8,sldu-06008,,
ocd-division/country:us/state:ca/sldu:9,California State Senate district 9,sldu-06009,,
ocd-division/country:us/state:ca/sldu:10,California State Senate district 10,sldu-06010,,
ocd-division/country:us/state:ca/sldu:11,California State Senate district 11,sldu-06011,,
ocd-division/country:us/state:ca/sldu:12,California State Senate district 12,sldu-06012,,
ocd-division/country:us/state:ca/sldu:13,California State Senate district 13,sldu-06013,,
ocd-division/country:us/state:ca/sldu:14,California State Senate district 14,sldu-06014,,
ocd-division/country:us/state:ca/sldu:15,California State Senate district 15,sldu-06015,,
ocd-division/country:us/state:ca/sldu:16,California State Senate district 16,sldu-06016,,
ocd-division/country:us/state:ca/sldu:17,California State Senate district 17,sldu-06017,,
ocd-division/country:us/state:ca/sldu:18,California State Senate district 18,sldu-06018,,
ocd-division/country:us/state:ca/sldu:19,California State Senate district 19,sldu-06019,,
ocd-division/country:us/state:ca/sldu:20,California State Senate district 20,sldu-06020,,
ocd-division/country:us/state:ca/sldu:21,California State Senate district 21,sldu-06021,,
ocd-division/country:us/state:ca/sldu:22,California State Senate district 22,sldu-06022,,
ocd-division/country:us/state:ca/sldu:23,California State Senate district 23,sldu-06023,,
ocd-division/country:us/state:ca/sldu:24,California State Senate district 24,sldu-06024,,
ocd-division/country:us/state:ca/sldu:25,California State Senate district 25,sldu-06025,,
ocd-division/country:us/state:ca/sldu:26,California State Senate district 26,sldu-06026,,
ocd-division/country:us/state:ca/sldu:27,California State Senate district 27,sldu-06027,,
ocd-division/country:us/state:ca/sldu:28,California State Senate district 28,sldu-06028,,
ocd-division/country:us/state:ca/sldu:29,California State Senate district 29,sldu-06029,,
ocd-division/country:us/state:ca/sldu:30,California State Senate district 30,sldu-06030,,
ocd-division/country:us/state:ca/sldu:31,California State Senate district 31,sldu-06031,,
ocd-division/country:us/state:ca/sldu:32,California State Senate district 32,sldu-06032,,
ocd-division/country:us/state:ca/sldu:33,California State Senate district 33,sldu-06033,,
ocd-division/country:us/state:ca/sldu:34,California State Senate district 34,sldu-06034,,
ocd-division/country:us/state:ca/sldu:35,California State Senate district 35,sldu-06035,,
ocd-division/country:us/state:ca/sldu:36,California State Senate district 36,sldu-06036,,
ocd-division/country:us/state:ca/sldu:37,California State Senate district 37,sldu-06037,,
ocd-division/country:us/state:ca/sldu:38,California State Senate district 38,sldu-06038,,
ocd-division/country:us/state:ca/sldu:39,California State Senate district 39,sldu-06039,,
ocd-division/country:us/state:ca/sldu:40,California State Senate district 40,sldu-06040,,
ocd-division/country:us/state:co/sldu:1,Colorado State Senate district 1,sldu-08001,,
ocd-division/country:us/state:co/sldu:2,Colorado State Senate district 2,sldu-08002,,
ocd-division/country:us/state:co/sldu:3,Colorado State Senate district 3,sldu-08003,,
ocd-division/country:us/state:co/sldu:4,Colorado State Senate district 4,sldu-08004,,
ocd-division/country:us/state:co/sldu:5,Colorado State Senate district 5,sldu-08005,,
ocd-division/country:us/state:co/sldu:6,Colorado State Senate district 6,sldu-08006,,
ocd-division/country:us/state:co/sldu:7,Colorado State Senate district 7,sldu-08007,,
ocd-division/country:us/state:co/sldu:8,Colorado State Senate district 8,sldu-08008,,
ocd-division/country:us/state:co/sldu:9,Colorado State Senate district 9,sldu-08009,,
ocd-division/country:us/state:co/sldu:10,Colorado State Senate district 10,sldu-08010,,
ocd-division/country:us/state:co/sldu:11,Colorado State Senate district 11,sldu-08011,,
ocd-division/country:us/state:co/sldu:12,Colorado State Senate district 12,sldu-08012,,
ocd-division/country:us/state:co/sldu:13,Colorado State Senate district 13,sldu-08013,,
ocd-division/country:us/state:co/sldu:14,Colorado State Senate district 14,sldu-08014,,
ocd-division/country:us/state:co/sldu:15,Colorado State Senate district 15,sldu-08015,,
ocd-division/country:us/state:co/sldu:16,Colorado State Senate district 16,sldu-08016,,
ocd-division/country:us/state:co/sldu:17,Colorado State Senate district 17,sldu-08017,,
ocd-division/country:us/state:co/sldu:18,Colorado State Senate district 18,sldu-08018,,
ocd-division/country:us/state:co/sldu:19,Colorado State Senate district 19,sldu-08019,,
ocd-division/country:us/state:co/sldu:20,Colorado State Senate district 20,sldu-08020,,
ocd-division/country:us/state:co/sldu:21,Colorado State Senate district 21,sldu-08021,,
ocd-division/country:us/state:co/sldu:22,Colorado State Senate district 22,sldu-08022,,
ocd-division/country:us/state:co/sldu:23,Colorado State Senate district 23,sldu-08023,,
ocd-division/country:us/state:co/sldu:24,Colorado State Senate district 24,sldu-08024,,
ocd-division/country:us/state:co/sldu:25,Colorado State Senate district 25,sldu-08025,,
ocd-division/country:us/state:co/sldu:26,Colorado State Senate district 26,sldu-08026,,
ocd-division/country:us/state:co/sldu:27,Colorado State Senate district 27,sldu-08027,,
ocd-division/country:us/state:co/sldu:28,Colorado State Senate district 28,sldu-08028,,
ocd-division/country:us/state:co/sldu:29,Colorado State Senate district 29,sldu-08029,,
ocd-division/country:us/state:co/sldu:30,Colorado State Senate district 30,sldu-08030,,
ocd-division/country:us/state:co/sldu:31,Colorado State Senate district 31,sldu-08031,,
ocd-division/country:us/state:co/sldu:32,Colorado State Senate district 32,sldu-08032,,
ocd-division/country:us/state:co/sldu:33,Colorado State Senate district 33,sldu-08033,,
ocd-division/country:us/state:co/sldu:34,Colorado State Senate district 34,sldu-08034,,
ocd-division/country:us/state:co/sldu:35,Colorado State Senate district 35,sldu-08035,,
ocd-division/country:us/state:ct/sldu:1,Connecticut State Senate district 1,sldu-09001,,
ocd-division/country:us/state:ct/sldu:2,Connecticut State Senate district 2,sldu-09002,,
ocd-division/country:us/state:ct/sldu:3,Connecticut State Senate district 3,sldu-09003,,
ocd-division/country:us/state:ct/sldu:4,Connecticut State Senate district 4,sldu-09004,,
ocd-division/country:us/state:ct/sldu:5,Connecticut State Senate district 5,sldu-09005,,
ocd-division/country:us/state:ct/sldu:6,Connecticut State Senate district 6,sldu-09006,,
ocd-division/country:us/state:ct/sldu:7,Connecticut State Senate district 7,sldu-09007,,
ocd-division/country:us/state:ct/sldu:8,Connecticut State Senate district 8,sldu-09008,,
ocd-division/country:us/state:ct/sldu:9,Connecticut State Senate district 9,sldu-09009,,
ocd-division/country:us/state:ct/sldu:10,Connecticut State Senate district 10,sldu-09010,,
ocd-division/country:us/state:ct/sldu:11,Connecticut State Senate district 11,sldu-09011,,
ocd-division/country:us/state:ct/sldu:12,Connecticut State Senate district 12,sldu-09012,,
ocd-division/country:us/state:ct/sldu:13,Connecticut State Senate district 13,sldu-09013,,
