id,name,census_geoid,validThrough
ocd-division/country:us/state:ct/cd:3,Connecticut's 3rd congressional district,cd-0903,
ocd-division/country:us/state:ct/cd:4,Connecticut's 4th congressional district,cd-0904,
ocd-division/country:us/state:ct/cd:5,Connecticut's 5th congressional district,cd-0905,
ocd-division/country:us/state:de/cd:at-large,Deleware's at-large congressional district,,
ocd-division/country:us/state:fl/cd:10,Florida's 10th congressional district,cd-1210,
ocd-division/country:us/state:fl/cd:11,Florida's 11th congressional district,cd-1211,
ocd-division/country:us/state:fl/cd:12,Florida's 12th congressional district,cd-1212,
ocd-division/country:us/state:fl/cd:13,Florida's 13th congressional district,cd-1213,
ocd-division/country:us/state:fl/cd:14,Florida's 14th congressional district,cd-1214,
ocd-division/country:us/state:fl/cd:15,Florida's 15th congressional district,cd-1215,
ocd-division/country:us/state:fl/cd:16,Florida's 16th congressional district,cd-1216,
ocd-division/country:us/state:fl/cd:17,Florida's 17th congressional district,cd-1217,
ocd-division/country:us/state:fl/cd:18,Florida's 18th congressional district,cd-1218,
ocd-division/country:us/state:fl/cd:19,Florida's 19th congressional district,cd-1219,
ocd-division/country:us/state:fl/cd:1,Florida's 1st congressional district,cd-1201,
ocd-division/country:us/state:fl/cd:20,Florida's 20th congressional district,cd-1220,
ocd-division/country:us/state:fl/cd:21,Florida's 21st congressional district,cd-1221,
ocd-division/country:us/state:fl/cd:22,Florida's 22nd congressional district,cd-1222,
ocd-division/country:us/state:fl/cd:23,Florida's 23rd congressional district,cd-1223,
ocd-division/country:us/state:fl/cd:24,Florida's 24th congressional district,cd-1224,
ocd-division/country:us/state:fl/cd:25,Florida's 25th congressional district,cd-1225,
ocd-division/country:us/state:fl/cd:26,Florida's 26th congressional district,cd-1226,
ocd-division/country:us/state:fl/cd:27,Florida's 27th congressional district,cd-1227,
ocd-division/country:us/state:fl/cd:2,Florida's 2nd congressional district,cd-1202,
ocd-division/country:us/state:fl/cd:3,Florida's 3rd congressional district,cd-1203,
ocd-division/country:us/state:fl/cd:4,Florida's 4th congressional district,cd-1204,
ocd-division/country:us/state:fl/cd:5,Florida's 5th congressional district,cd-1205,
ocd-division/country:us/state:fl/cd:6,Florida's 6th congressional district,cd-1206,
ocd-division/country:us/state:fl/cd:7,Florida's 7th congressional district,cd-1207,
ocd-division/country:us/state:fl/cd:8,Florida's 8th congressional district,cd-1208,
ocd-division/country:us/state:fl/cd:9,Florida's 9th congressional district,cd-1209,
ocd-division/country:us/state:ga/cd:10,Georgia's 10th congressional district,cd-1310,
ocd-division/country:us/state:ga/cd:11,Georgia's 11th congressional district,cd-1311,
ocd-division/country:us/state:ga/cd:12,Georgia's 12th congressional district,cd-1312,
ocd-division/country:us/state:ga/cd:13,Georgia's 13th congressional district,cd-1313,
ocd-division/country:us/state:ga/cd:14,Georgia's 14th congressional district,cd-1314,
ocd-division/country:us/state:ga/cd:1,Georgia's 1st congressional district,cd-1301,
ocd-division/country:us/state:ga/cd:2,Georgia's 2nd congressional district,cd-1302,
ocd-division/country:us/state:ga/cd:3,Georgia's 3rd congressional district,cd-1303,
ocd-division/country:us/state:ga/cd:4,Georgia's 4th congressional district,cd-1304,
ocd-division/country:us/state:ga/cd:5,Georgia's 5th congressional district,cd-1305,
ocd-division/country:us/state:ga/cd:6,Georgia's 6th congressional district,cd-1306,
ocd-division/country:us/state:ga/cd:7,Georgia's 7th congressional district,cd-1307,
ocd-division/country:us/state:ga/cd:8,Georgia's 8th congressional district,cd-1308,
ocd-division/country:us/state:ga/cd:9,Georgia's 9th congressional district,cd-1309,
ocd-division/country:us/state:hi/cd:1,Hawaii's 1st congressional district,cd-1501,
ocd-division/country:us/state:hi/cd:2,Hawaii's 2nd congressional district,cd-1502,
ocd-division/country:us/state:ia/cd:1,Iowa's 1st congressional district,cd-1901,
ocd-division/country:us/state:ia/cd:2,Iowa's 2nd congressional district,cd-1902,
ocd-division/country:us/state:ia/cd:3,Iowa's 3rd congressional district,cd-1903,
ocd-division/country:us/state:ia/cd:4,Iowa's 4th congressional district,cd-1904,
ocd-division/country:us/state:id/cd:1,Idaho's 1st congressional district,cd-1601,
ocd-division/country:us/state:id/cd:2,Idaho's 2nd congressional district,cd-1602,
ocd-division/country:us/state:il/cd:10,Illinois's 10th congressional district,cd-1710,
ocd-division/country:us/state:il/cd:11,Illinois's 11th congressional district,cd-1711,
ocd-division/country:us/state:il/cd:12,Illinois's 12th congressional district,cd-1712,
ocd-division/country:us/state:il/cd:13,Illinois's 13th congressional district,cd-1713,
ocd-division/country:us/state:il/cd:14,Illinois's 14th congressional district,cd-1714,
ocd-division/country:us/state:il/cd:15,Illinois's 15th congressional district,cd-1715,
ocd-division/country:us/state:il/cd:16,Illinois's 16th congressional district,cd-1716,
ocd-division/country:us/state:il/cd:17,Illinois's 17th congressional district,cd-1717,
ocd-division/country:us/state:il/cd:18,Illinois's 18th congressional district,cd-1718,
ocd-division/country:us/state:il/cd:1,Illinois's 1st congressional district,cd-1701,
ocd-division/country:us/state:il/cd:2,Illinois's 2nd congressional district,cd-1702,
ocd-division/country:us/state:il/cd:3,Illinois's 3rd congressional district,cd-1703,
ocd-division/country:us/state:il/cd:4,Illinois's 4th congressional district,cd-1704,
ocd-division/country:us/state:il/cd:5,Illinois's 5th congressional district,cd-1705,
ocd-division/country:us/state:il/cd:6,Illinois's 6th congressional district,cd-1706,
ocd-division/country:us/state:il/cd:7,Illinois's 7th congressional district,cd-1707,
ocd-division/country:us/state:il/cd:8,Illinois's 8th congressional district,cd-1708,
ocd-division/country:us/state:il/cd:9,Illinois's 9th congressional district,cd-1709,
ocd-division/country:us/state:in/cd:1,Indiana's 1st congressional district,cd-1801,
ocd-division/country:us/state:in/cd:2,Indiana's 2nd congressional district,cd-1802,
ocd-division/country:us/state:in/cd:3,Indiana's 3rd congressional district,cd-1803,
ocd-division/country:us/state:in/cd:4,Indiana's 4th congressional district,cd-1804,
ocd-division/country:us/state:in/cd:5,Indiana's 5th congressional district,cd-1805,
ocd-division/country:us/state:in/cd:6,Indiana's 6th congressional district,cd-1806,
ocd-division/country:us/state:in/cd:7,Indiana's 7th congressional district,cd-1807,
ocd-division/country:us/state:in/cd:8,Indiana's 8th congressional district,cd-1808,
ocd-division/country:us/state:in/cd:9,Indiana's 9th congressional district,cd-1809,
ocd-division/country:us/state:ks/cd:1,Kansas's 1st congressional district,cd-2001,
ocd-division/country:us/state:ks/cd:2,Kansas's 2nd congressional district,cd-2002,
ocd-division/country:us/state:ks/cd:3,Kansas's 3rd congressional district,cd-2003,
ocd-division/country:us/state:ks/cd:4,Kansas's 4th congressional district,cd-2004,
ocd-division/country:us/state:ky/cd:1,Kentucky's 1st congressional district,cd-2101,
ocd-division/country:us/state:ky/cd:2,Kentucky's 2nd congressional district,cd-2102,
ocd-division/country:us/state:ky/cd:3,Kentucky's 3rd congressional district,cd-2103,
ocd-division/country:us/state:ky/cd:4,Kentucky's 4th congressional district,cd-2104,
ocd-division/country:us/state:ky/cd:5,Kentucky's 5th congressional district,cd-2105,
ocd-division/country:us/state:ky/cd:6,Kentucky's 6th congressional district,cd-2106,
ocd-division/country:us/state:la/cd:1,Louisiana's 1st congressional district,cd-2201,
ocd-division/country:us/state:la/cd:2,Louisiana's 2nd congressional district,cd-2202,
ocd-division/country:us/state:la/cd:3,Louisiana's 3rd congressional district,cd-2203,
ocd-division/country:us/state:la/cd:4,Louisiana's 4th congressional district,cd-2204,
ocd-division/country:us/state:la/cd:5,Louisiana's 5th congressional district,cd-2205,
ocd-division/country:us/state:la/cd:6,Louisiana's 6th congressional district,cd-2206,
ocd-division/country:us/state:ma/cd:1,Massachusetts's 1st congressional district,cd-2501,
ocd-division/country:us/state:ma/cd:2,Massachusetts's 2nd congressional district,cd-2502,
ocd-division/country:us/state:ma/cd:3,Massachusetts's 3rd congressional district,cd-2503,
ocd-division/country:us/state:ma/cd:4,Massachusetts's 4th congressional district,cd-2504,
ocd-division/country:us/state:ma/cd:5,Massachusetts's 5th congressional district,cd-2505,
ocd-division/country:us/state:ma/cd:6,Massachusetts's 6th congressional district,cd-2506,
ocd-division/country:us/state:ma/cd:7,Massachusetts's 7th congressional district,cd-2507,
ocd-division/country:us/state:ma/cd:8,Massachusetts's 8th congressional district,cd-2508,
ocd-division/country:us/state:ma/cd:9,Massachusetts's 9th congressional district,cd-2509,
ocd-division/country:us/state:md/cd:1,Maryland's 1st congressional district,cd-2401,
ocd-division/country:us/state:md/cd:2,Maryland's 2nd congressional district,cd-2402,
ocd-division/country:us/state:md/cd:3,Maryland's 3rd congressional district,cd-2403,
ocd-division/country:us/state:md/cd:4,Maryland's 4th congressional district,cd-2404,
ocd-division/country:us/state:md/cd:5,Maryland's 5th congressional district,cd-2405,
ocd-division/country:us/state:md/cd:6,Maryland's 6th congressional district,cd-2406,
ocd-division/country:us/state:md/cd:7,Maryland's 7th congressional district,cd-2407,
ocd-division/country:us/state:md/cd:8,Maryland's 8th congressional district,cd-2408,
ocd-division/country:us/state:me/cd:1,Maine's 1st congressional district,cd-2301,
ocd-division/country:us/state:me/cd:2,Maine's 2nd congressional district,cd-2302,
ocd-division/country:us/state:mi/cd:10,Michigan's 10th congressional district,cd-2610,
ocd-division/country:us/state:mi/cd:11,Michigan's 11th congressional district,cd-2611,
ocd-division/country:us/state:mi/cd:12,Michigan's 12th congressional district,cd-2612,
ocd-division/country:us/state:mi/cd:13,Michigan's 13th congressional district,cd-2613,
ocd-division/country:us/state:mi/cd:14,Michigan's 14th congressional district,cd-2614,
ocd-division/country:us/state:mi/cd:1,Michigan's 1st congressional district,cd-2601,
ocd-division/country:us/state:mi/cd:2,Michigan's 2nd congressional district,cd-2602,
ocd-division/country:us/state:mi/cd:3,Michigan's 3rd congressional district,cd-2603,
ocd-division/country:us/state:mi/cd:4,Michigan's 4th congressional district,cd-2604,
ocd-division/country:us/state:mi/cd:5,Michigan's 5th congressional district,cd-2605,
ocd-division/country:us/state:mi/cd:6,Michigan's 6th congressional district,cd-2606,
ocd-division/country:us/state:mi/cd:7,Michigan's 7th congressional district,cd-2607,
ocd-division/country:us/state:mi/cd:8,Michigan's 8th congressional district,cd-2608,
ocd-division/country:us/state:mi/cd:9,Michigan's 9th congressional district,cd-2609,
ocd-division/country:us/state:mn/cd:1,Minnesota's 1st congressional district,cd-2701,
ocd-division/country:us/state:mn/cd:2,Minnesota's 2nd congressional district,cd-2702,
ocd-division/country:us/state:mn/cd:3,Minnesota's 3rd congressional district,cd-2703,
ocd-division/country:us/state:mn/cd:4,Minnesota's 4th congressional district,cd-2704,
ocd-division/country:us/state:mn/cd:5,Minnesota's 5th congressional district,cd-2705,
ocd-division/country:us/state:mn/cd:6,Minnesota's 6th congressional district,cd-2706,
ocd-division/country:us/state:mn/cd:7,Minnesota's 7th congressional district,cd-2707,
ocd-division/country:us/state:mn/cd:8,Minnesota's 8th congressional district,cd-2708,
ocd-division/country:us/state:mo/cd:1,Missouri's 1st congressional district,cd-2901,
ocd-division/country:us/state:mo/cd:2,Missouri's 2nd congressional district,cd-2902,
ocd-division/country:us/state:mo/cd:3,Missouri's 3rd congressional district,cd-2903,
ocd-division/country:us/state:mo/cd:4,Missouri's 4th congressional district,cd-2904,
ocd-division/country:us/state:mo/cd:5,Missouri's 5th congressional district,cd-2905,
ocd-division/country:us/state:mo/cd:6,Missouri's 6th congressional district,cd-2906,
ocd-division/country:us/state:mo/cd:7,Missouri's 7th congressional district,cd-2907,
ocd-division/country:us/state:mo/cd:8,Missouri's 8th congressional district,cd-2908,
ocd-division/country:us/state:ms/cd:1,Mississippi's 1st congressional district,cd-2801,
ocd-division/country:us/state:ms/cd:2,Mississippi's 2nd congressional district,cd-2802,
ocd-division/country:us/state:ms/cd:3,Mississippi's 3rd congressional district,cd-2803,
ocd-division/country:us/state:ms/cd:4,Mississippi's 4th congressional district,cd-2804,
ocd-division/country:us/state:mt/cd:at-large,Montana's at-large congressional district,,
ocd-division/country:us/state:nc/cd:10,North Carolina's 10th congressional district,cd-3710,
ocd-division/country:us/state:nc/cd:11,North Carolina's 11th congressional district,cd-3711,
ocd-division/country:us/state:nc/cd:12,North Carolina's 12th congressional district,cd-3712,
ocd-division/country:us/state:nc/cd:13,North Carolina's 13th congressional district,cd-3713,
ocd-division/country:us/state:nc/cd:1,North Carolina's 1st congressional district,cd-3701,
ocd-division/country:us/state:nc/cd:2,North Carolina's 2nd congressional district,cd-3702,
ocd-division/country:us/state:nc/cd:3,North Carolina's 3rd congressional district,cd-3703,
ocd-division/country:us/state:nc/cd:4,North Carolina's 4th congressional district,cd-3704,
ocd-division/country:us/state:nc/cd:5,North Carolina's 5th congressional district,cd-3705,
ocd-division/country:us/state:nc/cd:6,North Carolina's 6th congressional district,cd-3706,
ocd-division/country:us/state:nc/cd:7,North Carolina's 7th congressional district,cd-3707,
ocd-division/country:us/state:nc/cd:8,North Carolina's 8th congressional district,cd-3708,
ocd-division/country:us/state:nc/cd:9,North Carolina's 9th congressional district,cd-3709,
ocd-division/country:us/state:nd/cd:at-large,North Dakota's at-large congressional district,,
ocd-division/country:us/state:ne/cd:1,Nebraska's 1st congressional district,cd-3101,
ocd-division/country:us/state:ne/cd:2,Nebraska's 2nd congressional district,cd-3102,
ocd-division/country:us/state:ne/cd:3,Nebraska's 3rd congressional district,cd-3103,
ocd-division/country:us/state:nh/cd:1,New Hampshire's 1st congressional district,cd-3301,
ocd-division/country:us/state:nh/cd:2,New Hampshire's 2nd congressional district,cd-3302,
ocd-division/country:us/state:nj/cd:10,New Jersey's 10th congressional district,cd-3410,
ocd-division/country:us/state:nj/cd:11,New Jersey's 11th congressional district,cd-3411,
ocd-division/country:us/state:nj/cd:12,New Jersey's 12th congressional district,cd-3412,
ocd-division/country:us/state:nj/cd:1,New Jersey's 1st congressional district,cd-3401,
ocd-division/country:us/state:nj/cd:2,New Jersey's 2nd congressional district,cd-3402,
ocd-division/country:us/state:nj/cd:3,New Jersey's 3rd congressional district,cd-3403,
ocd-division/country:us/state:nj/cd:4,New Jersey's 4th congressional district,cd-3404,
ocd-division/country:us/state:nj/cd:5,New Jersey's 5th congressional district,cd-3405,
ocd-division/country:us/state:nj/cd:6,New Jersey's 6th congressional district,cd-3406,
ocd-division/country:us/state:nj/cd:7,New Jersey's 7th congressional district,cd-3407,
ocd-division/country:us/state:nj/cd:8,New Jersey's 8th congressional district,cd-3408,
ocd-division/country:us/state:nj/cd:9,New Jersey's 9th congressional district,cd-3409,
ocd-division/country:us/state:nm/cd:1,New Mexico's 1st congressional district,cd-3501,
ocd-division/country:us/state:nm/cd:2,New Mexico's 2nd congressional district,cd-3502,
ocd-division/country:us/state:nm/cd:3,New Mexico's 3rd congressional district,cd-3503,
ocd-division/country:us/state:nv/cd:1,Nevada's 1st congressional district,cd-3201,
