id,name,census_geoid,validThrough
ocd-division/country:us/state:sc/cd:7,South Carolina's 7th congressional district,cd-4507,
ocd-division/country:us/state:sd/cd:at-large,South Dakota's at-large congressional district,,
ocd-division/country:us/state:tn/cd:1,Tennessee's 1st congressional district,cd-4701,
ocd-division/country:us/state:tn/cd:2,Tennessee's 2nd congressional district,cd-4702,
ocd-division/country:us/state:tn/cd:3,Tennessee's 3rd congressional district,cd-4703,
ocd-division/country:us/state:tn/cd:4,Tennessee's 4th congressional district,cd-4704,
ocd-division/country:us/state:tn/cd:5,Tennessee's 5th congressional district,cd-4705,
ocd-division/country:us/state:tn/cd:6,Tennessee's 6th congressional district,cd-4706,
ocd-division/country:us/state:tn/cd:7,Tennessee's 7th congressional district,cd-4707,
ocd-division/country:us/state:tn/cd:8,Tennessee's 8th congressional district,cd-4708,
ocd-division/country:us/state:tn/cd:9,Tennessee's 9th congressional district,cd-4709,
ocd-division/country:us/state:tx/cd:10,Texas's 10th congressional district,cd-4810,
ocd-division/country:us/state:tx/cd:11,Texas's 11th congressional district,cd-4811,
ocd-division/country:us/state:tx/cd:12,Texas's 12th congressional district,cd-4812,
ocd-division/country:us/state:tx/cd:13,Texas's 13th congressional district,cd-4813,
ocd-division/country:us/state:tx/cd:14,Texas's 14th congressional district,cd-4814,
ocd-division/country:us/state:tx/cd:15,Texas's 15th congressional district,cd-4815,
ocd-division/country:us/state:tx/cd:16,Texas's 16th congressional district,cd-4816,
ocd-division/country:us/state:tx/cd:17,Texas's 17th congressional district,cd-4817,
ocd-division/country:us/state:tx/cd:18,Texas's 18th congressional district,cd-4818,
ocd-division/country:us/state:tx/cd:19,Texas's 19th congressional district,cd-4819,
ocd-division/country:us/state:tx/cd:1,Texas's 1st congressional district,cd-4801,
ocd-division/country:us/state:tx/cd:20,Texas's 20th congressional district,cd-4820,
ocd-division/country:us/state:tx/cd:21,Texas's 21st congressional district,cd-4821,
ocd-division/country:us/state:tx/cd:22,Texas's 22nd congressional district,cd-4822,
ocd-division/country:us/state:tx/cd:23,Texas's 23rd congressional district,cd-4823,
ocd-division/country:us/state:tx/cd:24,Texas's 24th congressional district,cd-4824,
ocd-division/country:us/state:tx/cd:25,Texas's 25th congressional district,cd-4825,
ocd-division/country:us/state:tx/cd:26,Texas's 26th congressional district,cd-4826,
ocd-division/country:us/state:tx/cd:27,Texas's 27th congressional district,cd-4827,
ocd-division/country:us/state:tx/cd:28,Texas's 28th congressional district,cd-4828,
ocd-division/country:us/state:tx/cd:29,Texas's 29th congressional district,cd-4829,
ocd-division/country:us/state:tx/cd:2,Texas's 2nd congressional district,cd-4802,
ocd-division/country:us/state:tx/cd:30,Texas's 30th congressional district,cd-4830,
ocd-division/country:us/state:tx/cd:31,Texas's 31st congressional district,cd-4831,
ocd-division/country:us/state:tx/cd:32,Texas's 32nd congressional district,cd-4832,
ocd-division/country:us/state:tx/cd:33,Texas's 33rd congressional district,cd-4833,
ocd-division/country:us/state:tx/cd:34,Texas's 34th congressional district,cd-4834,
ocd-division/country:us/state:tx/cd:35,Texas's 35th congressional district,cd-4835,
ocd-division/country:us/state:tx/cd:36,Texas's 36th congressional district,cd-4836,
ocd-division/country:us/state:tx/cd:3,Texas's 3rd congressional district,cd-4803,
ocd-division/country:us/state:tx/cd:4,Texas's 4th congressional district,cd-4804,
ocd-division/country:us/state:tx/cd:5,Texas's 5th congressional district,cd-4805,
ocd-division/country:us/state:tx/cd:6,Texas's 6th congressional district,cd-4806,
ocd-division/country:us/state:tx/cd:7,Texas's 7th congressional district,cd-4807,
ocd-division/country:us/state:tx/cd:8,Texas's 8th congressional district,cd-4808,
ocd-division/country:us/state:tx/cd:9,Texas's 9th congressional district,cd-4809,
ocd-division/country:us/state:ut/cd:1,Utah's 1st congressional district,cd-4901,
ocd-division/country:us/state:ut/cd:2,Utah's 2nd congressional district,cd-4902,
ocd-division/country:us/state:ut/cd:3,Utah's 3rd congressional district,cd-4903,
ocd-division/country:us/state:ut/cd:4,Utah's 4th congressional district,cd-4904,
ocd-division/country:us/state:va/cd:10,Virginia's 10th congressional district,cd-5110,
ocd-division/country:us/state:va/cd:11,Virginia's 11th congressional district,cd-5111,
ocd-division/country:us/state:va/cd:1,Virginia's 1st congressional district,cd-5101,
ocd-division/country:us/state:va/cd:2,Virginia's 2nd congressional district,cd-5102,
ocd-division/country:us/state:va/cd:3,Virginia's 3rd congressional district,cd-5103,
ocd-division/country:us/state:va/cd:4,Virginia's 4th congressional district,cd-5104,
ocd-division/country:us/state:va/cd:5,Virginia's 5th congressional district,cd-5105,
ocd-division/country:us/state:va/cd:6,Virginia's 6th congressional district,cd-5106,
ocd-division/country:us/state:va/cd:7,Virginia's 7th congressional district,cd-5107,
ocd-division/country:us/state:va/cd:8,Virginia's 8th congressional district,cd-5108,
ocd-division/country:us/state:va/cd:9,Virginia's 9th congressional district,cd-5109,
ocd-division/country:us/state:vt/cd:at-large,Vermont's at-large congressional district,,
ocd-division/country:us/state:wa/cd:10,Washington's 10th congressional district,cd-5310,
ocd-division/country:us/state:wa/cd:1,Washington's 1st congressional district,cd-5301,
ocd-division/country:us/state:wa/cd:2,Washington's 2nd congressional district,cd-5302,
ocd-division/country:us/state:wa/cd:3,Washington's 3rd congressional district,cd-5303,
ocd-division/country:us/state:wa/cd:4,Washington's 4th congressional district,cd-5304,
ocd-division/country:us/state:wa/cd:5,Washington's 5th congressional district,cd-5305,
ocd-division/country:us/state:wa/cd:6,Washington's 6th congressional district,cd-5306,
ocd-division/country:us/state:wa/cd:7,Washington's 7th congressional district,cd-5307,
ocd-division/country:us/state:wa/cd:8,Washington's 8th congressional district,cd-5308,
ocd-division/country:us/state:wa/cd:9,Washington's 9th congressional district,cd-5309,
ocd-division/country:us/state:wi/cd:1,Wisconsin's 1st congressional district,cd-5501,
ocd-division/country:us/state:wi/cd:2,Wisconsin's 2nd congressional district,cd-5502,
ocd-division/country:us/state:wi/cd:3,Wisconsin's 3rd congressional district,cd-5503,
ocd-division/country:us/state:wi/cd:4,Wisconsin's 4th congressional district,cd-5504,
ocd-division/country:us/state:wi/cd:5,Wisconsin's 5th congressional district,cd-5505,
ocd-division/country:us/state:wi/cd:6,Wisconsin's 6th congressional district,cd-5506,
ocd-division/country:us/state:wi/cd:7,Wisconsin's 7th congressional district,cd-5507,
ocd-division/country:us/state:wi/cd:8,Wisconsin's 8th congressional district,cd-5508,
ocd-division/country:us/state:wv/cd:1,West Virginia's 1st congressional district,cd-5401,
ocd-division/country:us/state:wv/cd:2,West Virginia's 2nd congressional district,cd-5402,
ocd-division/country:us/state:wv/cd:3,West Virginia's 3rd congressional district,cd-5403,
ocd-division/country:us/state:wy/cd:at-large,Wyoming's at-large congressional district,,
ocd-division/country:us/state:il/cd:19,Illinois's 19th congressional district (obsolete as of 2012),cd-1719,2013-01-03
ocd-division/country:us/state:ia/cd:5,Iowa's 5th congressional district (obsolete as of 2012),cd-1905,2013-01-03
ocd-division/country:us/state:la/cd:7,Louisiana's 7th congressional district (obsolete as of 2012),cd-2207,2013-01-03
ocd-division/country:us/state:ma/cd:10,Massachusetts's 10th congressional district (obsolete as of 2012),cd-2510,2013-01-03
ocd-division/country:us/state:mi/cd:15,Michigan's 15th congressional district (obsolete as of 2012),cd-2615,2013-01-03
ocd-division/country:us/state:mo/cd:9,Missouri's 9th congressional district (obsolete as of 2012),cd-2909,2013-01-03
ocd-division/country:us/state:nj/cd:13,New Jersey's 13th congressional district (obsolete as of 2012),cd-3413,2013-01-03
ocd-division/country:us/state:ny/cd:28,New York's 28th congressional district (obsolete as of 2012),cd-3628,2013-01-03
ocd-division/country:us/state:ny/cd:29,New York's 29th congressional district (obsolete as of 2012),cd-3629,2013-01-03
ocd-division/country:us/state:oh/cd:17,Ohio's 17th congressional district (obsolete as of 2012),cd-3917,2013-01-03
ocd-division/country:us/state:oh/cd:18,Ohio's 18th congressional district (obsolete as of 2012),cd-3918,2013-01-03
ocd-division/country:us/state:pa/cd:19,Pennsylvania's 19th congressional district (obsolete as of 2012),cd-4219,2013-01-03
