id,name,sameAs,sameAsNote,validFrom,validThrough
ocd-division/country:my/state:02/ed:jerai,Jerai,,,,
ocd-division/country:my/state:02/ed:jerlun,Jerlun,,,,
ocd-division/country:my/state:02/ed:kuala_kedah,Kuala Kedah,,,,
ocd-division/country:my/state:02/ed:kubang_pasu,Kubang Pasu,,,,
ocd-division/country:my/state:02/ed:kulim-bandar_baharu,Kulim-Bandar Baharu,,,,
ocd-division/country:my/state:02/ed:langkawi,Langkawi,,,,
ocd-division/country:my/state:02/ed:merbok,Merbok,,,,
ocd-division/country:my/state:02/ed:p004,Langkawi,ocd-division/country:my/state:02/ed:langkawi,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p005,Jerlun,ocd-division/country:my/state:02/ed:jerlun,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p006,Kubang Pasu,ocd-division/country:my/state:02/ed:kubang_pasu,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p007,Padang Terap,ocd-division/country:my/state:02/ed:padang_terap,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p008,Pokok Sena,ocd-division/country:my/state:02/ed:pokok_sena,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p009,Alor Setar,ocd-division/country:my/state:02/ed:alor_setar,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p010,Kuala Kedah,ocd-division/country:my/state:02/ed:kuala_kedah,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p011,Pendang,ocd-division/country:my/state:02/ed:pendang,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p012,Jerai,ocd-division/country:my/state:02/ed:jerai,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p013,Sik,ocd-division/country:my/state:02/ed:sik,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p014,Merbok,ocd-division/country:my/state:02/ed:merbok,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p015,Sungai Petani,ocd-division/country:my/state:02/ed:sungai_petani,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p016,Baling,ocd-division/country:my/state:02/ed:baling,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p017,Padang Serai,ocd-division/country:my/state:02/ed:padang_serai,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:p018,Kulim-Bandar Baharu,ocd-division/country:my/state:02/ed:kulim-bandar_baharu,Added for backwards compatability,,
ocd-division/country:my/state:02/ed:padang_serai,Padang Serai,,,,
ocd-division/country:my/state:02/ed:padang_terap,Padang Terap,,,,
ocd-division/country:my/state:02/ed:pendang,Pendang,,,,
ocd-division/country:my/state:02/ed:pokok_sena,Pokok Sena,,,,
ocd-division/country:my/state:02/ed:sik,Sik,,,,
ocd-division/country:my/state:02/ed:sungai_petani,Sungai Petani,,,,
ocd-division/country:my/state:03,Kelantan,,,,
ocd-division/country:my/state:03/ed:bachok,Bachok,,,,
ocd-division/country:my/state:03/ed:gua_musang,Gua Musang,,,,
ocd-division/country:my/state:03/ed:jeli,Jeli,,,,
ocd-division/country:my/state:03/ed:ketereh,Ketereh,,,,
ocd-division/country:my/state:03/ed:kota_bharu,Kota Bharu,,,,
ocd-division/country:my/state:03/ed:kuala_krai,Kuala Krai,,,,
ocd-division/country:my/state:03/ed:kubang_kerian,Kubang Kerian,,,,
ocd-division/country:my/state:03/ed:machang,Machang,,,,
ocd-division/country:my/state:03/ed:p019,Tumpat,ocd-division/country:my/state:03/ed:tumpat,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p020,Pengkalan Chepa,ocd-division/country:my/state:03/ed:pengkalan_chepa,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p021,Kota Bharu,ocd-division/country:my/state:03/ed:kota_bharu,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p022,Pasir Mas,ocd-division/country:my/state:03/ed:pasir_mas,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p023,Rantau Panjang,ocd-division/country:my/state:03/ed:rantau_panjang,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p024,Kubang Kerian,ocd-division/country:my/state:03/ed:kubang_kerian,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p025,Bachok,ocd-division/country:my/state:03/ed:bachok,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p026,Ketereh,ocd-division/country:my/state:03/ed:ketereh,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p027,Tanah Merah,ocd-division/country:my/state:03/ed:tanah_merah,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p028,Pasir Puteh,ocd-division/country:my/state:03/ed:pasir_puteh,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p029,Machang,ocd-division/country:my/state:03/ed:machang,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p030,Jeli,ocd-division/country:my/state:03/ed:jeli,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p031,Kuala Krai,ocd-division/country:my/state:03/ed:kuala_krai,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:p032,Gua Musang,ocd-division/country:my/state:03/ed:gua_musang,Added for backwards compatability,,
ocd-division/country:my/state:03/ed:pasir_mas,Pasir Mas,,,,
ocd-division/country:my/state:03/ed:pasir_puteh,Pasir Puteh,,,,
ocd-division/country:my/state:03/ed:pengkalan_chepa,Pengkalan Chepa,,,,
ocd-division/country:my/state:03/ed:rantau_panjang,Rantau Panjang,,,,
ocd-division/country:my/state:03/ed:tanah_merah,Tanah Merah,,,,
ocd-division/country:my/state:03/ed:tumpat,Tumpat,,,,
ocd-division/country:my/state:04,Melaka,,,,
ocd-division/country:my/state:04/ed:alor_gajah,Alor Gajah,,,,
ocd-division/country:my/state:04/ed:bukit_katil,Bukit Katil,,,,2018
ocd-division/country:my/state:04/ed:hang_tuah_jaya,Hang Tuah Jaya,,,,
ocd-division/country:my/state:04/ed:jasin,Jasin,,,,
ocd-division/country:my/state:04/ed:kota_melaka,Kota Melaka,,,,
ocd-division/country:my/state:04/ed:masjid_tanah,Masjid Tanah,,,,
ocd-division/country:my/state:04/ed:p134,Masjid Tanah,ocd-division/country:my/state:04/ed:masjid_tanah,Added for backwards compatability,,
ocd-division/country:my/state:04/ed:p135,Alor Gajah,ocd-division/country:my/state:04/ed:alor_gajah,Added for backwards compatability,,
ocd-division/country:my/state:04/ed:p136,Tangga Batu,ocd-division/country:my/state:04/ed:tangga_batu,Added for backwards compatability,,
ocd-division/country:my/state:04/ed:p137,Bukit Katil,ocd-division/country:my/state:04/ed:bukit_katil,Added for backwards compatability,,
ocd-division/country:my/state:04/ed:p138,Kota Melaka,ocd-division/country:my/state:04/ed:kota_melaka,Added for backwards compatability,,
ocd-division/country:my/state:04/ed:p139,Jasin,ocd-division/country:my/state:04/ed:jasin,Added for backwards compatability,,
ocd-division/country:my/state:04/ed:tangga_batu,Tangga Batu,,,,
ocd-division/country:my/state:05,Negeri Sembilan,,,,
ocd-division/country:my/state:05/ed:jelebu,Jelebu,,,,
ocd-division/country:my/state:05/ed:jempol,Jempol,,,,
ocd-division/country:my/state:05/ed:kuala_pilah,Kuala Pilah,,,,
ocd-division/country:my/state:05/ed:p126,Jelebu,ocd-division/country:my/state:05/ed:jelebu,Added for backwards compatability,,
ocd-division/country:my/state:05/ed:p127,Jempol,ocd-division/country:my/state:05/ed:jempol,Added for backwards compatability,,
ocd-division/country:my/state:05/ed:p128,Seremban,ocd-division/country:my/state:05/ed:seremban,Added for backwards compatability,,
ocd-division/country:my/state:05/ed:p129,Kuala Pilah,ocd-division/country:my/state:05/ed:kuala_pilah,Added for backwards compatability,,
