id,name,sameAs,sameAsNote,validThrough,validFrom
ocd-division/country:pl,Polska,,,,
ocd-division/country:pl/province:ds,Dolnośląskie,ocd-division/country:pl/state:ds,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:ds/cd:legnica,Legnica,ocd-division/country:pl/state:ds/cd:legnica,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:ds/cd:wałbrzych,Wałbrzych,ocd-division/country:pl/state:ds/cd:wałbrzych,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:ds/cd:wrocław,Wrocław,ocd-division/country:pl/state:ds/cd:wrocław,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:kp,Kujawsko-pomorskie,ocd-division/country:pl/state:kp,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:kp/cd:bydgoszcz,Bydgoszcz,ocd-division/country:pl/state:kp/cd:bydgoszcz,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:kp/cd:toruń,Toruń,ocd-division/country:pl/state:kp/cd:toruń,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:lb,Lubuskie,ocd-division/country:pl/state:lb,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:lb/cd:zielona_góra,Zielona Góra,ocd-division/country:pl/state:lb/cd:zielona_góra,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:ld,Łódzkie,ocd-division/country:pl/state:ld,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:ld/cd:piotrków_trybunalski,Piotrków Trybunalski,ocd-division/country:pl/state:ld/cd:piotrków_trybunalski,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:ld/cd:sieradz,Sieradz,ocd-division/country:pl/state:ld/cd:sieradz,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:ld/cd:łódź,Łódź,ocd-division/country:pl/state:ld/cd:łódź,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:lu,Lubelskie,ocd-division/country:pl/state:lu,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:lu/cd:chełm,Chełm,ocd-division/country:pl/state:lu/cd:chełm,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:lu/cd:lublin,Lublin,ocd-division/country:pl/state:lu/cd:lublin,The territory of Poland is divided into voivodeships (provinces),,
ocd-division/country:pl/province:ma,Małopolskie,ocd-division/country:pl/state:ma,The territory of Poland is divided into voivodeships (provinces),,
