id,name,validThrough,validFrom
ocd-division/country:kr/ed:eunpyeong_2,Eunpyeong Second,,
ocd-division/country:kr/ed:gangbuk_1,Gangbuk First,,
ocd-division/country:kr/ed:gangbuk_2,Gangbuk Second,,
ocd-division/country:kr/ed:gangdong_1,Gangdong First,,
ocd-division/country:kr/ed:gangdong_2,Gangdong Second,,
ocd-division/country:kr/ed:gangnam_1,Gangnam First,,
ocd-division/country:kr/ed:gangnam_2,Gangnam Second,,
ocd-division/country:kr/ed:gangnam_3,Gangnam Third,,
ocd-division/country:kr/ed:gangneung_city,Gangneung City,,
ocd-division/country:kr/ed:gangseo_1,Gangseo First,,
ocd-division/country:kr/ed:gangseo_2,Gangseo Second,,
ocd-division/country:kr/ed:gangseo_3,Gangseo Third,,
ocd-division/country:kr/ed:gangseo_district,Gangseo District,,2024-05-30
ocd-division/country:kr/ed:geoje_city,Geoje City,,
ocd-division/country:kr/ed:geumcheon,Geumcheon,,
ocd-division/country:kr/ed:geumjeong_district,Geumjeong District,,
ocd-division/country:kr/ed:gijang_county,Gijang County,,
ocd-division/country:kr/ed:gimcheon_city,Gimcheon City,,
ocd-division/country:kr/ed:gimhae_city_1,Gimhae City First,,
ocd-division/country:kr/ed:gimhae_city_2,Gimhae City Second,,
ocd-division/country:kr/ed:gimje_city_and_buan_county,Gimje City and Buan County,2024-05-29,
ocd-division/country:kr/ed:gimpo_city_1,Gimpo City First,,
ocd-division/country:kr/ed:gimpo_city_2,Gimpo City Second,,
ocd-division/country:kr/ed:goheung_county-boseong_county-jangheung_county_and_gangjin_county,"Goheung County, Boseong County, Jangheung County and Gangjin County",,
ocd-division/country:kr/ed:gongju_city-buyeo_county_and_cheongyang_county,"Gongju City, Buyeo County and Cheongyang County",,
ocd-division/country:kr/ed:goryeong_county-seongju_county_and_chilgok_county,"Goryeong County, Seongju County and Chilgok County",,
ocd-division/country:kr/ed:goyang_city_1,Goyang City First,,
ocd-division/country:kr/ed:goyang_city_2,Goyang City Second,,
ocd-division/country:kr/ed:goyang_city_3,Goyang City Third,,
ocd-division/country:kr/ed:goyang_city_fourth,Goyang City Fourth,,
ocd-division/country:kr/ed:gumi_city_1,Gumi City First,,
ocd-division/country:kr/ed:gumi_city_2,Gumi City Second,,
ocd-division/country:kr/ed:gunpo_city,Gunpo City,,
ocd-division/country:kr/ed:gunsan_city,Gunsan City,2024-05-29,
ocd-division/country:kr/ed:gunsan_city-gimje_city-buan_county_1,"Gunsan City, Gimje City and Buan County First",,2024-05-30
ocd-division/country:kr/ed:gunsan_city-gimje_city-buan_county_2,"Gunsan City, Gimje City and Buan County Second",,2024-05-30
ocd-division/country:kr/ed:gunwi_county-uiseong_county-cheongsong_county_and_yeongdeok_county,"Gunwi County, Uiseong County, Cheongsong County and Yeongdeok County",,
ocd-division/country:kr/ed:guri_city,Guri City,,
ocd-division/country:kr/ed:guro_1,Guro First,,
ocd-division/country:kr/ed:guro_2,Guro Second,,
ocd-division/country:kr/ed:gwanak_1,Gwanak First,,
ocd-division/country:kr/ed:gwanak_2,Gwanak Second,,
ocd-division/country:kr/ed:gwangjin_1,Gwangjin First,,
ocd-division/country:kr/ed:gwangjin_2,Gwangjin Second,,
