id,name,sameAs,sameAsNote,validThrough,validFrom
ocd-division/country:in,India,,,,
ocd-division/country:in/cd:anglo-indian_reserved_seats_1,Nominated Lok Sabha constituency Anglo-Indian reserved seat 1,,,,
ocd-division/country:in/cd:anglo-indian_reserved_seats_2,Nominated Lok Sabha constituency Anglo-Indian reserved seat 2,,,,
ocd-division/country:in/high_court:bombay,Bombay High Court,,,,
ocd-division/country:in/high_court:calcutta,Calcutta High Court,,,,
ocd-division/country:in/high_court:gauhati,Gauhati High Court,,,,
ocd-division/country:in/high_court:jammu_kashmir_ladakh,High Court of Jammu and Kashmir and Ladakh,,,,
ocd-division/country:in/high_court:kerala,Kerala High Court,,,,
ocd-division/country:in/high_court:madras,Madras High Court,,,,
ocd-division/country:in/high_court:punjab_haryana,Punjab and Haryana High Court,,,,
ocd-division/country:in/lok_sabha:anglo-indian_reserved_seats_1,Nominated Lok Sabha constituency Anglo-Indian reserved seat 1,ocd-division/country:in/cd:anglo-indian_reserved_seats_1,Added for backwards compatibility with lok_sabha identifiers,,
ocd-division/country:in/lok_sabha:anglo-indian_reserved_seats_2,Nominated Lok Sabha constituency Anglo-Indian reserved seat 2,ocd-division/country:in/cd:anglo-indian_reserved_seats_2,Added for backwards compatibility with lok_sabha identifiers,,
ocd-division/country:in/state:ap,Andhra Pradesh,,,,
ocd-division/country:in/state:ap/cd:amalapuram,Andhra Pradesh Lok Sabha constituency Amalapuram (SC),,,,
ocd-division/country:in/state:ap/cd:anakapalli,Andhra Pradesh Lok Sabha constituency Anakapalli,,,,
ocd-division/country:in/state:ap/cd:anantapur,Andhra Pradesh Lok Sabha constituency Anantapur,,,,
ocd-division/country:in/state:ap/cd:araku,Andhra Pradesh Lok Sabha constituency Araku (ST),,,,
ocd-division/country:in/state:ap/cd:bapatla,Andhra Pradesh Lok Sabha constituency Bapatla (SC),,,,
ocd-division/country:in/state:ap/cd:chittoor,Andhra Pradesh Lok Sabha constituency Chittoor (SC),,,,
ocd-division/country:in/state:ap/cd:eluru,Andhra Pradesh Lok Sabha constituency Eluru,,,,
ocd-division/country:in/state:ap/cd:guntur,Andhra Pradesh Lok Sabha constituency Guntur,,,,
ocd-division/country:in/state:ap/cd:hindupur,Andhra Pradesh Lok Sabha constituency Hindupur,,,,
ocd-division/country:in/state:ap/cd:kadapa,Andhra Pradesh Lok Sabha constituency Kadapa,,,,
ocd-division/country:in/state:ap/cd:kakinada,Andhra Pradesh Lok Sabha constituency Kakinada,,,,
ocd-division/country:in/state:ap/cd:kurnool,Andhra Pradesh Lok Sabha constituency Kurnool,,,,
ocd-division/country:in/state:ap/cd:machilipatnam,Andhra Pradesh Lok Sabha constituency Machilipatnam,,,,
ocd-division/country:in/state:ap/cd:nandyal,Andhra Pradesh Lok Sabha constituency Nandyal,,,,
ocd-division/country:in/state:ap/cd:narasapuram,Andhra Pradesh Lok Sabha constituency Narasapuram,,,,
ocd-division/country:in/state:ap/cd:narasaraopet,Andhra Pradesh Lok Sabha constituency Narasaraopet,,,,
ocd-division/country:in/state:ap/cd:nellore,Andhra Pradesh Lok Sabha constituency Nellore,,,,
ocd-division/country:in/state:ap/cd:ongole,Andhra Pradesh Lok Sabha constituency Ongole,,,,
ocd-division/country:in/state:ap/cd:rajahmundry,Andhra Pradesh Lok Sabha constituency Rajahmundry,,,,
ocd-division/country:in/state:ap/cd:rajampet,Andhra Pradesh Lok Sabha constituency Rajampet,,,,
ocd-division/country:in/state:ap/cd:srikakulam,Andhra Pradesh Lok Sabha constituency Srikakulam,,,,
ocd-division/country:in/state:ap/cd:tirupati,Andhra Pradesh Lok Sabha constituency Tirupati (SC),,,,
ocd-division/country:in/state:ap/cd:vijayawada,Andhra Pradesh Lok Sabha constituency Vijayawada,,,,
ocd-division/country:in/state:ap/cd:visakhapatnam,Andhra Pradesh Lok Sabha constituency Visakhapatnam,,,,
ocd-division/country:in/state:ap/cd:vizianagaram,Andhra Pradesh Lok Sabha constituency Vizianagaram,,,,
ocd-division/country:in/state:ap/district:an,Anantapur,,,,
ocd-division/country:in/state:ap/district:an/cd:anantapur_urban,Anantapur Urban,,,,
ocd-division/country:in/state:ap/district:an/cd:dharmavaram,Dharmavaram,,,,
ocd-division/country:in/state:ap/district:an/cd:guntakal,Guntakal,,,,
ocd-division/country:in/state:ap/district:an/cd:hindupur,Hindupur,,,,
ocd-division/country:in/state:ap/district:an/cd:kadiri,Kadiri,,,,
ocd-division/country:in/state:ap/district:an/cd:kalyandurg,Kalyandurg,,,,
ocd-division/country:in/state:ap/district:an/cd:madakasira,Madakasira (SC),,,,
ocd-division/country:in/state:ap/district:an/cd:penukonda,Penukonda,,,,
ocd-division/country:in/state:ap/district:an/cd:puttaparthi,Puttaparthi,,,,
ocd-division/country:in/state:ap/district:an/cd:raptadu,Raptadu,,,,
ocd-division/country:in/state:ap/district:an/cd:rayadurg,Rayadurg,,,,
ocd-division/country:in/state:ap/district:an/cd:singanamala,Singanamala (SC),,,,
ocd-division/country:in/state:ap/district:an/cd:tadpatri,Tadpatri,,,,
ocd-division/country:in/state:ap/district:an/cd:uravakonda,Uravakonda,,,,
ocd-division/country:in/state:ap/district:ch,Chittoor,,,,
ocd-division/country:in/state:ap/district:ch/cd:chandragiri,Chandragiri,,,,
ocd-division/country:in/state:ap/district:ch/cd:chittoor,Chittoor,,,,
ocd-division/country:in/state:ap/district:ch/cd:gdnellore,G.D.Nellore,,,,
ocd-division/country:in/state:ap/district:ch/cd:kuppam,Kuppam,,,,
ocd-division/country:in/state:ap/district:ch/cd:madanapalli,Madanapalli,,,,
ocd-division/country:in/state:ap/district:ch/cd:nagari,Nagari,,,,
ocd-division/country:in/state:ap/district:ch/cd:palamaneru,Palamaneru,,,,
ocd-division/country:in/state:ap/district:ch/cd:piler,Piler,,,,
ocd-division/country:in/state:ap/district:ch/cd:punganur,Punganur,,,,
ocd-division/country:in/state:ap/district:ch/cd:puthalapattu,Puthalapattu,,,,
ocd-division/country:in/state:ap/district:ch/cd:satyavedu,Satyavedu,,,,
ocd-division/country:in/state:ap/district:ch/cd:srikalahasti,Srikalahasti,,,,
ocd-division/country:in/state:ap/district:ch/cd:thambalapalle,Thambalapalle,,,,
ocd-division/country:in/state:ap/district:ch/cd:tirupathi,Tirupathi,,,,
ocd-division/country:in/state:ap/district:eg,East Godavari,,,,
ocd-division/country:in/state:ap/district:eg/cd:amalapuram,Amalapuram (SC),,,,
ocd-division/country:in/state:ap/district:eg/cd:anaparthy,Anaparthy,,,,
ocd-division/country:in/state:ap/district:eg/cd:gannavaram,Gannavaram (SC),,,,
ocd-division/country:in/state:ap/district:eg/cd:jaggampeta,Jaggampeta,,,,
ocd-division/country:in/state:ap/district:eg/cd:kakinada_city,Kakinada City,,,,
ocd-division/country:in/state:ap/district:eg/cd:kakinada_rural,Kakinada Rural,,,,
ocd-division/country:in/state:ap/district:eg/cd:kothapeta,Kothapeta,,,,
ocd-division/country:in/state:ap/district:eg/cd:mandapeta,Mandapeta,,,,
ocd-division/country:in/state:ap/district:eg/cd:mummidivaram,Mummidivaram,,,,
ocd-division/country:in/state:ap/district:eg/cd:peddapuram,Peddapuram,,,,
ocd-division/country:in/state:ap/district:eg/cd:pithapuram,Pithapuram,,,,
ocd-division/country:in/state:ap/district:eg/cd:prathipadu,Prathipadu,,,,
ocd-division/country:in/state:ap/district:eg/cd:rajahmundry_city,Rajahmundry City,,,,
ocd-division/country:in/state:ap/district:eg/cd:rajahmundry_rural,Rajahmundry Rural,,,,
ocd-division/country:in/state:ap/district:eg/cd:rajanagaram,Rajanagaram,,,,
ocd-division/country:in/state:ap/district:eg/cd:ramachandrapuram,Ramachandrapuram,,,,
ocd-division/country:in/state:ap/district:eg/cd:rampachodavaram,Rampachodavaram (ST),,,,
ocd-division/country:in/state:ap/district:eg/cd:razole,Razole (SC),,,,
ocd-division/country:in/state:ap/district:eg/cd:tuni,Tuni,,,,
ocd-division/country:in/state:ap/district:gu,Guntur,,,,
ocd-division/country:in/state:ap/district:gu/cd:bapatla,Bapatla,,,,
ocd-division/country:in/state:ap/district:gu/cd:chilakaluripet,Chilakaluripet,,,,
ocd-division/country:in/state:ap/district:gu/cd:guntur_east,Guntur East,,,,
ocd-division/country:in/state:ap/district:gu/cd:guntur_west,Guntur West,,,,
ocd-division/country:in/state:ap/district:gu/cd:gurajala,Gurajala,,,,
ocd-division/country:in/state:ap/district:gu/cd:macherla,Macherla,,,,
ocd-division/country:in/state:ap/district:gu/cd:mangalagiri,Mangalagiri,,,,
ocd-division/country:in/state:ap/district:gu/cd:narasaraopet,Narasaraopet,,,,
ocd-division/country:in/state:ap/district:gu/cd:pedakurapadu,Pedakurapadu,,,,
ocd-division/country:in/state:ap/district:gu/cd:ponnur,Ponnur,,,,
ocd-division/country:in/state:ap/district:gu/cd:prathipadu,Prathipadu (SC),,,,
ocd-division/country:in/state:ap/district:gu/cd:repalle,Repalle,,,,
ocd-division/country:in/state:ap/district:gu/cd:sattenapalle,Sattenapalle,,,,
ocd-division/country:in/state:ap/district:gu/cd:tadikonda,Tadikonda (SC),,,,
ocd-division/country:in/state:ap/district:gu/cd:tenali,Tenali,,,,
ocd-division/country:in/state:ap/district:gu/cd:vemuru,Vemuru (SC),,,,
ocd-division/country:in/state:ap/district:gu/cd:vinukonda,Vinukonda,,,,
ocd-division/country:in/state:ap/district:ka,Kadapa,,,,
ocd-division/country:in/state:ap/district:ka/cd:badvel,Badvel (SC),,,,
ocd-division/country:in/state:ap/district:ka/cd:jammalamadugu,Jammalamadugu,,,,
