id,sameAs,sameAsNote
ocd-division/country:sg/ed:marine_parade,ocd-division/country:sg/ed:marine_parade-braddell_heights,Marine Parade GRC renamed to Marine Parade-Braddell Heights 
ocd-division/country:sg/ed:west_coast,ocd-division/country:sg/ed:west_coast-jurong_west,West Coast GRC renamed to West Coast-Jurong West 
