id,state_id
ocd-division/country:us/state:hi/county:hawaii/precinct:1-1,01-01
ocd-division/country:us/state:hi/county:hawaii/precinct:1-2,01-02
ocd-division/country:us/state:hi/county:hawaii/precinct:1-3,01-03
ocd-division/country:us/state:hi/county:hawaii/precinct:1-4,01-04
ocd-division/country:us/state:hi/county:hawaii/precinct:1-5,01-05
ocd-division/country:us/state:hi/county:hawaii/precinct:1-6,01-06
ocd-division/country:us/state:hi/county:hawaii/precinct:1-7,01-07
ocd-division/country:us/state:hi/county:hawaii/precinct:1-8,01-08
ocd-division/country:us/state:hi/county:hawaii/precinct:1-9,01-09
ocd-division/country:us/state:hi/county:hawaii/precinct:1-10,01-10
ocd-division/country:us/state:hi/county:hawaii/precinct:2-1,02-01
ocd-division/country:us/state:hi/county:hawaii/precinct:2-2,02-02
ocd-division/country:us/state:hi/county:hawaii/precinct:2-3,02-03
ocd-division/country:us/state:hi/county:hawaii/precinct:2-4,02-04
ocd-division/country:us/state:hi/county:hawaii/precinct:2-5,02-05
ocd-division/country:us/state:hi/county:hawaii/precinct:3-1,03-01
ocd-division/country:us/state:hi/county:hawaii/precinct:3-2,03-02
ocd-division/country:us/state:hi/county:hawaii/precinct:3-3,03-03
ocd-division/country:us/state:hi/county:hawaii/precinct:3-4,03-04
ocd-division/country:us/state:hi/county:hawaii/precinct:3-5,03-05
ocd-division/country:us/state:hi/county:hawaii/precinct:3-6,03-06
ocd-division/country:us/state:hi/county:hawaii/precinct:3-7,03-07
ocd-division/country:us/state:hi/county:hawaii/precinct:4-1,04-01
ocd-division/country:us/state:hi/county:hawaii/precinct:4-2,04-02
ocd-division/country:us/state:hi/county:hawaii/precinct:4-3,04-03
ocd-division/country:us/state:hi/county:hawaii/precinct:5-1,05-01
ocd-division/country:us/state:hi/county:hawaii/precinct:5-2,05-02
ocd-division/country:us/state:hi/county:hawaii/precinct:5-3,05-03
ocd-division/country:us/state:hi/county:hawaii/precinct:5-4,05-04
ocd-division/country:us/state:hi/county:hawaii/precinct:5-5,05-05
ocd-division/country:us/state:hi/county:hawaii/precinct:5-6,05-06
ocd-division/country:us/state:hi/county:hawaii/precinct:5-7,05-07
ocd-division/country:us/state:hi/county:hawaii/precinct:5-8,05-08
ocd-division/country:us/state:hi/county:hawaii/precinct:6-1,06-01
ocd-division/country:us/state:hi/county:hawaii/precinct:6-2,06-02
ocd-division/country:us/state:hi/county:hawaii/precinct:6-3,06-03
ocd-division/country:us/state:hi/county:hawaii/precinct:6-4,06-04
ocd-division/country:us/state:hi/county:hawaii/precinct:6-5,06-05
ocd-division/country:us/state:hi/county:hawaii/precinct:7-1,07-01
ocd-division/country:us/state:hi/county:hawaii/precinct:7-2,07-02
ocd-division/country:us/state:hi/county:hawaii/precinct:7-3,07-03
ocd-division/country:us/state:hi/county:hawaii/precinct:7-4,07-04
ocd-division/country:us/state:hi/county:hawaii/precinct:7-5,07-05
ocd-division/country:us/state:hi/county:maui/precinct:8-1,08-01
ocd-division/country:us/state:hi/county:maui/precinct:8-2,08-02
ocd-division/country:us/state:hi/county:maui/precinct:8-3,08-03
ocd-division/country:us/state:hi/county:maui/precinct:8-4,08-04
ocd-division/country:us/state:hi/county:maui/precinct:8-5,08-05
ocd-division/country:us/state:hi/county:maui/precinct:8-6,08-06
ocd-division/country:us/state:hi/county:maui/precinct:8-7,08-07
ocd-division/country:us/state:hi/county:maui/precinct:9-1,09-01
ocd-division/country:us/state:hi/county:maui/precinct:9-2,09-02
ocd-division/country:us/state:hi/county:maui/precinct:9-3,09-03
ocd-division/country:us/state:hi/county:maui/precinct:9-4,09-04
ocd-division/country:us/state:hi/county:maui/precinct:10-1,10-01
ocd-division/country:us/state:hi/county:maui/precinct:10-2,10-02
ocd-division/country:us/state:hi/county:maui/precinct:10-3,10-03
ocd-division/country:us/state:hi/county:maui/precinct:10-4,10-04
ocd-division/country:us/state:hi/county:maui/precinct:10-5,10-05
ocd-division/country:us/state:hi/county:maui/precinct:11-1,11-01
ocd-division/country:us/state:hi/county:maui/precinct:11-2,11-02
ocd-division/country:us/state:hi/county:maui/precinct:11-3,11-03
ocd-division/country:us/state:hi/county:maui/precinct:11-4,11-04
ocd-division/country:us/state:hi/county:maui/precinct:12-1,12-01
ocd-division/country:us/state:hi/county:maui/precinct:12-2,12-02
ocd-division/country:us/state:hi/county:maui/precinct:12-3,12-03
ocd-division/country:us/state:hi/county:maui/precinct:12-4,12-04
ocd-division/country:us/state:hi/county:maui/precinct:12-5,12-05
ocd-division/country:us/state:hi/county:maui/precinct:12-6,12-06
ocd-division/country:us/state:hi/county:maui/precinct:13-1,13-01
ocd-division/country:us/state:hi/county:maui/precinct:13-2,13-02
ocd-division/country:us/state:hi/county:maui/precinct:13-3,13-03
ocd-division/country:us/state:hi/county:maui/precinct:13-4,13-04
ocd-division/country:us/state:hi/county:maui/precinct:13-5,13-05
ocd-division/country:us/state:hi/county:maui/precinct:13-6,13-06
ocd-division/country:us/state:hi/county:maui/precinct:13-7,13-07
