id,placeholder_id
ocd-division/country:us/state:ga/county:appling/precinct:1a,1
ocd-division/country:us/state:ga/county:appling/precinct:1a1,2
ocd-division/country:us/state:ga/county:appling/precinct:1b,3
ocd-division/country:us/state:ga/county:appling/precinct:1c,4
ocd-division/country:us/state:ga/county:appling/precinct:1d,5
ocd-division/country:us/state:ga/county:appling/precinct:2,6
ocd-division/country:us/state:ga/county:appling/precinct:3a,7
ocd-division/country:us/state:ga/county:appling/precinct:3b,8
ocd-division/country:us/state:ga/county:appling/precinct:3c,9
ocd-division/country:us/state:ga/county:appling/precinct:4a,10
ocd-division/country:us/state:ga/county:appling/precinct:4b,11
ocd-division/country:us/state:ga/county:appling/precinct:4c,12
ocd-division/country:us/state:ga/county:appling/precinct:4d,13
ocd-division/country:us/state:ga/county:appling/precinct:5a,14
ocd-division/country:us/state:ga/county:appling/precinct:5b,15
ocd-division/country:us/state:ga/county:appling/precinct:5c,16
ocd-division/country:us/state:ga/county:atkinson/precinct:axson,17
ocd-division/country:us/state:ga/county:atkinson/precinct:pearson_city,18
ocd-division/country:us/state:ga/county:atkinson/precinct:pearson_county,19
ocd-division/country:us/state:ga/county:atkinson/precinct:willacoochee,20
ocd-division/country:us/state:ga/county:bacon/precinct:douglas,21
ocd-division/country:us/state:ga/county:bacon/precinct:new_lacy,22
ocd-division/country:us/state:ga/county:bacon/precinct:taylor,23
ocd-division/country:us/state:ga/county:bacon/precinct:ware,24
ocd-division/country:us/state:ga/county:bacon/precinct:warnock,25
ocd-division/country:us/state:ga/county:baker/precinct:anna,26
ocd-division/country:us/state:ga/county:baker/precinct:elmodel,27
ocd-division/country:us/state:ga/county:baker/precinct:hoggard_mill,28
ocd-division/country:us/state:ga/county:baker/precinct:milford,29
ocd-division/country:us/state:ga/county:baker/precinct:newton,30
ocd-division/country:us/state:ga/county:baldwin/precinct:boddie,31
ocd-division/country:us/state:ga/county:baldwin/precinct:city_hall_annex,32
ocd-division/country:us/state:ga/county:baldwin/precinct:coopers,33
ocd-division/country:us/state:ga/county:baldwin/precinct:courthouse,34
ocd-division/country:us/state:ga/county:baldwin/precinct:east_baldwin,35
ocd-division/country:us/state:ga/county:baldwin/precinct:east_hardwick,36
ocd-division/country:us/state:ga/county:baldwin/precinct:fire_dept,37
ocd-division/country:us/state:ga/county:baldwin/precinct:meriwether,38
ocd-division/country:us/state:ga/county:baldwin/precinct:north_baldwin,39
ocd-division/country:us/state:ga/county:baldwin/precinct:north_milledgeville,40
ocd-division/country:us/state:ga/county:baldwin/precinct:scottsboro,41
ocd-division/country:us/state:ga/county:baldwin/precinct:south_milledgeville,42
ocd-division/country:us/state:ga/county:baldwin/precinct:west_baldwin,43
ocd-division/country:us/state:ga/county:baldwin/precinct:west_hardwick,44
ocd-division/country:us/state:ga/county:banks/precinct:anderson,45
ocd-division/country:us/state:ga/county:banks/precinct:baldwin,46
ocd-division/country:us/state:ga/county:banks/precinct:berlin,47
ocd-division/country:us/state:ga/county:banks/precinct:bushville,48
ocd-division/country:us/state:ga/county:banks/precinct:columbia,49
ocd-division/country:us/state:ga/county:banks/precinct:davids,50
ocd-division/country:us/state:ga/county:banks/precinct:golden_hill,51
ocd-division/country:us/state:ga/county:banks/precinct:grove_river,52
ocd-division/country:us/state:ga/county:banks/precinct:hollingsworth,53
ocd-division/country:us/state:ga/county:banks/precinct:homer,54
ocd-division/country:us/state:ga/county:banks/precinct:poplar_springs,55
ocd-division/country:us/state:ga/county:banks/precinct:washington,56
ocd-division/country:us/state:ga/county:banks/precinct:wilmonts,57
ocd-division/country:us/state:ga/county:barrow/precinct:1,58
