id,county_id
ocd-division/country:us/state:sc/county:abbeville/precinct:1-abbeville_1,1
ocd-division/country:us/state:sc/county:abbeville/precinct:2-abbeville_2,2
ocd-division/country:us/state:sc/county:abbeville/precinct:3-abbeville_3,3
ocd-division/country:us/state:sc/county:abbeville/precinct:4-abbeville_4,4
ocd-division/country:us/state:sc/county:abbeville/precinct:5-antreville,5
ocd-division/country:us/state:sc/county:abbeville/precinct:6-broadmouth,6
ocd-division/country:us/state:sc/county:abbeville/precinct:7-calhoun_falls,7
ocd-division/country:us/state:sc/county:abbeville/precinct:8-cold_springs,8
ocd-division/country:us/state:sc/county:abbeville/precinct:9-donalds,9
ocd-division/country:us/state:sc/county:abbeville/precinct:10-due_west,10
ocd-division/country:us/state:sc/county:abbeville/precinct:11-hall~s_store,11
ocd-division/country:us/state:sc/county:abbeville/precinct:12-keowee,12
ocd-division/country:us/state:sc/county:abbeville/precinct:13-lowndesville,13
ocd-division/country:us/state:sc/county:abbeville/precinct:14-lebanon,14
ocd-division/country:us/state:sc/county:abbeville/precinct:15-barrier_free,15
ocd-division/country:us/state:sc/county:aiken/precinct:1-aiken_1,1
ocd-division/country:us/state:sc/county:aiken/precinct:2-aiken_2,2
ocd-division/country:us/state:sc/county:aiken/precinct:3-aiken_3,3
ocd-division/country:us/state:sc/county:aiken/precinct:4-aiken_4,4
ocd-division/country:us/state:sc/county:aiken/precinct:5-aiken_5,5
ocd-division/country:us/state:sc/county:aiken/precinct:6-aiken_6,6
ocd-division/country:us/state:sc/county:aiken/precinct:7-bath_7,7
ocd-division/country:us/state:sc/county:aiken/precinct:8-beech_island_8,8
ocd-division/country:us/state:sc/county:aiken/precinct:9-belvedere_9,9
ocd-division/country:us/state:sc/county:aiken/precinct:10-carolina_hts_10,10
ocd-division/country:us/state:sc/county:aiken/precinct:11-china_sprgs_11,11
ocd-division/country:us/state:sc/county:aiken/precinct:12-clearwater_12,12
ocd-division/country:us/state:sc/county:aiken/precinct:13-college_acre_13,13
ocd-division/country:us/state:sc/county:aiken/precinct:14-eureka_14,14
ocd-division/country:us/state:sc/county:aiken/precinct:15-gloverville_15,15
ocd-division/country:us/state:sc/county:aiken/precinct:16-graniteville_16,16
ocd-division/country:us/state:sc/county:aiken/precinct:17-jackson_17,17
ocd-division/country:us/state:sc/county:aiken/precinct:18-langley_18,18
ocd-division/country:us/state:sc/county:aiken/precinct:19-lynwood_19,19
ocd-division/country:us/state:sc/county:aiken/precinct:20-millbrook_20,20
ocd-division/country:us/state:sc/county:aiken/precinct:21-monetta_21,21
ocd-division/country:us/state:sc/county:aiken/precinct:22-montmorenci_22,22
ocd-division/country:us/state:sc/county:aiken/precinct:23-new_ellenton_23,23
ocd-division/country:us/state:sc/county:aiken/precinct:24-new_holland_24,24
ocd-division/country:us/state:sc/county:aiken/precinct:25-n_augusta_25,25
ocd-division/country:us/state:sc/county:aiken/precinct:26-n_augusta_26,26
ocd-division/country:us/state:sc/county:aiken/precinct:27-n_augusta_27,27
ocd-division/country:us/state:sc/county:aiken/precinct:28-n_augusta_28,28
ocd-division/country:us/state:sc/county:aiken/precinct:29-n_augusta_29,29
