id,state_id
ocd-division/country:us/state:mn/place:columbia_heights/precinct:4,820
ocd-division/country:us/state:mn/place:columbia_heights/precinct:5,825
ocd-division/country:us/state:mn/place:columbia_heights/precinct:6,830
ocd-division/country:us/state:mn/place:columbia_heights/precinct:7,835
ocd-division/country:us/state:mn/place:columbia_heights/precinct:8,840
ocd-division/country:us/state:mn/place:columbus,905
ocd-division/country:us/state:mn/place:coon_rapids/ward:1/precinct:1,1005
ocd-division/country:us/state:mn/place:coon_rapids/ward:1/precinct:2,1010
ocd-division/country:us/state:mn/place:coon_rapids/ward:1/precinct:3,1015
ocd-division/country:us/state:mn/place:coon_rapids/ward:1/precinct:4,1020
ocd-division/country:us/state:mn/place:coon_rapids/ward:2/precinct:1,1105
ocd-division/country:us/state:mn/place:coon_rapids/ward:2/precinct:2,1110
ocd-division/country:us/state:mn/place:coon_rapids/ward:2/precinct:3,1115
ocd-division/country:us/state:mn/place:coon_rapids/ward:2/precinct:4,1120
ocd-division/country:us/state:mn/place:coon_rapids/ward:2/precinct:5,1125
ocd-division/country:us/state:mn/place:coon_rapids/ward:3/precinct:1,1205
ocd-division/country:us/state:mn/place:coon_rapids/ward:3/precinct:2,1210
ocd-division/country:us/state:mn/place:coon_rapids/ward:3/precinct:3,1215
ocd-division/country:us/state:mn/place:coon_rapids/ward:3/precinct:4,1220
ocd-division/country:us/state:mn/place:coon_rapids/ward:4/precinct:1,1305
ocd-division/country:us/state:mn/place:coon_rapids/ward:4/precinct:2,1310
ocd-division/country:us/state:mn/place:coon_rapids/ward:4/precinct:3,1315
ocd-division/country:us/state:mn/place:coon_rapids/ward:4/precinct:4,1320
ocd-division/country:us/state:mn/place:coon_rapids/ward:5/precinct:1,1405
ocd-division/country:us/state:mn/place:coon_rapids/ward:5/precinct:2,1410
ocd-division/country:us/state:mn/place:coon_rapids/ward:5/precinct:3,1415
ocd-division/country:us/state:mn/place:coon_rapids/ward:5/precinct:4,1420
ocd-division/country:us/state:mn/place:coon_rapids/ward:5/precinct:5,1425
ocd-division/country:us/state:mn/place:east_bethel/precinct:1,1505
ocd-division/country:us/state:mn/place:east_bethel/precinct:2,1510
ocd-division/country:us/state:mn/place:east_bethel/precinct:3,1515
ocd-division/country:us/state:mn/place:fridley/ward:1/precinct:1,1605
ocd-division/country:us/state:mn/place:fridley/ward:1/precinct:2,1610
ocd-division/country:us/state:mn/place:fridley/ward:1/precinct:3,1615
ocd-division/country:us/state:mn/place:fridley/ward:1/precinct:4,1620
ocd-division/country:us/state:mn/place:fridley/ward:2/precinct:1,1705
ocd-division/country:us/state:mn/place:fridley/ward:2/precinct:2,1710
ocd-division/country:us/state:mn/place:fridley/ward:2/precinct:3,1715
ocd-division/country:us/state:mn/place:fridley/ward:2/precinct:4,1720
ocd-division/country:us/state:mn/place:fridley/ward:3/precinct:1,1805
ocd-division/country:us/state:mn/place:fridley/ward:3/precinct:2,1810
ocd-division/country:us/state:mn/place:fridley/ward:3/precinct:3,1815
ocd-division/country:us/state:mn/place:fridley/ward:3/precinct:4,1820
ocd-division/country:us/state:mn/place:ham_lake/precinct:1,1905
ocd-division/country:us/state:mn/place:ham_lake/precinct:2,1910
ocd-division/country:us/state:mn/place:ham_lake/precinct:3a,1915
ocd-division/country:us/state:mn/place:ham_lake/precinct:4a,1920
ocd-division/country:us/state:mn/place:ham_lake/precinct:5,1925
ocd-division/country:us/state:mn/place:ham_lake/precinct:6a,1930
ocd-division/country:us/state:mn/place:hilltop,2005
ocd-division/country:us/state:mn/place:lexington,2105
ocd-division/country:us/state:mn/place:lino_lakes/precinct:1,2205
ocd-division/country:us/state:mn/place:lino_lakes/precinct:2,2210
ocd-division/country:us/state:mn/place:lino_lakes/precinct:3,2215
ocd-division/country:us/state:mn/place:lino_lakes/precinct:4,2220
ocd-division/country:us/state:mn/place:lino_lakes/precinct:5,2225
ocd-division/country:us/state:mn/place:lino_lakes/precinct:6,2230
ocd-division/country:us/state:mn/place:lino_lakes/precinct:7,2235
ocd-division/country:us/state:mn/county:anoka/place:linwood,2305
ocd-division/country:us/state:mn/place:nowthen/precinct:1a,2405
ocd-division/country:us/state:mn/place:nowthen/precinct:2,2410
ocd-division/country:us/state:mn/place:oak_grove/precinct:1,2505
ocd-division/country:us/state:mn/place:oak_grove/precinct:2,2510
ocd-division/country:us/state:mn/place:oak_grove/precinct:3,2515
ocd-division/country:us/state:mn/place:oak_grove/precinct:4,2520
ocd-division/country:us/state:mn/place:ramsey/ward:1/precinct:1,2605
ocd-division/country:us/state:mn/place:ramsey/ward:1/precinct:2,2610
ocd-division/country:us/state:mn/place:ramsey/ward:2/precinct:1,2705
ocd-division/country:us/state:mn/place:ramsey/ward:2/precinct:2,2710
ocd-division/country:us/state:mn/place:ramsey/ward:3/precinct:1,2805
ocd-division/country:us/state:mn/place:ramsey/ward:3/precinct:2,2810
ocd-division/country:us/state:mn/place:ramsey/ward:4/precinct:1,2905
ocd-division/country:us/state:mn/place:ramsey/ward:4/precinct:2,2910
ocd-division/country:us/state:mn/place:st_francis/precinct:1,3005
ocd-division/country:us/state:mn/place:st_francis/precinct:2,3010
ocd-division/country:us/state:mn/place:spring_lake_park/precinct:1a,3105
ocd-division/country:us/state:mn/place:spring_lake_park/precinct:2,3110
ocd-division/country:us/state:mn/place:spring_lake_park/precinct:3,3115
ocd-division/country:us/state:mn/county:becker/place:atlanta,5
ocd-division/country:us/state:mn/place:audubon,10
ocd-division/country:us/state:mn/county:becker/place:audubon,15
ocd-division/country:us/state:mn/county:becker/place:burlington,20
ocd-division/country:us/state:mn/place:callaway,25
ocd-division/country:us/state:mn/county:becker/place:callaway,30
ocd-division/country:us/state:mn/county:becker/place:carsonville,35
ocd-division/country:us/state:mn/county:becker/place:cormorant,40
ocd-division/country:us/state:mn/county:becker/place:cuba,45
ocd-division/country:us/state:mn/place:detroit_lakes/ward:1,55
ocd-division/country:us/state:mn/place:detroit_lakes/ward:2,65
ocd-division/country:us/state:mn/place:detroit_lakes/ward:3,75
ocd-division/country:us/state:mn/county:becker/place:detroit/precinct:1,50
ocd-division/country:us/state:mn/county:becker/place:detroit/precinct:2,51
ocd-division/country:us/state:mn/county:becker/place:detroit/precinct:3,52
ocd-division/country:us/state:mn/county:becker/place:eagle_view,82
ocd-division/country:us/state:mn/county:becker/place:erie,85
ocd-division/country:us/state:mn/county:becker/place:evergreen,90
ocd-division/country:us/state:mn/county:becker/place:forest,95
