id,county_id
ocd-division/country:us/state:ky/county:barren/precinct:g102-glasgow_5,G102
ocd-division/country:us/state:ky/county:barren/precinct:g103-glasgow_6,G103
ocd-division/country:us/state:ky/county:bath/precinct:a101-sharpsburg_1,A101
ocd-division/country:us/state:ky/county:bath/precinct:a102-sharpsburg_2,A102
ocd-division/country:us/state:ky/county:bath/precinct:a103-bethel,A103
ocd-division/country:us/state:ky/county:bath/precinct:a104-south_sherburne,A104
ocd-division/country:us/state:ky/county:bath/precinct:b101-owingsville_1,B101
ocd-division/country:us/state:ky/county:bath/precinct:b102-owingsville_2,B102
ocd-division/country:us/state:ky/county:bath/precinct:b103-owingsville_3,B103
ocd-division/country:us/state:ky/county:bath/precinct:c101-salt_lick_1,C101
ocd-division/country:us/state:ky/county:bath/precinct:c102-salt_lick_2,C102
ocd-division/country:us/state:ky/county:bath/precinct:c103-white_sulphur,C103
ocd-division/country:us/state:ky/county:bath/precinct:c104-olympia,C104
ocd-division/country:us/state:ky/county:bath/precinct:c105-preston,C105
ocd-division/country:us/state:ky/county:bell/precinct:a101-laurel_a,A101
ocd-division/country:us/state:ky/county:bell/precinct:a102-mathel,A102
ocd-division/country:us/state:ky/county:bell/precinct:a103-blackmont,A103
ocd-division/country:us/state:ky/county:bell/precinct:a104-brownies_creek,A104
ocd-division/country:us/state:ky/county:bell/precinct:a105-page,A105
ocd-division/country:us/state:ky/county:bell/precinct:a106-hutch,A106
ocd-division/country:us/state:ky/county:bell/precinct:a107-meldrum,A107
ocd-division/country:us/state:ky/county:bell/precinct:b101-pineville_1a-4d,B101
ocd-division/country:us/state:ky/county:bell/precinct:b102-pineville_2b,B102
ocd-division/country:us/state:ky/county:bell/precinct:b103-straight_creek,B103
ocd-division/country:us/state:ky/county:bell/precinct:b104-arjay,B104
ocd-division/country:us/state:ky/county:bell/precinct:b105-dorton_branch,B105
ocd-division/country:us/state:ky/county:bell/precinct:b106-beverly,B106
ocd-division/country:us/state:ky/county:bell/precinct:b107-right_fork,B107
ocd-division/country:us/state:ky/county:bell/precinct:c101-binghamtown,C101
ocd-division/country:us/state:ky/county:bell/precinct:c102-dorchester,C102
ocd-division/country:us/state:ky/county:bell/precinct:c103-noetown,C103
ocd-division/country:us/state:ky/county:bell/precinct:c104-junction,C104
ocd-division/country:us/state:ky/county:bell/precinct:c105-edgewood,C105
ocd-division/country:us/state:ky/county:bell/precinct:d101-city_hall,D101
ocd-division/country:us/state:ky/county:bell/precinct:d102-park,D102
ocd-division/country:us/state:ky/county:bell/precinct:d103-east_end,D103
ocd-division/country:us/state:ky/county:bell/precinct:d104-southside,D104
ocd-division/country:us/state:ky/county:bell/precinct:d105-west_central,D105
ocd-division/country:us/state:ky/county:bell/precinct:d106-exeter,D106
ocd-division/country:us/state:ky/county:bell/precinct:d107-winchester,D107
ocd-division/country:us/state:ky/county:bell/precinct:e101-pineville_3c-5e,E101
ocd-division/country:us/state:ky/county:bell/precinct:e102-laurel_b,E102
ocd-division/country:us/state:ky/county:bell/precinct:e103-lone_jack,E103
ocd-division/country:us/state:ky/county:bell/precinct:e104-greasy_creek,E104
ocd-division/country:us/state:ky/county:bell/precinct:e105-clear_creek,E105
ocd-division/country:us/state:ky/county:bell/precinct:e106-sutty,E106
ocd-division/country:us/state:ky/county:boone/precinct:a102-belleview,A102
ocd-division/country:us/state:ky/county:boone/precinct:a103-bullittsville,A103
ocd-division/country:us/state:ky/county:boone/precinct:a104-burlington_1,A104
ocd-division/country:us/state:ky/county:boone/precinct:a105-burlington_2,A105
ocd-division/country:us/state:ky/county:boone/precinct:a106-carlton,A106
ocd-division/country:us/state:ky/county:boone/precinct:a107-constance,A107
ocd-division/country:us/state:ky/county:boone/precinct:a108-hebron_1,A108
ocd-division/country:us/state:ky/county:boone/precinct:a109-hebron_2,A109
ocd-division/country:us/state:ky/county:boone/precinct:a110-petersburg,A110
ocd-division/country:us/state:ky/county:boone/precinct:a111-burlington_3,A111
ocd-division/country:us/state:ky/county:boone/precinct:a112-burlington_4,A112
ocd-division/country:us/state:ky/county:boone/precinct:a113-burlington_5,A113
ocd-division/country:us/state:ky/county:boone/precinct:a114-hebron_3,A114
ocd-division/country:us/state:ky/county:boone/precinct:a115-burlington_6,A115
ocd-division/country:us/state:ky/county:boone/precinct:a116-burlington_7,A116
ocd-division/country:us/state:ky/county:boone/precinct:a117-hebron_4,A117
ocd-division/country:us/state:ky/county:boone/precinct:a118-hamilton,A118
ocd-division/country:us/state:ky/county:boone/precinct:a119-limaburg,A119
ocd-division/country:us/state:ky/county:boone/precinct:a120-burlington_8,A120
ocd-division/country:us/state:ky/county:boone/precinct:a121-hebron_5,A121
ocd-division/country:us/state:ky/county:boone/precinct:b114-beaver,B114
ocd-division/country:us/state:ky/county:boone/precinct:b115-glenview,B115
ocd-division/country:us/state:ky/county:boone/precinct:b116-greenview,B116
ocd-division/country:us/state:ky/county:boone/precinct:b117-hopeful,B117
ocd-division/country:us/state:ky/county:boone/precinct:b118-linkview,B118
ocd-division/country:us/state:ky/county:boone/precinct:b119-oakbrook,B119
ocd-division/country:us/state:ky/county:boone/precinct:b120-pleasant_valley,B120
ocd-division/country:us/state:ky/county:boone/precinct:b121-richwood,B121
ocd-division/country:us/state:ky/county:boone/precinct:b122-union_1,B122
ocd-division/country:us/state:ky/county:boone/precinct:b123-union_2,B123
ocd-division/country:us/state:ky/county:boone/precinct:b124-union_3,B124
ocd-division/country:us/state:ky/county:boone/precinct:b125-union_4,B125
ocd-division/country:us/state:ky/county:boone/precinct:b126-verona,B126
ocd-division/country:us/state:ky/county:boone/precinct:b127-walton_1,B127
ocd-division/country:us/state:ky/county:boone/precinct:b128-walton_2,B128
ocd-division/country:us/state:ky/county:boone/precinct:b129-union_5,B129
ocd-division/country:us/state:ky/county:boone/precinct:b130-union_6,B130
ocd-division/country:us/state:ky/county:boone/precinct:b131-summitview,B131
ocd-division/country:us/state:ky/county:boone/precinct:b132-hearthstone,B132
ocd-division/country:us/state:ky/county:boone/precinct:b133-florence_15,B133
ocd-division/country:us/state:ky/county:boone/precinct:c102-devon_1,C102
ocd-division/country:us/state:ky/county:boone/precinct:c110-devon_2,C110
ocd-division/country:us/state:ky/county:boone/precinct:c117-devon_3,C117
ocd-division/country:us/state:ky/county:boone/precinct:c120-kensington,C120
ocd-division/country:us/state:ky/county:boone/precinct:c121-shamrock,C121
ocd-division/country:us/state:ky/county:boone/precinct:c123-airport,C123
ocd-division/country:us/state:ky/county:boone/precinct:c124-florence_1,C124
ocd-division/country:us/state:ky/county:boone/precinct:c125-florence_2,C125
ocd-division/country:us/state:ky/county:boone/precinct:c126-florence_3,C126
ocd-division/country:us/state:ky/county:boone/precinct:c127-florence_4,C127
ocd-division/country:us/state:ky/county:boone/precinct:c128-florence_5,C128
ocd-division/country:us/state:ky/county:boone/precinct:c129-florence_6,C129
ocd-division/country:us/state:ky/county:boone/precinct:c130-florence_7,C130
ocd-division/country:us/state:ky/county:boone/precinct:c131-florence_8,C131
ocd-division/country:us/state:ky/county:boone/precinct:c132-florence_9,C132
ocd-division/country:us/state:ky/county:boone/precinct:c133-florence_10,C133
ocd-division/country:us/state:ky/county:boone/precinct:c134-florence_11,C134
ocd-division/country:us/state:ky/county:boone/precinct:c135-florence_12,C135
ocd-division/country:us/state:ky/county:boone/precinct:c136-florence_13,C136
ocd-division/country:us/state:ky/county:boone/precinct:c137-florence_14,C137
ocd-division/country:us/state:ky/county:bourbon/precinct:b101-millersburg_1,B101
