id,state_id
ocd-division/country:us/district:dc/ward:8/precinct:115,115
ocd-division/country:us/district:dc/ward:8/precinct:116,116
ocd-division/country:us/district:dc/ward:8/precinct:117,117
ocd-division/country:us/district:dc/ward:8/precinct:118,118
ocd-division/country:us/district:dc/ward:8/precinct:119,119
ocd-division/country:us/district:dc/ward:8/precinct:120,120
ocd-division/country:us/district:dc/ward:8/precinct:121,121
ocd-division/country:us/district:dc/ward:8/precinct:122,122
ocd-division/country:us/district:dc/ward:8/precinct:123,123
ocd-division/country:us/district:dc/ward:8/precinct:124,124
ocd-division/country:us/district:dc/ward:8/precinct:125,125
ocd-division/country:us/district:dc/ward:8/precinct:126,126
ocd-division/country:us/district:dc/ward:6/precinct:127,127
ocd-division/country:us/district:dc/ward:6/precinct:128,128
ocd-division/country:us/district:dc/ward:2/precinct:129,129
ocd-division/country:us/district:dc/ward:6/precinct:130,130
ocd-division/country:us/district:dc/ward:6/precinct:131,131
ocd-division/country:us/district:dc/ward:7/precinct:132,132
ocd-division/country:us/district:dc/ward:8/precinct:133,133
ocd-division/country:us/district:dc/ward:8/precinct:134,134
ocd-division/country:us/district:dc/ward:5/precinct:135,135
ocd-division/country:us/district:dc/ward:3/precinct:136,136
ocd-division/country:us/district:dc/ward:1/precinct:137,137
ocd-division/country:us/district:dc/ward:3/precinct:138,138
ocd-division/country:us/district:dc/ward:5/precinct:139,139
ocd-division/country:us/district:dc/ward:8/precinct:140,140
ocd-division/country:us/district:dc/ward:2/precinct:141,141
ocd-division/country:us/district:dc/ward:6/precinct:142,142
ocd-division/country:us/district:dc/ward:2/precinct:143,143

