id,state_id
ocd-division/country:us/state:ri/place:barrington/precinct:101,101
ocd-division/country:us/state:ri/place:barrington/precinct:102,102
ocd-division/country:us/state:ri/place:barrington/precinct:103,103
ocd-division/country:us/state:ri/place:barrington/precinct:104,104
ocd-division/country:us/state:ri/place:barrington/precinct:105,105
ocd-division/country:us/state:ri/place:bristol/precinct:201,201
ocd-division/country:us/state:ri/place:bristol/precinct:202,202
ocd-division/country:us/state:ri/place:bristol/precinct:203,203
ocd-division/country:us/state:ri/place:bristol/precinct:204,204
ocd-division/country:us/state:ri/place:bristol/precinct:205,205
ocd-division/country:us/state:ri/place:bristol/precinct:206,206
ocd-division/country:us/state:ri/place:bristol/precinct:207,207
ocd-division/country:us/state:ri/place:bristol/precinct:208,208
ocd-division/country:us/state:ri/place:bristol/precinct:209,209
ocd-division/country:us/state:ri/place:burrillville/precinct:301,301
ocd-division/country:us/state:ri/place:burrillville/precinct:302,302
ocd-division/country:us/state:ri/place:burrillville/precinct:303,303
ocd-division/country:us/state:ri/place:burrillville/precinct:304,304
ocd-division/country:us/state:ri/place:burrillville/precinct:305,305
ocd-division/country:us/state:ri/place:burrillville/precinct:306,306
ocd-division/country:us/state:ri/place:central_falls/precinct:401,401
ocd-division/country:us/state:ri/place:central_falls/precinct:402,402
ocd-division/country:us/state:ri/place:central_falls/precinct:403,403
ocd-division/country:us/state:ri/place:central_falls/precinct:404,404
ocd-division/country:us/state:ri/place:central_falls/precinct:405,405
ocd-division/country:us/state:ri/place:central_falls/precinct:406,406
ocd-division/country:us/state:ri/place:central_falls/precinct:407,407
ocd-division/country:us/state:ri/place:central_falls/precinct:408,408
ocd-division/country:us/state:ri/place:charlestown/precinct:501,501
ocd-division/country:us/state:ri/place:charlestown/precinct:502,502
ocd-division/country:us/state:ri/place:charlestown/precinct:503,503
ocd-division/country:us/state:ri/place:charlestown/precinct:504,504
ocd-division/country:us/state:ri/place:coventry/precinct:601,601
ocd-division/country:us/state:ri/place:coventry/precinct:602,602
ocd-division/country:us/state:ri/place:coventry/precinct:603,603
ocd-division/country:us/state:ri/place:coventry/precinct:604,604
ocd-division/country:us/state:ri/place:coventry/precinct:605,605
ocd-division/country:us/state:ri/place:coventry/precinct:606,606
ocd-division/country:us/state:ri/place:coventry/precinct:607,607
ocd-division/country:us/state:ri/place:coventry/precinct:608,608
ocd-division/country:us/state:ri/place:coventry/precinct:609,609
ocd-division/country:us/state:ri/place:coventry/precinct:610,610
ocd-division/country:us/state:ri/place:coventry/precinct:611,611
ocd-division/country:us/state:ri/place:coventry/precinct:612,612
ocd-division/country:us/state:ri/place:coventry/precinct:613,613
ocd-division/country:us/state:ri/place:coventry/precinct:614,614
ocd-division/country:us/state:ri/place:coventry/precinct:615,615
ocd-division/country:us/state:ri/place:coventry/precinct:616,616
ocd-division/country:us/state:ri/place:coventry/precinct:617,617
ocd-division/country:us/state:ri/place:coventry/precinct:618,618
ocd-division/country:us/state:ri/place:cranston/precinct:701,701
ocd-division/country:us/state:ri/place:cranston/precinct:702,702
ocd-division/country:us/state:ri/place:cranston/precinct:703,703
ocd-division/country:us/state:ri/place:cranston/precinct:704,704
ocd-division/country:us/state:ri/place:cranston/precinct:705,705
ocd-division/country:us/state:ri/place:cranston/precinct:706,706
ocd-division/country:us/state:ri/place:cranston/precinct:707,707
ocd-division/country:us/state:ri/place:cranston/precinct:708,708
ocd-division/country:us/state:ri/place:cranston/precinct:709,709
ocd-division/country:us/state:ri/place:cranston/precinct:710,710
ocd-division/country:us/state:ri/place:cranston/precinct:711,711
ocd-division/country:us/state:ri/place:cranston/precinct:712,712
ocd-division/country:us/state:ri/place:cranston/precinct:713,713
ocd-division/country:us/state:ri/place:cranston/precinct:714,714
ocd-division/country:us/state:ri/place:cranston/precinct:715,715
ocd-division/country:us/state:ri/place:cranston/precinct:716,716
ocd-division/country:us/state:ri/place:cranston/precinct:717,717
ocd-division/country:us/state:ri/place:cranston/precinct:718,718
ocd-division/country:us/state:ri/place:cranston/precinct:719,719
ocd-division/country:us/state:ri/place:cranston/precinct:720,720
ocd-division/country:us/state:ri/place:cranston/precinct:721,721
ocd-division/country:us/state:ri/place:cranston/precinct:722,722
ocd-division/country:us/state:ri/place:cranston/precinct:723,723
ocd-division/country:us/state:ri/place:cranston/precinct:724,724
ocd-division/country:us/state:ri/place:cranston/precinct:725,725
ocd-division/country:us/state:ri/place:cranston/precinct:726,726
ocd-division/country:us/state:ri/place:cranston/precinct:727,727
ocd-division/country:us/state:ri/place:cranston/precinct:728,728
ocd-division/country:us/state:ri/place:cranston/precinct:730,730
ocd-division/country:us/state:ri/place:cranston/precinct:731,731
ocd-division/country:us/state:ri/place:cumberland/precinct:801,801
ocd-division/country:us/state:ri/place:cumberland/precinct:802,802
ocd-division/country:us/state:ri/place:cumberland/precinct:803,803
ocd-division/country:us/state:ri/place:cumberland/precinct:804,804
ocd-division/country:us/state:ri/place:cumberland/precinct:805,805
ocd-division/country:us/state:ri/place:cumberland/precinct:806,806
ocd-division/country:us/state:ri/place:cumberland/precinct:807,807
ocd-division/country:us/state:ri/place:cumberland/precinct:808,808
ocd-division/country:us/state:ri/place:cumberland/precinct:809,809
ocd-division/country:us/state:ri/place:cumberland/precinct:810,810
ocd-division/country:us/state:ri/place:cumberland/precinct:811,811
ocd-division/country:us/state:ri/place:cumberland/precinct:812,812
ocd-division/country:us/state:ri/place:east_greenwich/precinct:901,901
ocd-division/country:us/state:ri/place:east_greenwich/precinct:902,902
ocd-division/country:us/state:ri/place:east_greenwich/precinct:903,903
ocd-division/country:us/state:ri/place:east_greenwich/precinct:904,904
ocd-division/country:us/state:ri/place:east_greenwich/precinct:905,905
ocd-division/country:us/state:ri/place:east_providence/precinct:1001,1001
ocd-division/country:us/state:ri/place:east_providence/precinct:1002,1002
ocd-division/country:us/state:ri/place:east_providence/precinct:1003,1003
ocd-division/country:us/state:ri/place:east_providence/precinct:1004,1004
ocd-division/country:us/state:ri/place:east_providence/precinct:1005,1005
ocd-division/country:us/state:ri/place:east_providence/precinct:1006,1006
ocd-division/country:us/state:ri/place:east_providence/precinct:1007,1007
ocd-division/country:us/state:ri/place:east_providence/precinct:1008,1008
ocd-division/country:us/state:ri/place:east_providence/precinct:1009,1009
ocd-division/country:us/state:ri/place:east_providence/precinct:1010,1010
ocd-division/country:us/state:ri/place:east_providence/precinct:1011,1011
ocd-division/country:us/state:ri/place:east_providence/precinct:1012,1012
ocd-division/country:us/state:ri/place:east_providence/precinct:1013,1013
ocd-division/country:us/state:ri/place:east_providence/precinct:1014,1014
ocd-division/country:us/state:ri/place:east_providence/precinct:1015,1015
ocd-division/country:us/state:ri/place:east_providence/precinct:1016,1016
ocd-division/country:us/state:ri/place:east_providence/precinct:1017,1017
ocd-division/country:us/state:ri/place:exeter/precinct:1101,1101
ocd-division/country:us/state:ri/place:exeter/precinct:1102,1102
ocd-division/country:us/state:ri/place:exeter/precinct:1103,1103
ocd-division/country:us/state:ri/place:foster/precinct:1201,1201
ocd-division/country:us/state:ri/place:foster/precinct:1202,1202
ocd-division/country:us/state:ri/place:glocester/precinct:1301,1301
ocd-division/country:us/state:ri/place:glocester/precinct:1302,1302
ocd-division/country:us/state:ri/place:glocester/precinct:1303,1303
ocd-division/country:us/state:ri/place:glocester/precinct:1304,1304
ocd-division/country:us/state:ri/place:hopkinton/precinct:1401,1401
ocd-division/country:us/state:ri/place:hopkinton/precinct:1402,1402
ocd-division/country:us/state:ri/place:hopkinton/precinct:1403,1403
ocd-division/country:us/state:ri/place:jamestown/precinct:1501,1501
ocd-division/country:us/state:ri/place:jamestown/precinct:1502,1502
ocd-division/country:us/state:ri/place:johnston/precinct:1601,1601
ocd-division/country:us/state:ri/place:johnston/precinct:1602,1602
ocd-division/country:us/state:ri/place:johnston/precinct:1603,1603
ocd-division/country:us/state:ri/place:johnston/precinct:1604,1604
ocd-division/country:us/state:ri/place:johnston/precinct:1605,1605
ocd-division/country:us/state:ri/place:johnston/precinct:1606,1606
ocd-division/country:us/state:ri/place:johnston/precinct:1607,1607
ocd-division/country:us/state:ri/place:johnston/precinct:1608,1608
ocd-division/country:us/state:ri/place:johnston/precinct:1609,1609
ocd-division/country:us/state:ri/place:johnston/precinct:1610,1610
ocd-division/country:us/state:ri/place:johnston/precinct:1611,1611
ocd-division/country:us/state:ri/place:johnston/precinct:1612,1612
ocd-division/country:us/state:ri/place:johnston/precinct:1613,1613
ocd-division/country:us/state:ri/place:lincoln/precinct:1701,1701
ocd-division/country:us/state:ri/place:lincoln/precinct:1702,1702
ocd-division/country:us/state:ri/place:lincoln/precinct:1703,1703
ocd-division/country:us/state:ri/place:lincoln/precinct:1704,1704
ocd-division/country:us/state:ri/place:lincoln/precinct:1705,1705
ocd-division/country:us/state:ri/place:lincoln/precinct:1706,1706
ocd-division/country:us/state:ri/place:lincoln/precinct:1707,1707
