id,placeholder_id
ocd-division/country:us/state:ma/county:nantucket,1
ocd-division/country:us/state:ma/place:abington/precinct:1,2
ocd-division/country:us/state:ma/place:abington/precinct:2,3
ocd-division/country:us/state:ma/place:abington/precinct:3,4
ocd-division/country:us/state:ma/place:abington/precinct:4,5
ocd-division/country:us/state:ma/place:abington/precinct:5,6
ocd-division/country:us/state:ma/place:acton/precinct:1,7
ocd-division/country:us/state:ma/place:acton/precinct:2,8
ocd-division/country:us/state:ma/place:acton/precinct:3,9
ocd-division/country:us/state:ma/place:acton/precinct:4,10
ocd-division/country:us/state:ma/place:acton/precinct:5,11
ocd-division/country:us/state:ma/place:acton/precinct:6,12
ocd-division/country:us/state:ma/place:acushnet/precinct:1,13
ocd-division/country:us/state:ma/place:acushnet/precinct:2,14
ocd-division/country:us/state:ma/place:acushnet/precinct:3,15
ocd-division/country:us/state:ma/place:adams/precinct:1,16
ocd-division/country:us/state:ma/place:adams/precinct:2,17
ocd-division/country:us/state:ma/place:adams/precinct:3,18
ocd-division/country:us/state:ma/place:adams/precinct:4,19
ocd-division/country:us/state:ma/place:adams/precinct:5,20
ocd-division/country:us/state:ma/place:agawam_town/precinct:1,21
ocd-division/country:us/state:ma/place:agawam_town/precinct:2,22
ocd-division/country:us/state:ma/place:agawam_town/precinct:3,23
ocd-division/country:us/state:ma/place:agawam_town/precinct:4,24
ocd-division/country:us/state:ma/place:agawam_town/precinct:5,25
ocd-division/country:us/state:ma/place:agawam_town/precinct:6,26
ocd-division/country:us/state:ma/place:agawam_town/precinct:7,27
ocd-division/country:us/state:ma/place:agawam_town/precinct:8,28
ocd-division/country:us/state:ma/place:alford,29
ocd-division/country:us/state:ma/place:amesbury_town/precinct:1,30
ocd-division/country:us/state:ma/place:amesbury_town/precinct:2,31
ocd-division/country:us/state:ma/place:amesbury_town/precinct:3,32
ocd-division/country:us/state:ma/place:amesbury_town/precinct:4,33
ocd-division/country:us/state:ma/place:amesbury_town/precinct:5,34
ocd-division/country:us/state:ma/place:amesbury_town/precinct:6,35
ocd-division/country:us/state:ma/place:amherst/precinct:1,36
ocd-division/country:us/state:ma/place:amherst/precinct:2,37
ocd-division/country:us/state:ma/place:amherst/precinct:3,38
ocd-division/country:us/state:ma/place:amherst/precinct:4,39
ocd-division/country:us/state:ma/place:amherst/precinct:5,40
ocd-division/country:us/state:ma/place:amherst/precinct:6,41
ocd-division/country:us/state:ma/place:amherst/precinct:7,42
ocd-division/country:us/state:ma/place:amherst/precinct:8,43
ocd-division/country:us/state:ma/place:amherst/precinct:9,44
ocd-division/country:us/state:ma/place:amherst/precinct:10,45
ocd-division/country:us/state:ma/place:andover/precinct:1,46
ocd-division/country:us/state:ma/place:andover/precinct:2,47
ocd-division/country:us/state:ma/place:andover/precinct:3,48
ocd-division/country:us/state:ma/place:andover/precinct:4,49
ocd-division/country:us/state:ma/place:andover/precinct:5,50
ocd-division/country:us/state:ma/place:andover/precinct:6,51
ocd-division/country:us/state:ma/place:andover/precinct:7,52
ocd-division/country:us/state:ma/place:andover/precinct:8,53
ocd-division/country:us/state:ma/place:andover/precinct:9,54
ocd-division/country:us/state:ma/place:andover/precinct:7a,55
ocd-division/country:us/state:ma/place:andover/precinct:9a,56
ocd-division/country:us/state:ma/place:aquinnah,57
ocd-division/country:us/state:ma/place:arlington/precinct:1,58
ocd-division/country:us/state:ma/place:arlington/precinct:2,59
ocd-division/country:us/state:ma/place:arlington/precinct:3,60
ocd-division/country:us/state:ma/place:arlington/precinct:4,61
ocd-division/country:us/state:ma/place:arlington/precinct:5,62
ocd-division/country:us/state:ma/place:arlington/precinct:6,63
ocd-division/country:us/state:ma/place:arlington/precinct:7,64
ocd-division/country:us/state:ma/place:arlington/precinct:8,65
ocd-division/country:us/state:ma/place:arlington/precinct:9,66
ocd-division/country:us/state:ma/place:arlington/precinct:10,67
ocd-division/country:us/state:ma/place:arlington/precinct:11,68
ocd-division/country:us/state:ma/place:arlington/precinct:12,69
ocd-division/country:us/state:ma/place:arlington/precinct:13,70
ocd-division/country:us/state:ma/place:arlington/precinct:14,71
ocd-division/country:us/state:ma/place:arlington/precinct:15,72
ocd-division/country:us/state:ma/place:arlington/precinct:16,73
ocd-division/country:us/state:ma/place:arlington/precinct:17,74
ocd-division/country:us/state:ma/place:arlington/precinct:18,75
ocd-division/country:us/state:ma/place:arlington/precinct:19,76
ocd-division/country:us/state:ma/place:arlington/precinct:20,77
