id,name,validFrom,validThrough
ocd-division/country:pl/state:ds/cd:legnica,Legnica,,
ocd-division/country:pl/state:ds/cd:wałbrzych,Wałbrzych,,
ocd-division/country:pl/state:ds/cd:wrocław,Wrocław,,
ocd-division/country:pl/state:kp/cd:bydgoszcz,Bydgoszcz,,
ocd-division/country:pl/state:kp/cd:toruń,Toruń,,
ocd-division/country:pl/state:lu/cd:lublin,Lublin,,
ocd-division/country:pl/state:lu/cd:chełm,Chełm,,
ocd-division/country:pl/state:lb/cd:zielona_góra,Zielona Góra,,
ocd-division/country:pl/state:ld/cd:łódź,Łódź,,
ocd-division/country:pl/state:ld/cd:piotrków_trybunalski,Piotrków Trybunalski,,
ocd-division/country:pl/state:ld/cd:sieradz,Sieradz,,
ocd-division/country:pl/state:ma/cd:chrzanów,Chrzanów,,2011-10-09
ocd-division/country:pl/state:ma/cd:kraków,Kraków,,2011-10-09
ocd-division/country:pl/state:ma/cd:kraków_i,Kraków I,2011-10-09,
ocd-division/country:pl/state:ma/cd:kraków_ii,Kraków II,2011-10-09,
ocd-division/country:pl/state:ma/cd:nowy_sącz,Nowy Sącz,,
ocd-division/country:pl/state:ma/cd:tarnów,Tarnów,,
ocd-division/country:pl/state:mz/cd:płock,Płock,,
ocd-division/country:pl/state:mz/cd:radom,Radom,,
ocd-division/country:pl/state:mz/cd:siedlce,Siedlce,,
ocd-division/country:pl/state:mz/cd:warszawa_i,Warszawa I,,
ocd-division/country:pl/state:mz/cd:warszawa_ii,Warszawa II,,
ocd-division/country:pl/state:op/cd:opole,Opole,,
ocd-division/country:pl/state:pk/cd:krosno,Krosno,,
ocd-division/country:pl/state:pk/cd:rzeszów,Rzeszów,,
ocd-division/country:pl/state:pd/cd:białystok,Białystok,,
ocd-division/country:pl/state:pm/cd:gdańsk,Gdańsk,,
ocd-division/country:pl/state:pm/cd:gdynia,Gdynia,,2019-10-13
ocd-division/country:pl/state:pm/cd:słupsk,Słupsk,,
ocd-division/country:pl/state:sl/cd:bielsko-biała,Bielsko-Biała,,2019-10-13
ocd-division/country:pl/state:sl/cd:bielsko-biała_i,Bielsko-Biała I,2019-10-13,
ocd-division/country:pl/state:sl/cd:bielsko-biała_ii,Bielsko-Biała II,2019-10-13,
ocd-division/country:pl/state:sl/cd:częstochowa,Częstochowa,,
ocd-division/country:pl/state:sl/cd:gliwice,Gliwice,,2019-10-13
ocd-division/country:pl/state:sl/cd:rybnik,Rybnik,,2019-10-13
ocd-division/country:pl/state:sl/cd:katowice,Katowice,,2019-10-13
ocd-division/country:pl/state:sl/cd:katowice_i,Katowice I,2019-10-13,
ocd-division/country:pl/state:sl/cd:katowice_ii,Katowice II,2019-10-13,
ocd-division/country:pl/state:sl/cd:katowice_iii,Katowice III,2019-10-13,
ocd-division/country:pl/state:sl/cd:sosnowiec,Sosnowiec,,2019-10-13
ocd-division/country:pl/state:sk/cd:kielce,Kielce,,
ocd-division/country:pl/state:wn/cd:elbląg,Elbląg,,
ocd-division/country:pl/state:wn/cd:olsztyn,Olsztyn,,
ocd-division/country:pl/state:wp/cd:kalisz,Kalisz,,
ocd-division/country:pl/state:wp/cd:konin,Konin,,
ocd-division/country:pl/state:wp/cd:piła,Piła,,
ocd-division/country:pl/state:wp/cd:poznań,Poznań,,
ocd-division/country:pl/state:zp/cd:koszalin,Koszalin,,
ocd-division/country:pl/state:zp/cd:szczecin,Szczecin,,
