id,sameAs,sameAsNote
ocd-division/country:pl/province:ds,ocd-division/country:pl/state:ds,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ds/cd:legnica,ocd-division/country:pl/state:ds/cd:legnica,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ds/cd:wałbrzych,ocd-division/country:pl/state:ds/cd:wałbrzych,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ds/cd:wrocław,ocd-division/country:pl/state:ds/cd:wrocław,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:kp,ocd-division/country:pl/state:kp,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:kp/cd:bydgoszcz,ocd-division/country:pl/state:kp/cd:bydgoszcz,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:kp/cd:toruń,ocd-division/country:pl/state:kp/cd:toruń,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:lb,ocd-division/country:pl/state:lb,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:lb/cd:zielona_góra,ocd-division/country:pl/state:lb/cd:zielona_góra,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ld,ocd-division/country:pl/state:ld,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ld/cd:piotrków_trybunalski,ocd-division/country:pl/state:ld/cd:piotrków_trybunalski,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ld/cd:sieradz,ocd-division/country:pl/state:ld/cd:sieradz,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ld/cd:łódź,ocd-division/country:pl/state:ld/cd:łódź,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:lu,ocd-division/country:pl/state:lu,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:lu/cd:chełm,ocd-division/country:pl/state:lu/cd:chełm,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:lu/cd:lublin,ocd-division/country:pl/state:lu/cd:lublin,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ma,ocd-division/country:pl/state:ma,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ma/cd:chrzanów,ocd-division/country:pl/state:ma/cd:chrzanów,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ma/cd:kraków,ocd-division/country:pl/state:ma/cd:kraków,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ma/cd:nowy_sącz,ocd-division/country:pl/state:ma/cd:nowy_sącz,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:ma/cd:tarnów,ocd-division/country:pl/state:ma/cd:tarnów,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:mz,ocd-division/country:pl/state:mz,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:mz/cd:płock,ocd-division/country:pl/state:mz/cd:płock,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:mz/cd:radom,ocd-division/country:pl/state:mz/cd:radom,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:mz/cd:siedlce,ocd-division/country:pl/state:mz/cd:siedlce,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:mz/cd:warszawa_i,ocd-division/country:pl/state:mz/cd:warszawa_i,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:mz/cd:warszawa_ii,ocd-division/country:pl/state:mz/cd:warszawa_ii,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:op,ocd-division/country:pl/state:op,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:op/cd:opole,ocd-division/country:pl/state:op/cd:opole,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:pd,ocd-division/country:pl/state:pd,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:pd/cd:białystok,ocd-division/country:pl/state:pd/cd:białystok,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:pk,ocd-division/country:pl/state:pk,The territory of Poland is divided into voivodeships (provinces)
ocd-division/country:pl/province:pk/cd:krosno,ocd-division/country:pl/state:pk/cd:krosno,The territory of Poland is divided into voivodeships (provinces)
