@id,sameAs,sameAsNote
ocd-division/country:us/state:va/county:manassas,ocd-division/country:us/state:va/place:manassas,Manassas VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:manassas_park,ocd-division/country:us/state:va/place:manassas_park,Manassas Park VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:martinsville,ocd-division/country:us/state:va/place:martinsville,Martinsville VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:newport_news,ocd-division/country:us/state:va/place:newport_news,Newport News VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:norfolk,ocd-division/country:us/state:va/place:norfolk,Norfolk VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:norton,ocd-division/country:us/state:va/place:norton,Norton VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:petersburg,ocd-division/country:us/state:va/place:petersburg,Petersburg VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:poquoson,ocd-division/country:us/state:va/place:poquoson,Poquoson VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:portsmouth,ocd-division/country:us/state:va/place:portsmouth,Portsmouth VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:radford,ocd-division/country:us/state:va/place:radford,Radford VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:richmond_city,ocd-division/country:us/state:va/place:richmond,Richmond VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:roanoke_city,ocd-division/country:us/state:va/place:roanoke,Roanoke VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:salem,ocd-division/country:us/state:va/place:salem,Salem VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:staunton,ocd-division/country:us/state:va/place:staunton,Staunton VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:suffolk,ocd-division/country:us/state:va/place:suffolk,Suffolk VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:virginia_beach,ocd-division/country:us/state:va/place:virginia_beach,Virginia Beach VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:waynesboro,ocd-division/country:us/state:va/place:waynesboro,Waynesboro VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:williamsburg,ocd-division/country:us/state:va/place:williamsburg,Williamsburg VA -- indepdent city: not a county
ocd-division/country:us/state:va/county:winchester,ocd-division/country:us/state:va/place:winchester,Winchester VA -- indepdent city: not a county
ocd-division/country:us/state:md/county:baltimore_city,ocd-division/country:us/state:md/place:baltimore,Baltimore MD -- indepdent city: not a county
ocd-division/country:us/state:nv/county:carson_city,ocd-division/country:us/state:nv/place:carson_city,Carson City NV -- indepdent city: not a county
ocd-division/country:us/state:mo/county:st_louis_city,ocd-division/country:us/state:mo/place:st_louis,St Louis (City) MO is an independent city: not a county; do not confuse with St Louis County
ocd-division/country:us/state:mo/county:st_louis_county,ocd-division/country:us/state:mo/county:st_louis,St Louis (County) MO is not to be confused with St Louis (city)
ocd-division/country:us/state:ak/cd:1,ocd-division/country:us/state:ak,Alaska's at-large congressional district
ocd-division/country:us/state:de/cd:1,ocd-division/country:us/state:de,Deleware's at-large congressional district
ocd-division/country:us/state:mt/cd:1,ocd-division/country:us/state:mt,Montana's at-large congressional district
ocd-division/country:us/state:nd/cd:1,ocd-division/country:us/state:nd,North Dakota's at-large congressional district
ocd-division/country:us/state:sd/cd:1,ocd-division/country:us/state:sd,South Dakota's at-large congressional district
ocd-division/country:us/state:vt/cd:1,ocd-division/country:us/state:vt,Vermont's at-large congressional district
ocd-division/country:us/state:wy/cd:1,ocd-division/country:us/state:wy,Wyoming's at-large congressional district
ocd-division/country:us/state:hi/place:honolulu,ocd-division/country:us/state:hi/county:honolulu,Honolulu HI city-county -- census does not recognize city
ocd-division/country:us/state:ca/place:angels_camp,ocd-division/country:us/state:ca/place:angels,Angels Camp CA -- census considers Camp to be suffix
ocd-division/country:us/state:al/place:mountainboro,ocd-division/country:us/state:al/place:boaz,Mountainboro AL is a neighborhood only -- used to be separate -- now consolidated with Boaz
ocd-division/country:us/state:fl/place:grant,ocd-division/country:us/state:fl/place:grant-valkaria,Grant FL is now part of Grant-Valkaria FL
ocd-division/country:us/state:fl/place:valkaria,ocd-division/country:us/state:fl/place:grant-valkaria,Valkaria FL is now part of Grant-Valkaria FL
ocd-division/country:us/state:ga/county:chattahoochee_hill_country,ocd-division/country:us/state:ga/place:chattahoochee_hills,The official name is Chattahoochee Hills GA
ocd-division/country:us/state:mi/place:grosse_pointe_shores,ocd-division/country:us/state:mi/place:village_of_grosse_pointe_shores, The official name is Village of Grosse Point Shores MI
ocd-division/country:us/state:mn/place:elko,ocd-division/country:us/state:mn/place:elko_new_market,Elko MN is now part of Elko New Market MN
ocd-division/country:us/state:mn/place:new_market,ocd-division/country:us/state:mn/place:elko_new_market,New Market MN is now part of Elko New Market MN
ocd-division/country:us/state:nj/place:west_paterson,ocd-division/country:us/state:nj/place:woodland_park,West Paterson NJ is now Woodland Park NJ
ocd-division/country:us/state:pa/place:osborne,ocd-division/country:us/state:pa/place:glen_osborne,Osborne PA is now Glen Osborne PA
ocd-division/country:us/state:tx/place:spring_valley,ocd-division/country:us/state:tx/place:spring_valley_village,Spring Valley TX is officially Spring Valley Village TX
ocd-division/country:us/state:wy/place:grand_encampment,ocd-division/country:us/state:wy/place:encampment,Grand Encampment WY is officially Encampment WY
ocd-division/country:us/state:as,ocd-division/country:us/territory:as,American Samoa is a territory
ocd-division/country:us/state:dc,ocd-division/country:us/district:dc,DC is a district not a state
ocd-division/country:us/state:gu,ocd-division/country:us/territory:gu,Guam is a terrritory
ocd-division/country:us/state:mp,ocd-division/country:us/territory:mp,Northern Mariana Islands is a territory
ocd-division/country:us/state:pr,ocd-division/country:us/territory:pr,Puerto Rico is a territory
ocd-division/country:us/state:vi,ocd-division/country:us/territory:vi,Virgin Islands is a territory
ocd-division/country:us/state:ma/place:agawam,ocd-division/country:us/state:ma/place:agawam_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:co/place:creede,ocd-division/country:us/state:co/place:city_of_creede,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:amesbury,ocd-division/country:us/state:ma/place:amesbury_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:barnstable,ocd-division/country:us/state:ma/place:barnstable_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:braintree,ocd-division/country:us/state:ma/place:braintree_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:easthampton,ocd-division/country:us/state:ma/place:easthampton_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:franklin,ocd-division/country:us/state:ma/place:franklin_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:greenfield,ocd-division/country:us/state:ma/place:greenfield_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:methuen,ocd-division/country:us/state:ma/place:methuen_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:palmer,ocd-division/country:us/state:ma/place:palmer_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:southbridge,ocd-division/country:us/state:ma/place:southbridge_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:watertown,ocd-division/country:us/state:ma/place:watertown_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:west_springfield,ocd-division/country:us/state:ma/place:west_springfield_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:weymouth,ocd-division/country:us/state:ma/place:weymouth_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ma/place:winthrop,ocd-division/country:us/state:ma/place:winthrop_town,Census is likely wrong but we never overrule Census
ocd-division/country:us/state:ny/place:new_york/county:bronx,ocd-division/country:us/state:ny/county:bronx,New York City boroughs treated like any other county
ocd-division/country:us/state:ny/place:new_york/county:kings,ocd-division/country:us/state:ny/county:kings,New York City boroughs treated like any other county
