id,name,validThrough
ocd-division/country:us/state:ca/sldu:assigned-2,California State Senate Deferred Area assigned to SD 2 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-4,California State Senate Deferred Area assigned to SD 4 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-6,California State Senate Deferred Area assigned to SD 6 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-10,California State Senate Deferred Area assigned to SD 10 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-14,California State Senate Deferred Area assigned to SD 14 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-17,California State Senate Deferred Area assigned to SD 17 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-18,California State Senate Deferred Area assigned to SD 18 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-20,California State Senate Deferred Area assigned to SD 20 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-22,California State Senate Deferred Area assigned to SD 22 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-23,California State Senate Deferred Area assigned to SD 23 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-24,California State Senate Deferred Area assigned to SD 24 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-25,California State Senate Deferred Area assigned to SD 25 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-28,California State Senate Deferred Area assigned to SD 28 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-29,California State Senate Deferred Area assigned to SD 29 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-30,California State Senate Deferred Area assigned to SD 30 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-31,California State Senate Deferred Area assigned to SD 31 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-32,California State Senate Deferred Area assigned to SD 32 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-34,California State Senate Deferred Area assigned to SD 34 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-35,California State Senate Deferred Area assigned to SD 35 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-36,California State Senate Deferred Area assigned to SD 36 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-37,California State Senate Deferred Area assigned to SD 37 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-38,California State Senate Deferred Area assigned to SD 38 for the 2013-2014 legislative session,2014-12-02
ocd-division/country:us/state:ca/sldu:assigned-40,California State Senate Deferred Area assigned to SD 40 for the 2013-2014 legislative session,2014-12-02
