id,sameAs,sameAsNote
ocd-division/country:us/state:in/county:dearborn/commissioner_district:2,ocd-division/country:us/state:in/county:dearborn/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:dearborn/commissioner_district:3,ocd-division/country:us/state:in/county:dearborn/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:decatur/commissioner_district:1,ocd-division/country:us/state:in/county:decatur/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:decatur/commissioner_district:2,ocd-division/country:us/state:in/county:decatur/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:decatur/commissioner_district:3,ocd-division/country:us/state:in/county:decatur/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:delaware/commissioner_district:1,ocd-division/country:us/state:in/county:delaware/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:delaware/commissioner_district:2,ocd-division/country:us/state:in/county:delaware/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:delaware/commissioner_district:3,ocd-division/country:us/state:in/county:delaware/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:dubois/commissioner_district:1,ocd-division/country:us/state:in/county:dubois/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:dubois/commissioner_district:2,ocd-division/country:us/state:in/county:dubois/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:dubois/commissioner_district:3,ocd-division/country:us/state:in/county:dubois/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:elkhart/commissioner_district:1,ocd-division/country:us/state:in/county:elkhart/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:elkhart/commissioner_district:2,ocd-division/country:us/state:in/county:elkhart/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:elkhart/commissioner_district:3,ocd-division/country:us/state:in/county:elkhart/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:fayette/commissioner_district:1,ocd-division/country:us/state:in/county:fayette/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:fayette/commissioner_district:2,ocd-division/country:us/state:in/county:fayette/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:fayette/commissioner_district:3,ocd-division/country:us/state:in/county:fayette/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:floyd/commissioner_district:1,ocd-division/country:us/state:in/county:floyd/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:floyd/commissioner_district:2,ocd-division/country:us/state:in/county:floyd/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:floyd/commissioner_district:3,ocd-division/country:us/state:in/county:floyd/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:fountain/commissioner_district:1,ocd-division/country:us/state:in/county:fountain/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:fountain/commissioner_district:2,ocd-division/country:us/state:in/county:fountain/executive_district:2,better type name – hope to deprecate commissioner_district
