@id,name,census_geoid
ocd-division/country:us/state:ar/sldu:27,Arkansas State Senate district 27,05027
ocd-division/country:us/state:ar/sldu:28,Arkansas State Senate district 28,05028
ocd-division/country:us/state:ar/sldu:29,Arkansas State Senate district 29,05029
ocd-division/country:us/state:ar/sldu:30,Arkansas State Senate district 30,05030
ocd-division/country:us/state:ar/sldu:31,Arkansas State Senate district 31,05031
ocd-division/country:us/state:ar/sldu:32,Arkansas State Senate district 32,05032
ocd-division/country:us/state:ar/sldu:33,Arkansas State Senate district 33,05033
ocd-division/country:us/state:ar/sldu:34,Arkansas State Senate district 34,05034
ocd-division/country:us/state:ar/sldu:35,Arkansas State Senate district 35,05035
ocd-division/country:us/state:ca/sldu:1,California State Senate district 1,06001
ocd-division/country:us/state:ca/sldu:2,California State Senate district 2,06002
ocd-division/country:us/state:ca/sldu:3,California State Senate district 3,06003
ocd-division/country:us/state:ca/sldu:4,California State Senate district 4,06004
ocd-division/country:us/state:ca/sldu:5,California State Senate district 5,06005
ocd-division/country:us/state:ca/sldu:6,California State Senate district 6,06006
ocd-division/country:us/state:ca/sldu:7,California State Senate district 7,06007
ocd-division/country:us/state:ca/sldu:8,California State Senate district 8,06008
ocd-division/country:us/state:ca/sldu:9,California State Senate district 9,06009
ocd-division/country:us/state:ca/sldu:10,California State Senate district 10,06010
ocd-division/country:us/state:ca/sldu:11,California State Senate district 11,06011
ocd-division/country:us/state:ca/sldu:12,California State Senate district 12,06012
ocd-division/country:us/state:ca/sldu:13,California State Senate district 13,06013
ocd-division/country:us/state:ca/sldu:14,California State Senate district 14,06014
ocd-division/country:us/state:ca/sldu:15,California State Senate district 15,06015
ocd-division/country:us/state:ca/sldu:16,California State Senate district 16,06016
ocd-division/country:us/state:ca/sldu:17,California State Senate district 17,06017
ocd-division/country:us/state:ca/sldu:18,California State Senate district 18,06018
ocd-division/country:us/state:ca/sldu:19,California State Senate district 19,06019
ocd-division/country:us/state:ca/sldu:20,California State Senate district 20,06020
ocd-division/country:us/state:ca/sldu:21,California State Senate district 21,06021
ocd-division/country:us/state:ca/sldu:22,California State Senate district 22,06022
ocd-division/country:us/state:ca/sldu:23,California State Senate district 23,06023
ocd-division/country:us/state:ca/sldu:24,California State Senate district 24,06024
ocd-division/country:us/state:ca/sldu:25,California State Senate district 25,06025
ocd-division/country:us/state:ca/sldu:26,California State Senate district 26,06026
ocd-division/country:us/state:ca/sldu:27,California State Senate district 27,06027
ocd-division/country:us/state:ca/sldu:28,California State Senate district 28,06028
ocd-division/country:us/state:ca/sldu:29,California State Senate district 29,06029
ocd-division/country:us/state:ca/sldu:30,California State Senate district 30,06030
ocd-division/country:us/state:ca/sldu:31,California State Senate district 31,06031
ocd-division/country:us/state:ca/sldu:32,California State Senate district 32,06032
ocd-division/country:us/state:ca/sldu:33,California State Senate district 33,06033
ocd-division/country:us/state:ca/sldu:34,California State Senate district 34,06034
ocd-division/country:us/state:ca/sldu:35,California State Senate district 35,06035
ocd-division/country:us/state:ca/sldu:36,California State Senate district 36,06036
ocd-division/country:us/state:ca/sldu:37,California State Senate district 37,06037
ocd-division/country:us/state:ca/sldu:38,California State Senate district 38,06038
ocd-division/country:us/state:ca/sldu:39,California State Senate district 39,06039
ocd-division/country:us/state:ca/sldu:40,California State Senate district 40,06040
ocd-division/country:us/state:co/sldu:1,Colorado State Senate district 1,08001
ocd-division/country:us/state:co/sldu:2,Colorado State Senate district 2,08002
ocd-division/country:us/state:co/sldu:3,Colorado State Senate district 3,08003
ocd-division/country:us/state:co/sldu:4,Colorado State Senate district 4,08004
ocd-division/country:us/state:co/sldu:5,Colorado State Senate district 5,08005
ocd-division/country:us/state:co/sldu:6,Colorado State Senate district 6,08006
ocd-division/country:us/state:co/sldu:7,Colorado State Senate district 7,08007
ocd-division/country:us/state:co/sldu:8,Colorado State Senate district 8,08008
ocd-division/country:us/state:co/sldu:9,Colorado State Senate district 9,08009
ocd-division/country:us/state:co/sldu:10,Colorado State Senate district 10,08010
ocd-division/country:us/state:co/sldu:11,Colorado State Senate district 11,08011
ocd-division/country:us/state:co/sldu:12,Colorado State Senate district 12,08012
ocd-division/country:us/state:co/sldu:13,Colorado State Senate district 13,08013
ocd-division/country:us/state:co/sldu:14,Colorado State Senate district 14,08014
ocd-division/country:us/state:co/sldu:15,Colorado State Senate district 15,08015
ocd-division/country:us/state:co/sldu:16,Colorado State Senate district 16,08016
ocd-division/country:us/state:co/sldu:17,Colorado State Senate district 17,08017
ocd-division/country:us/state:co/sldu:18,Colorado State Senate district 18,08018
ocd-division/country:us/state:co/sldu:19,Colorado State Senate district 19,08019
ocd-division/country:us/state:co/sldu:20,Colorado State Senate district 20,08020
ocd-division/country:us/state:co/sldu:21,Colorado State Senate district 21,08021
ocd-division/country:us/state:co/sldu:22,Colorado State Senate district 22,08022
ocd-division/country:us/state:co/sldu:23,Colorado State Senate district 23,08023
ocd-division/country:us/state:co/sldu:24,Colorado State Senate district 24,08024
ocd-division/country:us/state:co/sldu:25,Colorado State Senate district 25,08025
ocd-division/country:us/state:co/sldu:26,Colorado State Senate district 26,08026
ocd-division/country:us/state:co/sldu:27,Colorado State Senate district 27,08027
ocd-division/country:us/state:co/sldu:28,Colorado State Senate district 28,08028
ocd-division/country:us/state:co/sldu:29,Colorado State Senate district 29,08029
ocd-division/country:us/state:co/sldu:30,Colorado State Senate district 30,08030
ocd-division/country:us/state:co/sldu:31,Colorado State Senate district 31,08031
ocd-division/country:us/state:co/sldu:32,Colorado State Senate district 32,08032
ocd-division/country:us/state:co/sldu:33,Colorado State Senate district 33,08033
ocd-division/country:us/state:co/sldu:34,Colorado State Senate district 34,08034
ocd-division/country:us/state:co/sldu:35,Colorado State Senate district 35,08035
ocd-division/country:us/state:ct/sldu:1,Connecticut State Senate district 1,09001
ocd-division/country:us/state:ct/sldu:2,Connecticut State Senate district 2,09002
ocd-division/country:us/state:ct/sldu:3,Connecticut State Senate district 3,09003
ocd-division/country:us/state:ct/sldu:4,Connecticut State Senate district 4,09004
ocd-division/country:us/state:ct/sldu:5,Connecticut State Senate district 5,09005
ocd-division/country:us/state:ct/sldu:6,Connecticut State Senate district 6,09006
ocd-division/country:us/state:ct/sldu:7,Connecticut State Senate district 7,09007
ocd-division/country:us/state:ct/sldu:8,Connecticut State Senate district 8,09008
ocd-division/country:us/state:ct/sldu:9,Connecticut State Senate district 9,09009
ocd-division/country:us/state:ct/sldu:10,Connecticut State Senate district 10,09010
ocd-division/country:us/state:ct/sldu:11,Connecticut State Senate district 11,09011
ocd-division/country:us/state:ct/sldu:12,Connecticut State Senate district 12,09012
ocd-division/country:us/state:ct/sldu:13,Connecticut State Senate district 13,09013
ocd-division/country:us/state:ct/sldu:14,Connecticut State Senate district 14,09014
ocd-division/country:us/state:ct/sldu:15,Connecticut State Senate district 15,09015
ocd-division/country:us/state:ct/sldu:16,Connecticut State Senate district 16,09016
ocd-division/country:us/state:ct/sldu:17,Connecticut State Senate district 17,09017
ocd-division/country:us/state:ct/sldu:18,Connecticut State Senate district 18,09018
ocd-division/country:us/state:ct/sldu:19,Connecticut State Senate district 19,09019
ocd-division/country:us/state:ct/sldu:20,Connecticut State Senate district 20,09020
ocd-division/country:us/state:ct/sldu:21,Connecticut State Senate district 21,09021
ocd-division/country:us/state:ct/sldu:22,Connecticut State Senate district 22,09022
ocd-division/country:us/state:ct/sldu:23,Connecticut State Senate district 23,09023
ocd-division/country:us/state:ct/sldu:24,Connecticut State Senate district 24,09024
ocd-division/country:us/state:ct/sldu:25,Connecticut State Senate district 25,09025
ocd-division/country:us/state:ct/sldu:26,Connecticut State Senate district 26,09026
ocd-division/country:us/state:ct/sldu:27,Connecticut State Senate district 27,09027
