id,sameAs,name
ocd-division/country:at,,Österreich
ocd-division/region:eu/member:at,ocd-division/country:at,"Österreich, Euorpean Union member"
ocd-division/country:at/state:bu,,Burgenland
ocd-division/country:at/state:ka,,Kärnten
ocd-division/country:at/state:no,,Niederösterreich
ocd-division/country:at/state:oo,,Oberösterreich
ocd-division/country:at/state:sz,,Salzburg
ocd-division/country:at/state:st,,Steiermark
ocd-division/country:at/state:tr,,Tirol
ocd-division/country:at/state:vo,,Vorarlberg
ocd-division/country:at/state:wi,,Wien
